dia phuong,Năm,Tổng số,Cây hàng năm,Cây hàng năm: Cây lương thực có hạt,Cây hàng năm: Cây CN hàng năm,Cây lâu năm,Cây lâu năm: Cây CN lâu năm,Cây lâu năm: Cây ăn quả
geoId-VNM,1990,9040.0,8101.5,6476.9,542.0,938.5,657.3,281.2
geoId-VNM,1991,9410.0,8475.3,6752.7,578.7,934.7,662.7,271.9
geoId-VNM,1992,9752.9,8754.4,6956.3,584.3,998.5,697.8,260.9
geoId-VNM,1993,10028.3,8893.0,7058.3,598.9,1135.3,758.5,296.0
geoId-VNM,1994,10381.4,9000.6,7135.7,655.8,1380.8,809.9,320.1
geoId-VNM,1995,10496.9,9224.2,7324.3,716.7,1272.7,902.3,346.4
geoId-VNM,1996,10928.9,9486.1,7620.6,694.3,1442.8,1015.3,375.5
geoId-VNM,1997,11316.4,9680.9,7768.2,728.2,1635.5,1153.4,426.1
geoId-VNM,1998,11740.4,10011.3,8016.0,808.2,1729.1,1202.7,447.0
geoId-VNM,1999,12320.3,10468.9,8348.6,889.4,1851.4,1257.8,512.8
geoId-VNM,2000,12644.3,10540.3,8399.1,778.1,2104.0,1451.3,565.0
geoId-VNM,2001,12507.0,10352.2,8224.7,786.0,2154.8,1475.8,609.6
geoId-VNM,2002,12831.4,10595.9,8322.5,845.8,2235.5,1491.5,677.5
geoId-VNM,2003,12983.3,10680.1,8366.7,835.0,2303.2,1510.8,724.5
geoId-VNM,2004,13184.5,10817.8,8437.8,857.1,2366.7,1554.3,746.8
geoId-VNM,2005,13287.0,10818.8,8383.4,861.5,2468.2,1633.6,767.4
geoId-VNM,2006,13409.8,10868.2,8359.7,841.7,2541.6,1708.6,771.4
geoId-VNM,2007,13555.6,10894.9,8304.7,846.0,2660.7,1821.7,778.5
geoId-VNM,2008,13872.9,11156.7,8542.2,806.1,2716.2,1885.8,775.5
geoId-VNM,2009,13807.6,11047.1,8527.4,753.6,2760.5,1936.0,774.0
geoId-VNM,2010,14061.1,11214.3,8615.9,797.6,2846.8,2010.5,779.7
geoId-VNM,2011,14363.5,11420.5,8777.6,788.2,2943.0,2079.6,772.5
geoId-VNM,2012,14635.6,11537.9,8918.9,729.9,3097.7,2222.8,765.9
geoId-VNM,2013,14792.5,11714.4,9074.0,730.9,3078.1,2110.9,706.9
geoId-VNM,2014,14809.4,11665.4,8996.2,710.0,3144.0,2133.5,799.1
geoId-VNM,2015,14945.3,11700.0,9008.8,676.8,3245.3,2154.5,824.4
geoId-VNM,2016,15112.1,11798.6,8890.6,633.2,3313.5,2345.7,869.1
geoId-VNM,2017,14902.0,11498.1,8806.8,611.8,3403.9,2219.8,928.3
geoId-VNM,2018,14768.5,11271.7,8605.5,565.6,3496.8,2212.5,993.2
geoId-VNM,2019,14703.0,11156.8,8458.7,520.6,3546.2,2188.4,1067.1
geoId-VNM,2020,14487.4,10871.1,8222.6,457.8,3616.3,2185.8,1135.2
geoId-VNM,2021,14433.9,10756.9,8142.8,425.9,3677.0,2200.2,1171.5
geoId-VNM,Sơ bộ 2022,14388.3,10653.3,7997.0,420.4,3735.0,2193.0,1221.4
