"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,0.2,0.2,0.1,0.3,0.4,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.7,0.2,0.2,0.3,169.0,176.0,149.0,98.0,108.0
geoId-BR-VT,1.4,1.0,0.8,0.8,0.8,1.3,0.6,0.6,0.5,0.6,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.2,293.0,293.0,22.0,91.0,40.0
geoId-BDG,0.6,0.7,0.6,0.6,0.6,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,188.0,190.0,173.0,175.0,181.0
geoId-BPC,0.7,0.8,0.9,0.8,0.9,0.7,0.8,0.9,0.9,1.0,1.0,1.1,0.9,0.7,0.9,0.8,0.7,0.5,0.5,0.4,0.4,0.5,0.7,529.0,552.0,481.0,584.0,468.0
geoId-BTN,6.7,6.3,5.6,4.5,4.2,3.7,3.7,3.5,3.4,3.1,2.5,1.6,1.2,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.5,0.5,578.0,796.0,495.0,513.0,422.0
geoId-BDH,1.2,1.5,1.3,1.3,1.1,1.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,305.0,244.0,177.0,170.0,212.0
geoId-BLU,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.5,0.5,0.5,528.0,530.0,449.0,368.0,361.0
geoId-BGG,21.2,20.1,13.4,13.3,13.6,14.8,15.1,16.7,14.6,12.9,10.6,10.4,10.0,8.9,7.9,8.1,7.7,6.7,6.6,6.1,5.9,5.6,5.5,4981.0,4777.0,4512.0,4057.0,3682.0
geoId-BKN,0.3,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,479.0,528.0,517.0,538.0,552.0
geoId-BNH,4.6,4.3,3.2,2.2,3.1,3.3,2.1,2.8,2.7,2.2,2.3,1.9,1.5,1.2,0.6,1.0,0.9,0.8,0.6,0.6,0.5,0.3,0.2,195.0,150.0,143.0,131.0,113.0
geoId-SCC,145.7,140.5,122.5,117.2,121.4,111.3,108.2,99.8,90.9,82.7,74.3,69.8,66.7,61.1,55.4,53.9,49.5,45.1,42.7,37.6,35.9,32.3,30.2,27074.0,25996.0,23438.0,21971.0,21395.0
geoId-BTE,1.3,0.6,0.5,0.4,0.7,0.4,0.6,0.8,0.5,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,51.0,41.0,24.0,43.0,48.0
geoId-CBG,2.9,2.9,2.4,2.3,2.2,2.1,2.1,2.0,1.9,1.8,1.9,1.6,1.8,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1319.0,1304.0,1239.0,1271.0,1059.0
geoId-CMU,0.4,0.3,0.6,0.3,0.8,0.9,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,179.0,185.0,155.0,148.0,141.0
geoId-VNM,304.6,302.7,267.2,253.5,270.2,254.3,244.6,237.7,219.6,201.8,185.3,181.2,175.5,162.6,146.6,150.8,146.8,141.7,135.0,130.1,127.6,120.3,121.8,117933.0,116967.0,109043.0,98257.0,86231.0
geoId-CTO,1.3,1.2,0.6,1.0,0.6,0.5,0.6,0.3,0.4,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.9,0.1,0.0,0.0,0.0,0.0,40.0,23.0,17.0,35.0,54.0
geoId-GLI,3.7,4.1,3.9,3.2,3.0,2.6,2.6,2.7,2.4,2.0,1.8,1.5,1.5,1.5,1.6,1.7,1.4,1.5,1.3,1.9,1.7,1.9,2.6,2623.0,5232.0,4467.0,4490.0,5201.0
geoId-HBH,4.0,3.4,4.8,4.3,4.7,4.9,4.6,5.0,5.1,4.9,4.9,5.5,5.4,5.4,4.9,5.3,5.1,5.0,5.0,4.9,4.9,4.8,4.8,4745.0,4406.0,4285.0,3970.0,3643.0
geoId-HGG,0.7,1.2,1.4,1.4,1.4,1.2,1.4,1.3,1.3,1.3,1.3,1.2,1.3,1.5,1.6,1.4,1.6,1.6,1.5,1.7,2.1,1.9,2.0,1903.0,1777.0,1933.0,1868.0,1709.0
geoId-HNM,4.2,4.5,3.8,3.5,3.8,3.4,2.8,2.6,2.4,2.1,1.7,1.4,1.2,0.8,0.5,0.5,0.7,0.8,0.8,0.7,0.6,0.6,0.5,458.0,458.0,437.0,414.0,386.0
geoId-HNI,4.8,4.7,3.7,4.0,4.0,3.8,4.1,3.9,3.1,2.9,2.1,1.7,1.4,7.5,4.2,5.9,5.1,4.4,4.0,3.4,4.0,3.5,3.2,2614.0,2293.0,1945.0,1608.0,1585.0
geoId-HNI,12.9,15.5,12.4,11.7,12.4,11.2,9.7,10.8,10.0,9.0,8.4,7.0,6.6,,,,,,,,,,,,,,,
geoId-HTH,19.6,18.7,17.1,18.0,19.7,19.7,17.3,16.0,16.3,15.5,14.8,14.1,13.9,12.8,10.1,9.4,7.9,6.7,6.7,5.9,5.6,4.7,4.2,3692.0,3720.0,3441.0,3571.0,3762.0
geoId-HYN,3.2,3.9,3.4,2.8,3.7,3.7,1.9,2.2,2.0,1.3,1.4,1.5,1.5,1.4,0.7,0.7,0.8,0.7,0.7,0.6,0.5,0.5,0.5,446.0,424.0,383.0,269.0,219.0
geoId-HDG,7.2,8.7,7.5,5.9,7.8,7.7,5.4,6.0,4.7,3.7,3.0,2.7,2.1,1.5,1.3,1.2,1.2,1.0,0.9,0.9,0.8,0.7,0.9,911.0,835.0,741.0,696.0,752.0
geoId-HPG,5.0,4.8,4.5,3.7,4.2,4.1,3.5,3.5,3.0,2.7,2.4,2.1,1.9,1.7,1.5,1.4,1.5,1.3,1.4,1.0,0.9,0.8,0.7,706.0,758.0,669.0,695.0,746.0
geoId-HGG,,,,,,,,,,0.5,0.7,0.8,0.8,0.9,0.7,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1,141.0,68.0,28.0,18.0,55.0
geoId-KHA,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,216.0,176.0,135.0,122.0,117.0
geoId-KGG,1.0,1.5,1.2,1.0,1.1,0.9,1.6,1.9,0.9,1.1,0.6,0.4,1.0,0.8,1.0,1.5,0.8,1.0,1.3,1.1,1.5,1.5,1.5,1352.0,1340.0,1422.0,1348.0,1244.0
geoId-KTM,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,164.0,150.0,187.0,232.0,649.0
geoId-LCU,0.7,1.1,1.4,1.1,0.9,0.3,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,356.0,291.0,267.0,271.0,312.0
geoId-LAN,0.0,0.1,0.0,0.1,0.1,0.0,,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,8.0,9.0,8.0,11.0,51.0
geoId-LCI,0.6,0.7,0.6,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1.0,1.0,1.0,1.2,1170.0,1166.0,1072.0,1096.0,742.0
geoId-LDG,2.9,2.8,2.9,2.7,2.6,2.9,2.5,3.0,3.1,3.2,3.0,3.0,2.9,2.9,2.5,2.2,2.3,2.0,1.6,1.5,1.4,1.8,2.2,2328.0,2376.0,2624.0,2684.0,2883.0
geoId-LSN,2.1,2.2,2.4,2.5,2.6,2.6,2.5,2.4,2.6,2.7,2.6,2.7,2.7,2.4,2.3,2.2,2.2,2.3,2.1,2.1,2.0,2.1,2.2,2153.0,1980.0,1499.0,1383.0,1421.0
geoId-NDH,7.8,8.5,7.2,6.2,7.0,7.0,5.7,5.6,5.6,4.3,4.2,4.1,3.9,3.5,2.3,2.4,2.1,2.1,1.9,1.8,1.7,1.5,1.4,1343.0,1359.0,1195.0,1033.0,857.0
geoId-NAN,34.1,33.3,30.8,29.5,32.2,29.5,30.1,28.2,24.5,20.4,15.9,14.5,12.9,12.2,11.1,11.4,10.4,8.7,8.1,6.3,6.1,5.3,4.1,4090.0,3877.0,3625.0,3442.0,3434.0
geoId-NBH,4.6,3.3,3.6,3.7,3.9,3.3,3.9,3.4,3.3,3.0,2.8,2.7,2.7,2.5,2.1,2.7,2.7,2.2,2.4,2.1,2.2,1.6,1.5,1364.0,1182.0,805.0,669.0,893.0
geoId-NTN,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.3,271.0,259.0,174.0,215.0,234.0
geoId-PTO,5.0,4.8,4.9,4.8,5.6,4.8,5.1,4.8,4.8,4.1,3.9,4.5,4.1,3.3,3.0,3.4,2.8,2.8,2.9,2.6,2.3,2.1,2.0,1557.0,1498.0,1230.0,939.0,778.0
geoId-PYN,1.1,0.8,0.9,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,94.0,73.0,81.0,84.0,70.0
geoId-QBH,8.5,7.5,6.7,5.8,7.1,6.1,6.1,5.0,4.4,4.8,4.3,4.0,4.1,4.2,4.0,4.1,4.1,4.0,3.9,3.7,3.7,3.7,3.5,3482.0,3218.0,3082.0,2998.0,2994.0
