"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,185.0,206.7,190.0,200.0,231.5,232.8,225.9,246.6,275.2,294.0,298.1,265.1,282.5,324.7,315.6,347.0,366.7,383.3,397.9,383.2,400.3,424.7,399.9,388.0,387.8,403.0,390.0,371.0
geoId-BR-VT,5.0,4.2,3.9,4.4,5.3,5.8,6.2,5.6,5.7,5.6,5.4,5.8,5.1,6.6,7.7,5.4,7.4,7.8,7.7,7.8,8.2,8.4,8.6,8.6,8.2,8.2,8.2,8.3
geoId-BDG,3.5,3.6,4.0,3.9,3.9,4.1,4.2,3.9,3.8,3.8,3.3,2.9,2.6,2.3,2.2,2.1,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.1
geoId-BTN,19.4,21.2,22.9,23.3,28.4,30.0,30.1,29.4,31.3,31.4,30.3,33.9,35.6,38.6,38.7,38.7,40.2,40.6,40.8,42.2,40.5,41.1,44.9,43.9,39.2,43.6,42.9,38.5
geoId-BDH,35.2,38.4,38.2,35.6,40.0,40.9,41.0,36.5,39.7,39.3,33.7,40.2,36.7,40.4,41.6,41.3,42.4,42.9,38.2,42.4,42.3,40.6,43.6,43.7,42.8,38.1,41.3,42.7
geoId-BLU,18.5,29.3,30.3,53.2,70.8,84.6,72.9,72.7,58.3,56.6,58.6,50.8,53.3,49.1,55.8,56.9,55.8,55.8,56.4,56.0,101.8,97.8,103.0,102.9,103.1,100.5,102.8,99.2
geoId-SCC,271.5,284.9,290.1,280.3,301.4,302.8,300.2,291.4,306.0,308.6,281.9,316.3,310.7,328.5,345.2,333.6,338.6,347.6,343.2,345.6,328.6,337.9,360.1,353.3,347.2,329.1,353.6,350.0
geoId-BTE,21.0,25.9,23.3,26.5,28.4,29.5,30.0,28.8,27.3,26.5,24.0,25.4,24.2,24.5,24.2,23.2,23.1,22.2,20.1,19.3,17.9,16.6,30.8,30.0,28.0,10.7,20.5,17.8
geoId-CMU,17.5,34.6,40.4,55.0,61.6,86.2,32.9,37.3,34.1,35.8,36.2,36.1,36.0,36.3,36.1,35.6,35.4,35.8,35.5,36.7,36.4,37.1,36.7,36.5,36.1,35.8,35.3,35.2
geoId-VNM,1742.4,1984.2,1885.2,2140.6,2341.2,2292.8,2210.8,2293.7,2320.0,2366.2,2349.3,2317.4,2203.5,2368.7,2358.4,2436.0,2589.5,2659.1,2810.8,2734.1,2869.1,2872.9,2876.7,2784.8,2733.8,2669.1,2673.5,2564.0
geoId-CTO,230.0,233.8,214.0,257.8,291.4,233.1,259.2,275.7,275.8,136.0,138.6,129.8,115.8,128.0,118.7,119.6,136.0,140.4,148.6,144.3,150.6,153.3,154.7,154.8,143.8,143.7,145.2,140.3
geoId-HTH,31.6,33.4,33.8,32.2,33.9,36.2,38.9,39.9,40.4,38.1,35.4,39.2,38.9,40.6,41.7,41.4,41.7,41.9,41.3,42.8,42.0,44.0,44.5,43.1,43.6,44.0,45.0,44.5
geoId-HGG,,,,,,,,,,143.5,143.0,142.9,110.3,121.3,108.9,126.4,129.7,136.2,132.1,127.8,127.1,122.8,128.7,116.6,117.7,120.4,112.0,111.7
geoId-KHA,14.5,18.4,15.9,14.5,16.6,17.8,17.9,13.0,17.7,17.5,9.9,18.0,13.7,18.1,18.6,17.4,18.7,19.1,18.7,17.0,8.8,13.6,18.5,18.2,18.1,6.8,18.0,17.9
geoId-KGG,170.0,211.7,188.8,249.0,255.7,266.9,268.3,293.3,277.1,286.4,299.8,293.8,266.4,279.0,282.1,296.6,345.3,368.5,403.9,385.3,399.2,404.8,389.1,379.8,368.9,373.4,372.9,348.6
geoId-LAN,120.0,146.5,130.6,149.5,174.2,171.8,155.3,166.2,168.6,181.5,174.9,183.2,178.8,201.7,201.3,207.7,220.2,227.4,286.2,274.9,283.9,292.6,290.3,273.5,272.2,273.6,283.7,281.5
geoId-LDG,,0.0,8.6,5.2,5.6,5.9,5.2,5.4,5.4,5.8,6.0,5.6,5.9,6.0,6.3,5.9,6.2,6.3,6.2,6.2,6.4,5.6,6.1,5.9,5.9,5.9,5.8,5.4
geoId-NAN,44.8,42.3,48.4,48.9,48.5,51.3,52.9,53.5,55.9,57.3,55.7,59.5,59.6,56.9,65.6,58.2,54.3,59.4,59.9,59.3,55.6,54.6,59.5,59.0,60.3,59.1,61.8,60.2
geoId-NTN,8.4,10.0,10.3,9.6,11.1,10.7,8.9,8.0,9.2,10.6,5.6,10.5,11.1,12.9,13.7,11.1,14.3,14.5,13.7,12.8,11.6,12.4,17.0,14.4,14.8,11.0,14.6,15.7
geoId-PYN,21.3,21.7,21.7,21.7,22.8,23.0,23.4,22.8,23.7,24.0,22.7,23.6,23.4,23.7,24.0,23.8,24.4,24.5,25.0,24.4,24.5,24.8,24.9,24.8,24.7,24.1,24.6,24.9
geoId-QBH,13.8,15.6,15.3,14.2,16.5,17.3,19.0,19.3,19.2,20.1,20.5,21.3,21.9,22.1,22.9,23.2,23.6,24.0,24.0,24.1,23.5,24.3,24.8,23.8,22.2,23.1,23.6,23.2
geoId-QNM,19.2,19.0,18.2,16.3,15.8,8.2,1.1,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,
geoId-QNI,24.3,24.1,24.1,23.6,24.3,24.6,23.7,24.8,25.5,27.4,27.2,27.7,27.1,31.4,31.7,31.7,31.9,33.2,33.9,32.9,33.8,34.3,34.3,34.2,33.4,31.3,34.0,35.2
geoId-QTI,15.5,16.5,16.7,15.6,18.0,18.0,18.6,18.7,18.7,18.4,16.9,18.4,18.7,19.4,21.2,21.2,21.6,21.9,22.3,22.3,20.1,22.2,22.5,22.7,22.6,22.6,22.6,22.8
geoId-STG,98.0,148.8,140.3,150.3,168.3,171.3,159.6,165.9,170.7,154.2,154.4,160.9,158.9,160.7,169.1,188.2,187.1,200.5,200.7,192.0,152.4,153.3,151.8,146.4,146.3,159.0,142.3,140.0
geoId-TTH,21.5,22.3,22.7,23.0,24.0,24.1,24.3,24.6,24.4,24.3,24.0,24.0,24.0,24.4,25.5,25.6,25.5,25.6,25.4,25.4,25.9,26.0,25.6,25.5,25.5,25.4,25.4,24.5
geoId-TGG,178.6,183.6,185.0,180.1,187.2,184.9,179.6,174.6,171.7,171.3,166.2,163.9,163.4,162.3,163.7,162.1,160.8,160.8,156.3,153.2,149.6,141.2,139.2,132.5,119.4,78.4,80.2,85.7
geoId-HCM,13.9,15.1,13.5,13.6,15.0,14.7,12.4,11.3,10.3,9.1,7.3,7.1,7.6,7.5,7.1,6.5,6.0,6.0,6.3,6.5,7.2,6.5,6.1,5.6,5.8,5.9,5.9,5.9
geoId-TVH,50.0,66.3,73.4,80.0,84.6,87.0,87.6,84.9,86.6,86.7,84.9,82.8,81.1,82.9,82.4,81.4,81.0,80.2,80.7,80.2,164.3,139.4,157.9,155.1,153.5,142.4,147.9,134.6
geoId-TNN,0.0,0.0,8.6,5.2,5.6,5.9,5.2,5.4,5.4,5.8,6.0,5.6,5.9,6.0,6.3,5.9,6.2,6.3,6.2,6.2,6.4,5.6,6.1,5.9,5.9,5.9,5.8,5.4
geoId-TNH,29.1,34.3,33.2,34.9,45.7,51.5,45.1,48.2,50.8,48.2,42.7,42.2,46.2,51.1,53.0,51.9,52.9,51.3,50.9,49.2,49.2,49.5,50.4,51.3,50.6,50.4,50.8,49.6
geoId-VLG,124.0,131.3,118.8,150.2,145.9,128.8,137.9,133.0,131.9,134.8,132.2,126.8,89.8,109.2,109.1,103.1,115.7,122.1,118.4,118.7,119.5,115.3,110.4,105.7,100.3,93.4,87.0,66.0
geoId-DNG,2.0,2.0,1.9,1.8,1.5,0.7,0.4,0.6,0.1,,,,,,,,,,,,,,,,,,,
geoId-ST,73.3,79.8,76.3,79.1,94.5,102.5,93.9,96.0,98.0,94.0,86.1,85.6,87.7,94.4,96.3,91.3,93.7,92.7,91.0,89.5,90.0,87.9,88.6,89.1,87.4,86.2,85.8,84.1
geoId-MRD,1397.6,1619.5,1510.2,1776.0,1939.7,1881.6,1811.5,1900.9,1910.6,1957.8,1975.3,1909.9,1799.2,1939.8,1910.6,2005.2,2151.0,2212.5,2370.4,2292.8,2444.1,2441.5,2421.9,2336.5,2293.3,2247.9,2228.3,2124.5
geoId-DNI,21.8,22.6,21.7,22.3,24.6,26.4,26.0,27.0,27.4,27.3,27.4,27.6,26.2,26.9,26.3,25.4,25.5,25.7,24.3,24.3,23.7,21.9,22.0,22.2,21.4,20.4,19.8,19.2
geoId-DTP,185.0,201.0,175.3,224.4,240.1,204.7,202.3,221.9,233.3,250.5,264.4,248.4,238.7,260.1,243.6,257.4,294.2,279.3,333.6,321.2,341.1,342.6,329.4,314.7,316.2,313.6,308.3,292.9
