"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,28.8,22.3,15.2,16.7,14.8,11.2,11.5,11.8,8.3,8.7,8.3,7.3,7.2,8.1,7.6,5.4,5.4,5.9,5.4,5.1,5.3,5.0,5.0,0.1,4.8,4.8,4.5,3.6
geoId-BR-VT,13.7,13.1,14.2,13.7,15.8,16.2,16.6,14.9,15.5,14.3,13.5,13.1,12.6,12.5,11.8,11.6,10.9,10.9,10.4,10.3,10.2,10.2,9.5,9.4,9.2,9.1,8.9,7.5
geoId-BDG,19.7,16.3,16.1,16.1,15.8,14.7,13.9,13.7,13.6,13.3,10.2,8.7,7.7,6.4,5.6,5.3,4.9,4.8,4.7,4.0,3.5,3.5,3.4,3.3,3.2,2.9,2.8,2.6
geoId-BPC,25.0,20.6,22.5,17.5,17.3,13.9,11.4,12.4,12.4,12.2,11.6,11.6,10.7,11.4,11.7,11.7,10.7,11.0,10.3,9.7,9.6,9.1,8.9,8.6,8.2,8.2,7.8,7.7
geoId-BTN,40.6,42.3,43.8,44.1,42.9,43.7,42.4,42.0,38.0,39.5,40.6,41.4,40.3,35.3,40.8,38.6,39.9,40.0,40.9,41.6,40.1,40.0,44.3,43.7,42.5,43.9,44.1,42.5
geoId-BDH,38.3,39.7,38.0,38.9,40.0,39.5,40.5,34.7,38.9,39.1,31.2,33.6,28.4,27.4,24.9,24.1,22.2,20.6,18.6,16.1,15.3,13.4,14.2,11.7,9.0,7.9,7.0,4.3
geoId-BLU,111.6,109.4,114.6,96.9,106.4,98.3,79.5,78.1,72.9,69.4,64.1,65.3,62.7,65.9,68.5,56.8,62.7,68.3,76.1,78.0,32.2,28.9,31.3,33.7,36.8,39.6,39.4,41.5
geoId-BGG,60.3,61.4,62.2,63.7,64.9,64.3,63.1,64.3,63.1,63.8,62.0,61.4,60.3,59.8,59.2,59.3,59.2,58.9,58.4,59.0,57.9,56.3,55.0,53.5,52.9,51.8,51.2,50.0
geoId-BKN,14.5,14.3,14.2,13.8,13.7,13.5,13.7,13.8,13.4,13.8,13.9,13.8,14.2,14.1,14.3,14.4,14.6,14.6,15.1,15.3,15.5,15.0,15.0,14.6,14.5,14.2,14.3,14.1
geoId-BNH,39.4,40.1,40.7,41.5,41.7,42.5,42.2,41.9,41.3,40.4,40.0,39.8,39.3,38.2,37.5,37.2,36.9,36.1,36.1,36.4,35.9,35.2,34.2,32.7,32.5,31.5,30.7,29.7
geoId-SCC,430.2,432.0,426.8,416.3,422.4,412.3,400.5,389.6,376.2,365.0,346.8,351.5,343.3,337.6,324.7,318.9,322.8,316.8,312.1,312.0,306.2,303.5,305.6,292.0,274.4,265.5,264.4,252.1
geoId-BTE,49.6,50.0,51.9,50.7,49.0,48.9,47.0,45.9,44.6,41.5,37.7,35.7,34.8,34.1,35.8,35.9,33.6,33.6,33.1,29.2,27.9,9.8,8.4,8.0,6.8,6.0,5.0,5.0
geoId-CBG,30.1,25.1,25.8,25.6,26.3,25.3,25.8,25.9,26.1,26.1,26.5,27.1,26.9,27.5,26.6,27.5,26.8,27.5,27.0,27.1,27.2,25.3,26.8,26.7,26.6,25.4,25.6,26.6
geoId-CMU,169.5,166.1,178.3,170.0,160.3,147.0,90.2,87.0,72.0,95.1,73.0,78.9,87.1,96.6,102.9,89.9,94.8,93.4,94.3,90.7,90.2,75.1,75.1,80.9,43.0,40.5,29.1,40.5
geoId-VNM,2601.9,2478.5,2531.8,2438.8,2423.5,2360.3,2225.0,2177.6,2109.3,2100.6,2037.8,2011.9,2015.5,2018.4,2017.9,1967.5,1969.1,1977.8,1986.1,1965.6,1790.9,1735.3,1711.4,1683.3,1612.0,1585.8,1558.5,1552.6
geoId-CTO,6.2,8.4,8.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,
geoId-GLI,47.4,46.1,47.6,44.4,42.8,45.0,45.9,45.8,45.4,44.2,44.9,47.8,46.1,46.1,46.8,46.4,46.1,48.0,48.3,48.9,48.9,49.4,49.6,49.4,48.4,49.8,49.1,49.2
geoId-HBH,27.1,26.0,26.6,24.0,27.0,26.9,27.5,28.0,27.3,27.4,27.0,26.7,26.2,25.4,25.4,24.1,24.6,24.8,24.5,24.2,22.9,23.4,23.1,22.6,22.6,21.3,22.1,22.0
geoId-HGG,23.5,23.9,23.1,23.1,23.0,23.7,24.0,24.3,25.2,25.6,25.7,26.0,26.2,27.1,27.1,27.2,27.3,27.5,27.7,27.9,27.2,28.2,28.3,28.3,28.2,28.3,28.4,28.4
