"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,1165.9,1219.9,850.9,388.2,354.1
geoId-BR-VT,1233.3,1255.4,1179.5,1358.9,1645.4
geoId-BDG,390.2,383.7,385.0,374.1,386.3
geoId-BPC,244.1,203.3,118.0,120.7,121.4
geoId-BTN,5243.7,5308.0,4916.7,5745.6,6187.1
geoId-BDH,9850.7,10040.0,9841.8,10263.1,10503.1
geoId-BGG,10373.1,9825.0,9637.1,8576.4,8174.2
geoId-BKN,591.0,541.0,586.1,591.9,586.1
geoId-BNH,596.4,534.9,505.4,502.5,480.5
geoId-SCC,83391.7,80230.5,76615.1,75595.5,73834.7
geoId-BTE,281.0,258.0,132.7,152.7,142.0
geoId-CBG,1922.5,1821.9,2044.3,1911.4,1753.0
geoId-VNM,185899.2,176763.4,169666.6,165234.8,159358.4
geoId-CTO,38.0,45.0,30.1,36.3,34.8
geoId-GLI,1774.6,1778.9,2138.6,2441.3,2514.0
geoId-HBH,4308.2,4335.2,4431.7,4442.9,4296.6
geoId-HGG,9378.2,9689.9,9519.8,9592.1,9350.4
geoId-HNM,419.4,477.0,437.5,491.9,416.1
geoId-HNI,2740.6,2386.8,2331.0,2406.7,2342.2
geoId-HTH,13562.7,12266.2,11083.4,10376.6,9194.1
geoId-HYN,842.3,740.7,669.0,627.9,603.9
geoId-HDG,1053.0,1066.0,898.0,924.0,823.0
geoId-HPG,127.5,105.4,98.5,121.5,137.8
geoId-KHA,570.8,570.0,536.0,465.6,423.0
geoId-KGG,16.0,15.0,11.1,11.6,11.7
geoId-KTM,146.0,174.0,149.7,143.8,144.1
geoId-LCU,1675.3,1536.4,1534.6,1302.2,976.4
geoId-LAN,2931.2,807.9,273.0,271.9,171.3
geoId-LCI,1567.0,1513.0,1365.5,1321.2,1058.1
geoId-LDG,445.4,557.8,722.2,856.8,875.5
geoId-LSN,3065.8,2809.0,3082.5,3092.3,2714.5
geoId-NDH,5287.0,5267.0,5179.1,4576.6,4660.9
geoId-NAN,14141.0,13385.1,12902.0,12211.8,11788.7
geoId-NBH,3394.5,3076.5,2875.5,2651.8,2442.7
geoId-NTN,914.5,817.8,859.9,773.8,796.8
geoId-PTO,3816.5,3683.2,3397.8,3301.9,2981.5
geoId-PYN,890.9,675.0,670.6,459.4,483.9
geoId-QBH,4515.5,4829.4,4246.8,4151.3,3930.5
geoId-QNM,9935.3,9551.6,9727.5,9522.0,9678.6
geoId-QNI,6020.9,5955.1,5964.3,6119.4,6156.1
geoId-QNH,2090.7,2125.8,2073.5,2053.3,1828.4
geoId-QTI,3579.1,3344.7,3213.6,3289.4,3142.3
geoId-STG,277.0,207.0,156.0,140.0,142.3
geoId-SLA,1341.0,1295.0,1447.0,1439.0,1339.0
geoId-THA,10504.2,9913.9,9401.0,9327.9,8856.3
geoId-TBH,2247.1,2448.7,2234.0,2233.9,2331.0
geoId-TNN,3514.3,3380.1,3155.9,3155.0,3021.2
geoId-TTH,3269.4,3171.9,2903.9,2517.8,2376.2
geoId-TGG,396.5,234.7,185.6,177.9,186.9
geoId-HCM,117.9,143.3,86.8,70.8,65.9
geoId-NT,49178.3,47828.1,47746.1,46289.3,43659.3
geoId-TVH,4390.0,4335.8,4233.9,4266.8,4208.0
geoId-TQG,4341.5,4356.5,4567.7,4569.0,4460.3
geoId-TNN,13522.2,12843.7,12791.5,12294.1,11726.1
geoId-TNH,5528.6,4776.1,3784.1,3594.4,3185.8
geoId-VLG,49.8,44.1,48.5,56.3,56.0
geoId-VPC,2411.0,2396.4,2297.9,2192.2,2150.6
geoId-YBI,1817.6,1784.6,1759.5,1801.4,1851.1
geoId-DBN,1466.5,1257.2,1216.5,1192.7,1097.0
geoId-DNG,393.1,401.8,347.7,371.8,318.1
geoId-ST,8971.8,7994.1,6928.7,6723.3,6558.3
geoId-DLK,6567.2,6685.0,5702.0,5901.0,5342.1
geoId-DNG1,4589.0,3648.0,4079.0,2951.2,2850.4
geoId-MRD,9625.8,7241.9,5985.8,5550.2,5363.0
geoId-RRD,21209.4,20625.2,19599.4,18782.4,18217.0
geoId-DNI,1457.8,1232.3,1375.4,1204.5,1153.6
geoId-DTP,80.4,71.9,64.0,46.7,55.2
