"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,9.0,10.5,20.9,13.8,10.0
geoId-BR-VT,308.9,312.6,298.9,300.1,347.3
geoId-BDG,572.3,560.5,520.0,509.0,464.5
geoId-BPC,237.8,236.6,191.2,161.8,173.0
geoId-BTN,1299.2,1264.0,1236.0,1226.2,931.0
geoId-BDH,1128.4,544.4,262.9,194.0,179.3
geoId-BLU,232.0,232.0,232.0,201.0,200.0
geoId-BGG,244.2,236.3,207.0,192.4,178.9
geoId-BKN,126.0,96.0,79.3,74.5,82.1
geoId-BNH,24.3,15.0,10.6,13.3,11.0
geoId-SCC,108133.8,99173.4,79597.5,71216.2,70842.5
geoId-BTE,699.0,314.0,133.0,65.0,3.0
geoId-CBG,3658.2,3321.3,2948.2,2846.0,2777.7
geoId-CMU,723.1,406.3,331.6,323.9,289.6
geoId-VNM,269434.0,237907.7,185455.0,165899.4,169451.3
geoId-GLI,40049.0,34054.3,30145.1,31439.6,36931.7
geoId-HBH,8927.3,8791.9,7638.2,7130.2,6610.6
geoId-HGG,808.0,823.5,707.0,693.7,587.7
geoId-HNM,6.7,5.0,,,
geoId-HNI,48.6,38.4,20.3,12.2,7.9
geoId-HTH,158.4,146.1,159.1,147.7,164.3
geoId-HYN,1.0,2.5,6.7,4.1,1.2
geoId-HDG,56.0,53.0,54.0,52.0,52.0
geoId-HPG,67.8,69.6,35.1,37.4,28.6
geoId-HGG,10582.4,8314.4,5908.5,5039.7,3842.2
geoId-KHA,17610.9,16438.0,12790.5,10396.5,9114.2
geoId-KGG,5285.0,5248.0,3793.0,1759.0,2074.6
geoId-KTM,1558.0,1171.8,933.5,944.6,961.1
geoId-LCU,145.3,157.0,222.7,238.2,275.9
geoId-LAN,7735.0,4469.3,480.7,62.1,26.5
geoId-LCI,339.0,401.0,418.0,364.8,340.1
geoId-LDG,369.0,354.0,267.1,196.5,192.8
geoId-LSN,238.1,220.8,209.0,202.5,184.2
geoId-NDH,124.0,110.0,93.0,76.0,53.0
geoId-NAN,24921.0,23235.3,20206.3,18805.3,20500.2
geoId-NBH,917.5,827.6,710.5,494.7,399.1
geoId-NTN,3534.0,3562.0,2346.9,2123.1,1835.5
geoId-PTO,328.1,264.7,241.2,156.3,94.6
geoId-PYN,27577.0,26210.3,21600.5,21369.1,22944.5
geoId-QBH,164.8,207.0,207.0,181.4,164.6
geoId-QNM,295.3,307.9,313.5,318.3,289.8
geoId-QNI,2886.5,2154.9,909.9,413.2,205.5
geoId-QNH,543.2,481.5,439.5,368.2,324.6
geoId-QTI,75.0,65.8,48.2,31.6,24.4
geoId-STG,8484.0,8031.0,5744.0,3392.0,3187.1
geoId-SLA,9451.0,8770.0,7852.0,9283.0,10100.0
geoId-THA,27870.0,24407.0,18882.0,15495.7,14036.2
geoId-TBH,90.6,114.5,45.7,46.9,34.2
geoId-TNN,165.1,163.0,149.0,114.5,111.0
geoId-TTH,206.4,177.6,172.7,138.2,146.5
geoId-TGG,278.1,289.0,186.7,189.5,164.1
geoId-HCM,1783.0,586.3,434.8,363.5,290.3
geoId-NT,33458.1,28034.3,23974.7,23929.2,23727.6
geoId-TVH,4515.3,2858.8,1688.9,1370.4,1369.1
geoId-TQG,8470.6,4470.5,2883.3,2239.4,2040.2
geoId-TNN,61202.5,57221.6,47663.4,44924.5,50937.3
geoId-TNH,14668.7,10724.9,6962.9,6135.6,6255.2
geoId-VLG,212.4,253.4,240.6,233.6,237.8
geoId-VPC,70.4,63.4,9.8,2.5,5.5
geoId-YBI,496.3,258.1,363.9,311.0,263.4
geoId-DBN,61.0,60.4,55.9,82.8,81.1
geoId-DNG,407.0,453.0,462.0,376.0,306.5
geoId-ST,25908.9,21247.6,14018.0,12045.7,11600.7
geoId-DLK,19148.5,21576.5,16233.0,12264.6,12760.3
geoId-DNG1,78.0,65.0,84.7,79.2,91.4
geoId-MRD,38780.5,30450.3,18775.9,12676.5,11426.0
geoId-RRD,1950.2,1780.5,1425.5,1107.4,917.3
geoId-DNI,8338.2,8826.7,5610.2,4575.7,4070.3
geoId-DTP,25.2,23.7,16.0,26.5,17.0
