dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,7666.3,730.2,302.3,,244.9,
geoId-VNM,2001,7492.7,729.5,290.7,,244.6,
geoId-VNM,2002,7504.3,816.0,320.0,,246.7,
geoId-VNM,2003,7452.2,912.7,313.2,,243.8,
geoId-VNM,2004,7445.3,991.1,286.1,,263.7,
geoId-VNM,2005,7329.2,1052.6,266.3,,269.6,
geoId-VNM,2006,7324.8,1033.1,288.1,,246.7,
geoId-VNM,2007,7207.4,1096.1,293.4,,254.5,
geoId-VNM,2008,7400.2,1140.2,270.7,,255.3,
geoId-VNM,2009,7437.2,1089.2,265.6,,245.0,
geoId-VNM,2010,7489.4,1125.7,269.1,498.0,231.4,150.8
geoId-VNM,2011,7655.4,1121.3,282.2,558.4,223.8,146.8
geoId-VNM,2012,7761.2,1156.6,301.9,551.9,219.2,141.7
geoId-VNM,2013,7902.5,1170.4,310.4,543.9,216.4,135.0
geoId-VNM,2014,7816.2,1179.0,305.0,552.8,208.7,130.1
geoId-VNM,2015,7828.0,1178.9,284.2,567.9,200.2,127.6
geoId-VNM,2016,7737.1,1152.7,267.6,569.0,184.8,120.3
geoId-VNM,2017,7705.2,1099.5,281.0,532.6,195.6,121.8
geoId-VNM,2018,7570.9,1032.9,269.4,513.0,185.9,117.9
geoId-VNM,2019,7469.9,986.7,237.9,519.0,176.8,117.0
geoId-VNM,2020,7278.9,942.5,185.5,524.7,169.7,109.0
geoId-VNM,2021,7238.9,902.8,165.9,524.5,165.2,98.3
geoId-VNM,Sơ bộ 2022,7109.0,887.0,169.5,530.3,159.4,86.2
