dia phuong,Năm,Tổng Diện tích (Nghìn ha ),Diện tích Lúa (Nghìn ha ),Diện tích Ngô (Nghìn ha ),Tổng Sản lượng (Nghìn tấn ),Sản lượng Lúa (Nghìn tấn ),Sản lượng Ngô (Nghìn tấn )
geoId-VNM,1990,100.8,102.2,84.8,100.3,101.2,80.1
geoId-VNM,1991,104.3,104.3,103.7,102.0,102.1,100.1
geoId-VNM,1992,103.0,102.7,106.8,110.1,110.0,111.3
geoId-VNM,1993,101.5,101.3,103.9,106.2,105.8,118.0
geoId-VNM,1994,101.1,100.6,107.7,104.0,103.0,129.7
geoId-VNM,1995,102.6,102.5,104.2,106.0,106.1,102.9
geoId-VNM,1996,104.0,103.5,110.5,106.9,105.7,130.5
geoId-VNM,1997,101.9,101.4,107.8,104.5,104.3,107.4
geoId-VNM,1998,103.2,103.7,98.0,105.4,105.9,97.7
geoId-VNM,1999,104.1,104.0,106.5,107.8,107.7,108.8
geoId-VNM,2000,100.6,100.2,105.6,104.2,103.6,114.4
geoId-VNM,2001,97.9,97.7,99.9,99.2,98.7,107.8
geoId-VNM,2002,101.2,100.2,111.9,107.8,107.3,116.2
geoId-VNM,2003,100.5,99.3,111.9,102.0,100.4,124.9
geoId-VNM,2004,100.8,99.9,108.6,105.0,104.6,109.4
geoId-VNM,2005,99.4,98.4,106.2,100.1,99.1,110.4
geoId-VNM,2006,99.7,99.9,98.1,100.2,100.0,101.8
geoId-VNM,2007,99.3,98.4,106.1,101.4,100.3,111.6
geoId-VNM,2008,102.9,102.7,104.0,107.6,107.8,106.3
geoId-VNM,2009,99.8,100.5,95.5,100.0,100.6,95.6
geoId-VNM,2010,101.0,100.7,103.4,103.0,102.7,105.8
geoId-VNM,2011,101.9,102.2,99.6,105.8,106.0,104.5
geoId-VNM,2012,101.6,101.4,103.1,103.1,103.2,102.9
geoId-VNM,2013,101.7,101.8,101.2,101.1,100.7,104.4
geoId-VNM,2014,99.1,98.9,100.7,101.9,102.1,100.2
geoId-VNM,2015,100.1,100.2,100.0,100.4,100.3,101.6
geoId-VNM,2016,98.7,98.8,97.8,96.0,95.6,99.2
geoId-VNM,2017,99.1,99.6,95.4,98.9,99.1,97.4
geoId-VNM,2018,97.7,98.3,93.9,102.2,103.1,95.4
geoId-VNM,2019,98.3,98.7,95.5,98.6,98.7,97.1
geoId-VNM,2020,97.2,97.4,95.5,98.1,98.3,96.3
geoId-VNM,2021,99.0,99.4,95.8,102.1,102.5,97.5
geoId-VNM,Sơ bộ 2022,98.2,98.2,98.3,97.5,97.3,99.5
