"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,391.8,417.2,415.0,429.2,462.9,464.4,459.1,477.2,503.9,523.0,529.7,503.5,520.3,564.5,557.3,586.6,607.6,625.1,641.4,625.8,644.2,669.0,641.1,623.1,626.3,637.2,624.9,604.3
geoId-BR-VT,22.4,21.3,21.8,22.5,25.6,26.8,27.5,25.2,24.5,24.4,21.3,23.4,22.3,24.1,24.7,22.4,23.7,24.1,23.5,23.5,24.5,25.1,24.8,25.0,24.5,24.4,24.0,22.9
geoId-BDG,30.1,26.2,25.9,25.8,26.0,24.9,24.3,23.8,23.5,22.8,18.6,15.8,13.7,11.7,10.4,10.1,9.8,9.6,9.3,8.3,7.6,7.3,7.2,6.9,6.7,6.3,6.0,5.6
geoId-BPC,25.0,22.0,23.8,19.3,18.9,15.9,14.1,15.1,15.5,15.5,14.5,14.5,13.6,14.3,14.8,14.6,13.4,14.6,13.6,13.0,12.8,12.2,12.2,12.1,11.5,11.2,10.6,10.5
geoId-BTN,65.3,71.2,75.6,78.3,87.7,93.1,91.1,87.3,85.3,88.2,81.5,96.4,96.4,101.0,103.3,107.2,111.3,113.2,115.3,119.7,115.0,103.5,124.2,125.2,118.7,109.7,123.5,120.4
geoId-BDH,118.5,124.0,122.0,120.3,126.1,126.9,128.8,118.5,125.8,125.4,111.7,121.0,112.0,115.1,114.0,113.1,112.4,111.2,102.5,106.3,105.7,102.5,105.1,103.6,100.0,94.2,96.0,94.6
geoId-BLU,130.0,139.8,152.0,170.7,205.9,217.3,178.1,169.8,150.4,137.3,141.3,144.1,149.9,155.0,166.5,158.3,164.3,178.7,181.8,180.2,180.6,172.4,180.6,185.0,188.2,187.6,191.0,188.9
geoId-BGG,109.8,110.6,112.9,114.5,114.3,115.0,115.2,116.9,115.8,116.1,114.0,114.2,109.9,111.4,111.4,112.2,112.5,112.1,111.6,112.8,111.5,109.5,106.8,104.0,102.8,100.9,99.7,97.7
geoId-BKN,18.0,17.8,18.2,18.1,18.5,18.8,19.6,20.2,19.9,20.5,20.9,20.8,21.2,21.5,21.8,21.8,22.2,22.3,23.0,24.0,24.6,24.3,24.0,23.5,23.3,22.9,22.9,22.7
geoId-BNH,78.8,79.4,81.2,82.3,82.7,84.0,84.0,83.5,82.5,80.8,79.8,79.3,76.2,74.8,74.8,74.3,73.7,72.6,72.5,72.7,71.9,70.8,69.1,66.4,65.6,63.4,61.8,60.1
