"Tỉnh, thành phố",1995,1996,1997,1988,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,1.0,1.3,0.9,0.9,1.2,1.3,1.3,1.8,1.6,1.9,1.8,1.9,3.0,2.8,2.5,3.2,2.7,2.0,1.8,1.8,2.0,1.9,1.8,2.0,1.9,1.8,1.5,1.7
geoId-BR-VT,3.1,3.4,3.2,2.5,2.7,4.2,5.0,6.2,6.5,7.5,7.4,7.8,7.8,7.5,6.6,6.7,6.8,7.0,7.1,7.0,6.9,6.8,6.9,6.9,6.8,6.8,6.7,6.5
geoId-BDG,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
geoId-BPC,0.3,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.2,1.8,2.1,2.1,2.1,2.2,2.3,2.3,2.1,2.1,2.0,2.0,1.9,1.9,1.8,2.3,2.4,1.6,1.1,1.1
geoId-BTN,0.2,0.4,0.5,0.5,0.6,1.1,1.8,1.9,2.9,2.9,2.0,2.3,2.2,2.2,2.1,2.4,2.5,2.5,3.0,2.9,2.7,2.5,2.9,3.0,3.0,2.8,2.3,3.1
geoId-BDH,3.8,2.7,2.8,3.2,3.5,3.7,4.2,4.1,4.4,4.5,4.5,4.5,4.6,4.3,4.5,4.7,4.7,4.6,4.2,4.5,4.8,4.8,5.0,5.1,5.2,5.2,5.3,4.9
geoId-BLU,41.4,42.6,42.2,40.3,38.9,54.0,83.0,100.6,112.3,118.8,118.7,120.2,122.2,125.6,126.3,125.4,125.2,117.8,127.9,127.5,130.6,131.8,136.1,138.9,140.5,140.5,143.3,144.7
geoId-BGG,3.6,3.5,3.5,3.5,3.0,3.0,3.0,3.4,4.3,4.6,5.0,5.5,5.9,7.7,8.5,8.9,9.2,9.2,9.5,9.8,10.0,10.1,9.9,10.1,10.1,10.0,9.8,9.7
geoId-BKN,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2
