dia phuong,Năm,Đất trồng trọt,Mặt nước nuôi trồng thuỷ sản
geoId-VNM,2004,,
geoId-VNM,2005,111.8,111.5
geoId-VNM,2006,111.9,116.9
geoId-VNM,2007,119.7,121.7
geoId-VNM,2008,138.9,114.8
geoId-VNM,2009,103.64,112.53
geoId-VNM,2010,120.0,119.2
geoId-VNM,2011,132.23,130.25
geoId-VNM,2012,100.83,107.47
geoId-VNM,2013,103.98,108.47
geoId-VNM,2014,104.76,112.56
geoId-VNM,2015,104.16,100.39
geoId-VNM,2016,103.39,103.48
geoId-VNM,2017,105.62,114.0
geoId-VNM,2018,103.99,105.95
geoId-VNM,2019,104.37,104.81
geoId-VNM,2020,104.9,101.71
geoId-VNM,2021,102.41,103.57
geoId-VNM,Sơ bộ 2022,101.16,103.63
