"Tỉnh, thành phố",Năm,Tổng diện tích rừng,Rừng tự nhiên,Rừng trồng,Mới trồng,Tỷ lệ che phủ rừng (%)
geoId-AGG,2008,14.1,0.6,13.5,0.3,3.9
geoId-AGG,2009,13.4,0.6,12.8,,3.6
geoId-AGG,2010,13.8,0.6,13.2,0.3,3.8
geoId-AGG,2011,12.5,0.6,11.9,0.3,3.4
geoId-AGG,2012,12.3,0.6,11.7,0.3,3.4
geoId-AGG,2013,12.3,0.6,11.8,0.4,3.4
geoId-AGG,2014,12.2,0.6,11.6,0.3,3.3
geoId-AGG,2015,12.2,0.6,11.7,0.8,3.3
geoId-AGG,2016,12.9,1.1,11.8,,3.2
geoId-AGG,2018,13.7,1.1,12.6,,3.3
geoId-AGG,2019,13.7,1.1,12.5,,3.6
geoId-AGG,2020,13.8,1.1,12.7,,3.7
geoId-AGG,2021,13.8,1.1,12.7,,3.7
geoId-AGG,2022,13.9,1.1,12.8,,3.7
geoId-BR-VT,2008,26.8,14.9,11.9,0.5,13.2
geoId-BR-VT,2009,26.8,14.5,12.3,,12.9
geoId-BR-VT,2010,26.7,14.4,12.3,1.0,12.9
geoId-BR-VT,2011,26.1,14.0,12.1,0.5,12.9
geoId-BR-VT,2012,26.0,14.1,11.9,1.2,12.5
geoId-BR-VT,2013,26.1,14.5,11.6,0.9,12.6
geoId-BR-VT,2014,25.6,14.2,11.4,0.4,12.7
geoId-BR-VT,2015,25.4,14.2,11.2,0.5,12.5
geoId-BR-VT,2016,28.3,16.4,11.9,,13.7
geoId-BR-VT,2018,28.2,16.3,11.9,,13.6
geoId-BR-VT,2019,28.4,16.3,12.0,,13.5
geoId-BR-VT,2020,28.4,16.3,12.1,,13.7
geoId-BR-VT,2021,28.6,16.5,12.1,,13.8
geoId-BR-VT,2022,28.5,16.4,12.1,,13.8
geoId-BDG,2008,9.3,1.2,8.1,0.0,3.4
geoId-BDG,2009,9.2,1.1,8.1,,3.4
geoId-BDG,2010,9.3,1.1,8.1,,3.4
geoId-BDG,2011,9.3,1.1,8.2,,3.4
geoId-BDG,2012,10.2,1.0,9.2,0.0,3.8
geoId-BDG,2013,10.2,1.0,9.3,0.2,3.7
geoId-BDG,2014,10.2,1.0,9.3,0.2,3.7
geoId-BDG,2015,10.2,1.0,9.3,,3.8
geoId-BDG,2016,10.4,1.8,8.6,,3.4
