"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,48.3,47.3,47.7,47.6,45.4,46.9,46.0,54.4,53.3,57.5,59.3,58.1,60.4,62.2,61.4,62.3,63.5,63.1,62.7,64.3,63.2,59.4,60.5,63.0,62.6,63.0,66.3,65.3
geoId-BR-VT,26.8,30.0,26.0,31.2,27.3,29.8,30.1,28.4,29.7,30.4,33.1,31.8,34.9,35.5,38.6,37.7,40.3,41.4,42.2,44.9,47.3,48.1,49.2,51.9,55.6,53.7,58.1,60.6
geoId-BDG,24.6,25.7,26.6,26.2,27.2,26.7,27.4,28.1,28.7,29.0,30.9,29.1,31.7,34.0,36.3,38.4,39.3,39.5,39.8,41.1,41.3,41.9,42.5,42.2,42.1,42.9,43.8,44.5
geoId-BPC,15.3,15.8,16.9,16.2,18.0,18.6,23.5,23.3,25.0,25.7,27.2,24.0,30.3,29.0,30.7,31.5,32.0,32.3,33.0,32.8,33.1,32.3,32.5,35.2,35.0,37.1,36.2,37.7
geoId-BTN,32.0,32.5,33.7,35.1,31.8,34.5,36.8,37.8,39.3,39.3,40.9,37.4,45.1,46.5,48.9,50.0,54.1,54.8,55.4,56.3,57.8,57.8,57.8,56.7,58.1,58.5,59.7,61.1
geoId-BDH,33.9,35.4,36.7,36.4,40.0,41.2,42.4,43.6,44.3,45.5,47.2,50.2,51.7,53.8,53.0,56.0,57.8,58.6,59.2,61.1,62.2,62.3,63.4,64.3,64.3,65.5,66.4,66.8
geoId-BLU,38.0,39.7,34.0,39.7,39.1,41.1,40.8,40.9,41.7,44.7,46.8,47.0,46.2,49.3,49.3,51.1,55.3,55.2,56.0,57.5,58.9,57.6,59.0,60.3,61.0,62.4,64.2,63.4
geoId-BGG,26.2,30.3,32.7,32.9,36.4,41.1,41.3,44.5,45.4,47.6,48.8,47.8,48.2,47.2,51.3,53.3,55.8,56.1,52.7,55.5,55.5,57.4,57.0,57.6,57.7,57.8,58.2,58.0
geoId-BKN,28.1,30.3,33.0,33.6,34.6,35.3,38.5,38.9,40.8,40.0,41.9,42.4,43.6,44.2,44.1,43.0,44.1,46.8,46.7,46.7,47.7,48.6,46.8,48.8,50.2,51.6,51.3,51.7
geoId-BNH,31.7,37.1,39.2,42.7,46.9,52.5,51.3,53.5,53.6,55.4,54.9,54.8,53.6,57.8,59.5,59.2,63.5,62.5,58.5,60.4,61.9,62.0,60.0,61.8,61.4,63.7,64.9,65.2
