"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,41.6,38.5,34.2,35.5,35.2,34.7,37.6,46.2,45.5,52.6,52.6,50.1,52.6,55.1,54.4,55.4,56.3,56.5,56.4,56.4,56.2,52.6,55.1,56.7,57.8,58.3,60.3,60.5
geoId-BR-VT,27.6,31.0,24.4,27.7,30.2,30.9,30.2,27.7,28.6,32.0,33.1,33.1,32.5,33.9,35.3,33.9,40.0,41.0,40.9,42.2,44.4,45.0,45.6,49.5,51.6,52.0,54.3,58.3
geoId-BDG,30.0,26.1,29.8,28.7,30.0,30.5,30.5,31.3,32.6,33.4,32.1,33.4,34.2,34.3,35.0,37.6,38.4,37.4,37.8,39.4,37.6,38.1,40.0,40.0,37.9,38.5,39.4,40.0
geoId-BTN,39.8,36.2,37.9,38.3,29.7,39.2,40.2,37.6,42.5,45.9,45.6,38.8,47.3,46.9,49.1,48.7,55.9,55.1,55.0,55.5,55.3,56.3,57.8,52.2,54.3,56.9,57.7,59.7
geoId-BDH,37.6,39.8,38.3,36.4,41.9,42.6,43.1,42.0,45.6,44.2,45.0,51.2,55.4,58.7,57.3,56.7,59.5,59.8,60.5,59.0,61.4,63.9,64.3,64.2,63.5,64.6,64.6,65.8
geoId-BLU,33.7,29.3,40.1,41.6,40.4,42.9,42.7,44.3,44.5,46.3,47.3,44.7,42.2,47.8,46.2,50.5,54.0,53.7,54.8,55.4,57.4,57.6,56.6,58.0,58.7,58.2,59.3,58.6
geoId-SCC,36.2,36.1,39.6,35.8,41.7,41.9,42.6,41.6,44.8,47.8,45.7,47.5,47.2,52.2,49.6,46.5,52.6,52.1,50.6,53.3,54.2,55.0,54.2,54.2,51.4,54.5,56.4,56.6
geoId-BTE,36.7,36.9,35.1,37.1,35.4,39.0,37.9,38.2,37.1,39.0,37.6,34.0,40.1,42.2,39.8,39.2,46.6,47.4,43.7,42.7,40.1,40.1,41.6,44.8,45.7,34.7,46.6,48.5
geoId-CMU,49.9,33.6,37.1,36.3,38.6,41.9,35.4,37.2,35.0,38.5,41.6,36.6,33.9,38.8,39.3,43.1,45.3,47.7,45.4,43.2,41.8,44.8,42.6,41.3,46.8,38.8,48.5,46.4
geoId-VNM,37.3,34.7,35.2,35.1,37.4,37.6,37.7,40.1,40.5,44.1,44.4,41.8,46.0,48.1,47.5,48.0,51.8,52.5,52.0,53.0,53.5,53.0,53.7,54.5,54.6,55.4,56.7,56.4
geoId-CTO,35.8,36.6,34.6,34.9,34.9,36.6,36.1,38.6,38.3,40.9,42.0,40.9,43.6,45.1,44.8,47.0,48.1,48.4,49.3,50.0,50.7,51.0,53.7,54.0,55.7,57.1,57.8,57.2
geoId-HTH,29.4,30.4,35.4,27.5,39.2,36.9,40.1,43.0,42.0,46.6,43.9,45.1,29.6,45.8,45.1,34.4,43.3,43.7,41.5,44.3,48.5,45.4,44.9,46.5,40.0,47.3,51.1,50.3
