"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-BDG,21.8,24.8,29.1,35.8,50.4
geoId-BGG,33.0,44.5,46.3,48.8,42.0
,13.2,12.4,11.3,11.4,11.2
geoId-VNM,855.1,1017.2,1160.8,1586.5,1807.9
geoId-CTO,7.8,9.5,9.7,10.5,11.2
geoId-HBH,71.8,86.2,92.1,100.1,105.9
geoId-HGG,52.8,75.2,91.1,80.5,65.8
geoId-HTH,29.9,40.2,47.7,63.8,66.7
geoId-HYN,28.9,32.2,35.5,33.2,32.6
geoId-HGG,97.8,124.8,104.8,87.0,82.3
geoId-NAN,47.5,54.6,59.3,60.8,55.7
geoId-STG,30.9,36.7,25.7,30.9,23.6
geoId-SLA,3.8,5.5,7.1,8.4,10.2
geoId-THA,3.8,8.8,10.1,12.7,14.1
geoId-TGG,52.8,38.8,30.7,25.5,17.8
geoId-TVH,52.6,56.8,64.6,78.0,120.9
geoId-TQG,81.1,85.7,95.5,108.4,104.3
geoId-VLG,105.0,138.2,249.0,644.6,822.0
geoId-YBI,10.3,11.5,12.7,13.9,14.8
geoId-DNI,9.4,10.9,12.5,13.2,12.7
geoId-DTP,47.3,50.4,46.9,34.8,59.1
