"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,2.2,2.0,1.2,2.5,5.5,5.8,4.3,8.1,8.1,6.3,7.7,6.3,3.4,4.4,2.1,3.7,6.4,5.6,6.5,12.4,3.4,4.8,4.8,3.0,3.1,2.5,1.8,2.2
geoId-BR-VT,4.0,3.9,2.9,3.4,3.5,5.9,2.5,1.7,1.7,2.3,1.6,1.0,1.0,0.8,0.4,0.5,0.6,0.6,0.6,0.5,1.2,1.0,0.7,1.3,1.3,0.1,0.4,0.2
geoId-BDG,1.4,4.4,4.5,4.5,4.5,5.4,5.0,4.6,4.4,3.3,2.5,1.8,1.8,2.0,1.8,2.1,1.8,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.4
geoId-BPC,1.4,4.6,5.2,4.2,4.5,4.2,4.9,5.4,5.2,5.9,6.1,6.7,5.9,4.3,5.8,4.9,4.3,3.0,2.8,2.7,2.0,2.7,3.2,2.6,2.7,2.6,3.0,2.4
geoId-BTN,30.4,34.8,31.5,21.2,21.3,17.3,18.2,19.0,17.9,15.8,13.3,9.1,7.0,6.1,6.4,6.3,6.2,5.6,6.0,5.2,4.5,3.1,3.1,3.4,5.4,3.2,3.3,2.7
geoId-BDH,5.8,4.9,6.1,5.9,5.3,5.7,4.1,3.8,3.2,2.7,2.3,1.9,1.3,1.8,2.5,1.5,1.5,1.7,1.7,1.6,1.4,1.3,1.5,1.7,1.4,1.0,1.0,1.5
geoId-BLU,1.4,1.1,1.1,1.1,1.3,1.1,1.0,1.9,2.3,1.9,3.0,3.0,3.2,3.3,3.3,3.4,3.3,3.4,2.7,3.8,2.8,3.1,3.0,3.3,3.4,2.9,2.5,2.5
geoId-BGG,123.9,106.1,104.9,95.0,104.8,115.7,124.6,143.3,122.9,117.6,99.7,97.6,98.3,88.7,74.8,83.0,77.6,67.4,67.6,63.3,62.3,61.0,60.7,55.6,53.6,50.6,45.8,41.5
geoId-BKN,0.8,0.7,0.9,2.2,1.7,1.4,1.7,1.6,1.5,1.6,1.5,1.9,2.1,2.5,2.6,2.2,2.4,2.1,2.7,2.5,2.4,2.4,2.4,2.2,2.6,2.6,2.7,2.9
geoId-BNH,30.2,25.9,27.6,17.5,27.9,30.6,20.3,27.8,27.2,27.1,29.8,24.1,19.0,14.7,6.5,11.7,10.2,9.2,7.5,6.5,5.8,3.4,2.5,2.1,1.6,1.6,1.5,1.3
geoId-SCC,663.8,708.0,637.5,645.2,652.5,583.6,617.4,582.1,533.3,505.0,458.2,426.3,407.6,374.7,330.7,340.6,314.3,284.8,272.0,243.9,235.9,216.7,201.8,186.5,185.7,170.1,164.1,157.8
geoId-BTE,10.0,10.0,4.3,3.4,5.1,3.4,4.7,6.1,4.2,1.9,1.9,1.9,2.0,1.7,2.8,2.0,1.2,1.3,1.5,1.1,0.7,0.8,0.5,0.5,0.4,0.2,0.4,0.5
geoId-CBG,10.3,10.0,12.8,11.1,10.4,8.9,9.2,9.2,8.8,8.0,9.2,8.1,9.7,9.1,8.3,8.4,8.4,8.3,7.8,8.8,8.4,7.8,7.8,7.6,9.8,9.5,9.9,7.9
geoId-CMU,2.1,2.8,2.8,1.9,3.7,4.2,3.0,2.1,2.2,2.1,1.6,1.4,1.0,0.8,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.8,0.9,0.8,0.9,0.7,0.7,0.7
geoId-VNM,1685.8,1697.0,1691.0,1526.1,1744.6,1611.3,1653.5,1703.7,1576.6,1512.3,1443.1,1460.9,1437.6,1325.6,1211.3,1318.5,1362.1,1427.3,1358.1,1401.3,1335.9,1269.3,1352.8,1374.7,1432.0,1378.0,1231.5,976.1
geoId-CTO,9.3,11.9,7.4,8.0,6.9,6.3,7.7,4.1,4.7,0.8,0.4,0.8,0.7,0.7,0.4,,,,,,,,,0.4,0.3,0.2,0.4,0.7
geoId-GLI,23.4,8.8,24.7,19.2,16.9,10.7,15.3,17.5,17.2,14.2,12.5,9.2,9.4,9.3,11.4,12.4,10.1,11.1,11.7,16.8,14.8,16.0,22.7,23.2,47.4,44.7,45.0,70.1
geoId-HBH,8.8,13.7,18.8,15.4,17.3,19.2,19.6,21.2,23.0,22.8,23.9,25.1,26.8,27.3,23.6,26.7,26.6,26.5,25.8,26.6,26.6,25.9,25.8,26.3,25.0,24.6,23.3,21.9
geoId-HGG,1.5,2.5,3.7,3.5,3.7,4.2,4.6,5.1,5.3,5.9,6.1,6.0,6.0,8.0,8.6,6.8,7.7,7.7,6.9,7.9,10.4,9.1,10.2,9.4,8.4,8.4,10.2,11.5
geoId-HNM,29.2,32.7,25.7,26.9,30.7,23.1,22.8,22.6,20.4,20.0,19.9,15.4,13.3,9.2,5.1,6.1,8.1,9.7,9.7,8.2,7.6,6.5,6.1,5.2,5.5,5.3,5.1,4.8
geoId-HNI,29.7,31.6,22.4,24.0,25.6,24.7,27.1,28.1,20.5,19.4,13.0,10.8,9.7,61.1,32.9,51.1,46.7,41.2,40.4,34.5,39.0,34.7,33.4,28.1,23.9,18.5,15.3,14.6
geoId-HNI,90.1,104.0,86.7,81.1,100.9,85.3,76.0,87.6,82.3,73.4,74.8,62.6,56.2,,,,,,,,,,,,,,,
geoId-HTH,101.2,108.0,94.8,99.3,110.8,107.9,90.0,89.6,89.6,90.6,87.6,85.0,84.6,78.2,61.6,58.9,50.4,41.4,39.4,35.9,34.5,30.6,27.3,26.1,25.9,24.4,25.9,27.3
geoId-HYN,28.2,25.9,37.4,25.0,41.7,33.1,20.9,24.0,20.5,14.1,16.4,17.3,18.1,17.7,9.0,10.0,11.6,9.3,10.2,8.4,6.9,7.5,7.6,6.9,6.6,6.1,4.3,3.5
geoId-HDG,61.9,56.8,68.2,52.3,79.7,72.1,50.8,54.1,45.0,36.8,31.3,28.0,21.5,15.5,12.8,11.5,12.2,9.7,8.6,8.5,7.8,7.5,8.7,9.3,8.8,8.1,7.8,8.6
geoId-HPG,44.3,42.8,40.3,34.1,38.9,37.8,32.3,33.5,29.7,26.4,22.6,20.8,19.3,18.4,16.2,16.0,15.9,13.8,14.5,10.8,9.6,8.3,7.8,7.7,8.5,7.6,7.8,8.3
geoId-HGG,,,,,,,,,,6.5,10.4,13.6,10.9,15.0,10.5,9.7,6.9,5.9,5.8,2.9,2.9,2.3,2.4,2.5,1.4,0.6,0.4,1.1
geoId-KHA,0.3,0.5,1.0,0.9,1.1,0.9,0.8,1.0,1.1,0.7,0.7,0.7,0.6,0.6,1.0,0.9,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.6,0.5,0.5
geoId-KGG,0.7,5.9,22.2,9.0,15.0,13.9,17.1,23.6,10.9,14.8,9.9,6.9,14.4,13.4,19.4,28.9,14.4,17.8,25.7,29.0,31.5,33.8,32.1,30.7,30.0,33.8,33.5,33.1
geoId-KTM,2.9,2.7,2.0,2.1,1.7,1.6,1.6,1.5,1.2,1.3,1.0,1.2,1.2,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.2,1.3,1.3,1.3,1.5,1.8,5.1
geoId-LCU,3.3,4.8,4.3,5.0,4.0,1.2,3.0,3.1,3.4,3.7,3.8,4.1,4.1,4.2,4.2,2.1,2.1,2.2,1.9,2.1,1.4,1.6,1.7,2.0,1.6,1.4,1.5,1.8
geoId-LAN,0.1,0.3,0.0,0.3,0.1,0.1,,0.1,0.3,1.2,0.6,0.6,0.7,0.6,0.3,0.5,1.2,1.0,0.3,0.2,0.4,0.9,0.7,0.1,0.1,0.1,0.1,0.6
geoId-LCI,3.2,2.9,3.3,1.8,2.1,1.7,2.2,2.2,2.5,2.2,2.0,2.5,3.1,3.2,3.6,4.5,5.2,5.1,5.4,5.7,6.0,6.2,7.3,7.4,7.5,7.0,7.7,5.0
geoId-LDG,15.5,16.7,18.9,12.8,17.1,24.0,23.3,24.3,26.5,27.8,29.9,34.2,29.1,32.9,30.7,26.9,29.5,26.2,21.6,19.9,18.4,24.8,32.4,35.9,38.3,52.2,60.6,72.5
geoId-LSN,6.5,9.1,9.4,12.1,13.4,11.7,11.3,12.5,13.2,12.7,12.4,12.2,12.6,9.9,10.8,11.0,12.8,12.1,11.7,12.6,11.9,12.8,13.7,13.1,12.3,9.7,9.2,9.8
geoId-NDH,60.4,68.2,55.1,47.5,55.4,52.1,41.6,41.9,42.6,33.3,31.4,34.3,32.9,29.8,20.0,21.7,18.7,18.3,17.4,15.8,14.9,13.7,13.2,13.0,15.9,14.5,12.6,10.7
geoId-NAN,133.4,168.1,153.9,176.9,180.8,148.4,182.4,163.2,146.2,131.6,103.1,90.9,78.3,78.2,67.6,74.4,68.9,55.1,52.7,40.9,40.8,34.5,26.4,25.4,26.6,25.0,24.3,24.6
geoId-NBH,21.5,13.0,22.6,20.8,23.3,19.0,25.2,21.4,22.2,21.5,19.2,17.4,22.2,18.8,15.4,19.4,20.6,17.2,19.4,17.7,18.3,13.2,12.6,11.7,10.9,7.8,6.6,8.8
geoId-NTN,0.6,0.8,0.4,0.1,0.2,0.6,0.7,0.6,0.1,0.1,0.4,0.4,0.5,0.6,1.8,2.5,1.7,1.8,1.7,1.1,1.1,1.5,2.8,3.4,3.3,2.4,3.1,3.2
