"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,33.6,43.3,23.1,25.4,26.7,25.8,32.2,23.6,21.8,23.7,25.3,23.5,17.0,31.0,28.5,23.3,23.3,29.7,27.4,24.3,19.2,20.1,17.2,0.3,19.0,20.3,20.5,15.2
geoId-BR-VT,33.0,36.2,33.7,42.2,37.2,44.2,46.3,41.0,44.7,39.1,43.1,37.0,41.9,41.7,43.9,40.3,39.8,39.9,40.1,43.4,44.5,45.5,42.6,45.7,50.4,44.8,50.2,42.0
geoId-BDG,43.7,37.2,38.1,38.1,38.7,33.9,32.8,33.7,34.2,33.3,28.0,20.6,21.4,19.6,18.8,19.1,17.5,17.4,17.0,14.9,13.5,13.6,13.4,12.9,12.4,11.6,11.4,10.8
geoId-BPC,37.1,30.9,36.9,28.6,29.7,24.0,25.8,28.9,30.6,31.1,33.0,26.5,32.8,31.8,35.4,36.2,33.5,35.0,33.4,31.6,31.4,30.2,28.8,29.2,27.0,30.4,27.5,28.4
geoId-BTN,110.6,123.6,133.0,143.9,125.3,128.5,137.1,152.8,131.6,124.3,143.3,132.3,164.9,148.6,188.8,174.7,186.3,201.1,213.1,218.3,223.2,223.9,239.8,236.2,235.0,244.9,245.2,242.8
geoId-BDH,94.8,110.9,96.2,120.2,122.7,131.3,142.2,114.7,138.0,161.0,110.1,137.4,118.5,119.0,87.4,103.4,99.1,94.7,86.0,75.0,67.9,59.2,65.7,54.1,35.1,32.4,30.1,19.5
geoId-BLU,432.0,465.9,379.6,405.0,392.2,385.7,311.3,287.7,289.9,290.9,289.5,293.2,291.4,297.1,316.6,270.6,302.5,341.2,383.7,392.2,140.5,120.9,149.0,162.0,181.9,221.6,239.9,252.0
geoId-BGG,167.1,167.1,194.9,205.8,238.3,254.4,252.9,280.0,271.0,284.6,287.4,282.7,302.0,254.6,291.1,301.1,311.4,313.1,273.8,314.5,301.8,308.5,296.4,290.7,291.1,288.9,288.6,282.7
geoId-BKN,40.5,42.3,47.3,45.4,45.8,44.5,51.1,52.1,52.3,52.1,56.5,59.6,60.6,61.0,60.3,58.1,57.4,63.1,64.7,67.7,67.4,66.9,62.9,65.0,68.5,68.7,68.2,68.6
geoId-BNH,122.9,122.9,141.5,177.6,196.2,210.1,212.0,219.8,207.8,208.8,199.8,200.9,208.5,199.0,205.5,200.8,208.4,202.3,180.4,210.5,207.4,207.8,190.0,187.7,193.2,197.2,194.7,188.1
geoId-SCC,1099.0,961.4,1119.3,1169.4,1224.8,1207.8,1293.4,1328.8,1346.6,1393.7,1227.8,1413.5,1437.7,1449.9,1376.0,1358.6,1421.5,1471.6,1436.5,1517.8,1473.7,1452.5,1456.4,1364.9,1326.9,1318.2,1348.7,1319.1
geoId-BTE,151.2,162.1,133.9,138.7,135.5,129.7,155.8,165.6,165.1,150.5,154.7,141.9,95.1,139.4,142.2,154.6,148.9,154.2,147.4,131.4,119.4,20.3,29.8,24.8,24.4,21.8,15.0,20.4
