"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,989.9,1018.6,993.7,1014.3,1026.4,1053.5,1026.4,1239.8,1280.4,1418.9,1519.5,1410.9,1510.1,1679.9,1623.5,1731.8,1828.3,1865.3,1905.5,1902.1,2067.8,2042.0,2017.6,2065.2,2077.9,2131.0,2191.5,2097.2
geoId-BR-VT,130.9,155.9,144.0,163.2,156.9,180.2,178.1,162.4,159.2,162.9,154.1,159.6,163.1,168.6,176.6,160.2,166.1,162.0,163.2,168.2,170.1,168.9,164.9,175.7,179.4,174.8,168.8,156.8
geoId-BDG,116.7,104.5,104.1,99.3,101.0,93.1,89.3,87.9,81.9,77.1,53.5,39.5,34.2,29.2,25.8,24.7,23.4,22.2,21.0,18.6,15.5,14.7,14.1,12.7,11.8,10.8,10.4,9.4
geoId-BPC,76.7,78.3,99.9,74.0,76.7,66.0,72.7,76.2,81.5,77.7,80.0,69.1,73.4,69.7,78.6,75.4,66.1,72.4,69.8,65.4,64.9,59.1,58.4,59.9,55.4,53.4,48.8,48.5
geoId-BTN,238.2,256.9,279.5,294.1,292.3,334.1,357.1,358.3,375.2,382.7,376.4,404.7,468.6,490.7,524.0,549.0,597.8,617.9,632.1,659.6,653.9,596.6,682.0,662.1,644.4,598.4,674.7,664.6
geoId-BDH,290.7,313.9,317.0,304.7,347.4,359.6,375.1,355.6,382.0,387.6,379.6,435.4,416.9,444.8,432.2,451.5,462.6,464.4,433.3,459.6,475.7,462.7,480.9,480.8,463.1,446.1,452.9,454.2
geoId-BLU,697.3,775.0,715.3,926.0,1091.0,1201.5,961.4,905.0,810.7,784.2,816.4,824.6,830.5,902.8,958.2,938.5,1043.8,1130.2,1166.2,1182.2,1200.6,1113.2,1187.1,1236.3,1264.6,1283.1,1336.4,1300.7
geoId-BGG,210.8,249.0,277.4,278.5,300.7,332.5,327.1,351.6,358.7,382.4,390.9,381.3,380.4,366.3,393.4,410.8,424.5,418.3,388.0,410.0,396.7,395.8,375.5,360.4,350.7,339.8,332.3,321.9
geoId-BKN,218.7,243.5,282.8,284.2,287.6,312.4,351.9,370.6,398.4,400.9,441.7,425.5,508.9,518.4,515.6,509.1,544.4,551.8,570.8,573.4,605.6,600.0,568.9,570.8,566.5,568.8,555.6,552.9
geoId-BNH,281.0,332.9,362.5,390.0,428.5,477.6,457.6,466.2,459.3,461.1,448.6,442.1,425.6,442.1,442.0,433.0,453.1,434.6,399.3,404.0,379.4,361.5,329.3,314.6,298.3,289.6,278.1,266.8
geoId-SCC,236.1,239.4,267.5,253.8,280.5,291.0,300.8,309.8,325.2,341.2,330.1,362.9,351.5,370.2,372.3,369.8,387.0,393.7,386.5,404.5,396.1,393.0,396.7,393.7,381.5,370.3,391.5,375.0
geoId-BTE,251.5,276.5,249.0,263.3,253.2,275.4,292.6,299.8,286.7,275.8,270.4,263.5,242.8,288.3,291.2,294.7,291.1,300.6,265.1,254.8,220.6,70.3,178.8,185.6,166.9,46.2,129.1,85.8
geoId-CBG,301.9,292.3,317.6,309.7,328.2,330.7,356.9,354.8,380.1,380.2,409.4,390.3,450.5,465.2,447.4,471.8,471.0,485.6,496.2,490.4,504.0,500.5,525.2,520.9,525.4,527.9,535.2,550.6
geoId-CMU,510.8,562.5,508.7,651.8,751.8,747.5,362.1,359.2,300.0,337.1,327.7,339.9,351.2,402.2,417.7,412.6,447.5,458.4,468.0,455.3,389.4,379.0,374.5,446.0,442.4,376.8,382.2,453.0
geoId-VNM,363.1,381.8,392.6,407.6,432.7,444.9,435.6,463.6,466.1,482.5,480.9,476.6,477.9,508.8,503.6,513.4,537.7,548.7,548.5,553.1,546.2,518.6,507.5,512.9,499.9,485.0,490.3,473.4
geoId-CTO,985.3,1027.2,966.4,1056.9,1091.3,1027.3,1057.0,1189.7,1931.3,1066.3,1077.2,996.8,969.3,1019.1,961.8,1005.5,1076.9,1091.6,1120.5,1109.0,1169.8,1155.6,1139.4,1166.6,1109.2,1127.3,1139.6,1096.3
geoId-GLI,153.4,179.2,184.3,169.3,195.5,235.8,268.8,283.2,355.1,344.6,361.3,397.8,394.5,389.2,387.7,406.3,378.9,403.4,399.4,411.3,387.3,371.0,385.6,381.9,390.4,387.1,374.9,381.7
geoId-HBH,207.8,194.8,217.6,195.9,239.6,277.0,316.9,328.0,352.3,378.6,345.0,379.7,365.6,447.2,421.2,427.2,453.3,448.3,442.8,449.3,432.6,454.1,395.7,416.7,411.0,408.0,415.3,420.1
geoId-HGG,231.3,252.9,261.4,274.4,286.4,313.5,335.9,349.4,361.2,362.0,363.1,359.1,358.2,389.8,424.8,450.7,478.9,489.9,494.9,489.9,483.7,482.3,477.3,478.7,472.9,476.4,470.9,469.6
geoId-HNM,409.7,418.4,460.7,486.9,515.6,514.0,519.1,526.9,502.1,515.0,507.6,550.8,562.5,580.5,569.8,584.0,595.9,594.1,549.6,556.8,549.2,528.7,490.3,499.6,492.7,472.4,458.6,448.3
geoId-HNI,81.8,89.1,87.5,88.7,88.9,93.6,78.3,79.6,76.8,73.8,68.8,66.5,65.9,201.9,189.9,187.8,198.1,190.4,180.1,179.5,171.1,159.0,148.0,140.1,129.4,126.7,126.4,121.5
geoId-HNI,303.8,320.2,321.2,357.0,393.5,410.3,395.5,422.1,405.6,409.0,366.9,354.7,338.8,,,,,,,,,,,,,,,
geoId-HTH,252.5,257.0,289.5,245.0,303.6,315.0,327.0,347.9,368.9,399.3,390.2,398.7,313.2,397.8,396.5,360.0,403.3,406.5,405.0,427.2,439.0,446.7,369.8,445.8,427.1,447.6,482.0,468.6
geoId-HYN,408.1,444.3,456.2,474.9,503.9,508.2,479.1,497.0,497.3,488.7,483.4,479.4,477.2,498.8,484.1,494.9,508.3,501.8,475.8,463.4,440.6,415.1,378.1,367.7,346.4,310.5,291.8,276.4
geoId-HDG,433.2,471.5,489.5,492.1,511.1,506.8,480.9,499.3,501.4,484.7,472.9,467.2,449.9,458.1,464.5,455.6,465.0,460.5,434.3,433.1,420.0,408.7,368.1,386.1,371.8,367.2,371.8,367.5
geoId-HPG,246.9,260.6,262.3,266.0,281.9,290.4,285.5,289.5,288.2,289.6,263.3,272.9,259.8,266.2,270.8,268.7,265.0,262.1,258.7,252.3,245.8,237.2,220.8,221.0,205.5,185.6,181.7,177.6
geoId-HGG,,,,,,,,,,1391.5,1486.4,1419.8,1156.5,1360.7,1323.9,1444.6,1480.6,1543.7,1568.4,1585.1,1761.1,1683.6,1730.9,1717.1,1745.4,1798.8,1771.4,1740.9
geoId-KHA,155.1,170.0,177.5,170.9,175.7,185.1,186.8,168.3,195.3,188.5,132.7,190.1,180.4,196.3,207.3,208.7,217.1,220.4,229.4,230.8,177.5,200.3,220.9,225.2,220.9,163.8,227.3,213.9
geoId-KGG,1050.6,1193.6,1164.7,1283.8,1347.0,1498.9,1418.2,1646.6,1549.9,1680.6,1817.7,1675.7,1799.1,2025.5,2012.4,2057.6,2290.4,2482.9,2578.8,2596.9,2723.2,2436.3,2370.6,2484.6,2490.5,2620.3,2578.5,2516.0
geoId-KTM,163.5,164.8,177.3,164.3,167.7,199.8,230.4,247.7,255.2,269.6,254.1,254.9,257.5,251.1,245.0,240.0,228.5,238.0,233.3,228.4,233.5,222.7,225.3,219.6,213.3,201.6,210.9,205.6
geoId-LCU,244.4,245.7,252.1,255.8,274.9,289.3,303.6,312.5,335.9,346.1,341.2,363.7,377.1,393.9,417.6,438.4,439.7,450.2,452.3,457.0,464.6,472.8,492.0,472.4,476.6,468.5,473.4,474.1
geoId-LAN,812.4,934.2,971.2,1082.2,1162.2,1183.6,1213.0,1278.8,1281.0,1365.7,1398.5,1275.0,1394.5,1544.4,1516.5,1617.2,1777.1,1840.2,1931.1,1956.1,1812.6,1710.4,1595.5,1674.1,1639.3,1653.0,1696.2,1650.7
geoId-LCI,200.3,211.3,204.0,219.7,235.6,249.3,271.0,281.7,303.9,304.0,313.2,311.1,333.9,328.3,358.7,363.8,394.8,401.7,410.3,400.1,413.9,426.3,431.0,450.6,454.0,457.0,442.1,434.9
geoId-LDG,144.5,138.3,174.5,163.3,154.7,146.1,151.6,133.2,177.3,179.6,191.8,163.3,195.2,185.6,192.1,176.9,194.1,204.0,192.9,188.3,182.7,169.4,169.6,158.4,150.5,143.8,143.3,138.2
geoId-LSN,221.0,228.8,262.8,258.5,257.1,266.0,329.0,327.4,348.5,363.4,384.9,356.1,395.8,392.4,392.1,401.3,365.3,411.4,418.1,413.0,415.6,427.8,404.7,400.2,386.0,385.7,372.6,386.0
geoId-NDH,443.4,452.7,499.7,518.2,523.3,512.8,511.3,514.3,495.5,514.9,433.0,535.0,518.6,519.2,496.1,531.4,519.6,519.7,506.8,518.2,531.4,526.5,483.0,510.7,508.7,505.5,487.0,473.9
