"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,0.4,0.4,0.8,0.5,0.4
geoId-BR-VT,14.0,14.6,14.1,14.5,16.3
geoId-BDG,23.8,23.7,22.2,22.0,19.9
geoId-BPC,7.0,4.8,5.4,4.5,4.6
geoId-BTN,60.1,54.0,50.4,50.3,39.8
geoId-BDH,66.8,30.7,14.4,10.4,9.6
geoId-BLU,17.4,17.6,17.7,15.5,15.6
geoId-BGG,9.9,9.6,8.4,7.8,7.2
geoId-BKN,5.7,4.1,2.8,3.0,3.3
geoId-BNH,0.7,0.4,0.3,0.4,0.3
geoId-SCC,6360.5,5776.8,4354.5,4225.1,4299.8
geoId-BTE,59.2,27.0,11.2,5.5,0.2
geoId-CBG,227.3,207.0,178.5,173.6,173.3
geoId-CMU,44.6,19.3,15.4,15.2,13.6
geoId-VNM,17945.2,15685.6,11534.6,10740.9,11083.0
geoId-GLI,2577.8,2203.7,1860.0,2067.9,2434.6
geoId-HBH,615.9,621.0,544.3,513.2,481.6
geoId-HGG,23.7,25.6,21.0,20.4,15.2
geoId-HNM,0.3,0.2,,,
geoId-HNI,1.8,1.3,0.7,0.4,0.2
geoId-HTH,8.4,7.2,7.3,6.7,8.0
geoId-HYN,0.0,0.1,0.3,0.2,0.1
geoId-HDG,2.8,2.7,2.7,2.6,2.6
geoId-HPG,3.9,3.8,2.0,2.0,1.5
geoId-HGG,1039.3,890.4,590.5,504.1,384.3
geoId-KHA,865.1,773.8,426.2,509.2,462.8
geoId-KGG,367.3,362.1,203.0,105.8,119.2
geoId-KTM,84.5,62.9,51.1,52.4,53.2
geoId-LCU,6.4,6.9,9.9,11.0,13.0
geoId-LAN,480.9,270.0,27.6,3.7,1.1
geoId-LCI,9.3,11.0,12.2,11.2,10.4
geoId-LDG,23.8,23.3,18.1,12.7,12.5
geoId-LSN,8.5,7.9,7.5,7.3,6.6
geoId-NDH,4.3,3.4,2.9,2.4,1.7
geoId-NAN,1517.1,1372.9,1192.7,1127.0,1225.4
geoId-NBH,58.4,53.7,46.2,32.2,26.0
geoId-NTN,201.3,186.9,120.2,119.5,113.9
geoId-PTO,18.6,15.2,13.7,9.0,5.4
geoId-PYN,1738.1,1696.8,1239.7,1346.2,1478.2
geoId-QBH,3.3,4.1,3.9,3.7,3.2
geoId-QNM,9.9,10.4,10.1,10.8,10.1
geoId-QNI,166.2,121.8,51.7,24.0,11.0
geoId-QNH,25.1,22.6,20.4,19.8,17.7
geoId-QTI,2.5,2.2,1.6,1.0,0.8
geoId-STG,843.6,757.7,510.6,284.0,283.4
geoId-SLA,621.8,570.3,512.8,621.3,681.6
geoId-THA,1700.6,1493.7,1213.7,997.3,919.2
geoId-TBH,4.7,6.0,2.4,2.5,1.8
geoId-TNN,9.1,9.1,8.4,6.5,6.2
geoId-TTH,4.8,4.0,4.2,3.5,3.7
geoId-TGG,11.4,12.0,7.7,7.9,6.8
geoId-HCM,131.5,39.7,30.1,25.3,20.0
geoId-NT,2105.3,1774.1,1498.2,1523.2,1530.3
geoId-TVH,454.5,271.0,163.7,129.7,137.8
geoId-TQG,535.5,275.9,169.4,130.5,119.6
geoId-TNN,3942.1,3808.1,3050.0,2997.6,3407.3
geoId-TNH,1132.0,813.2,526.0,452.5,466.8
geoId-VLG,14.7,17.4,16.6,16.2,16.7
geoId-VPC,4.0,3.6,0.5,0.1,0.3
geoId-YBI,12.3,8.9,8.1,6.7,5.2
geoId-DBN,1.4,1.4,1.3,1.8,1.8
geoId-DNG,16.5,18.4,18.3,15.3,14.1
geoId-ST,2096.0,1581.9,987.3,842.2,812.3
geoId-DLK,1251.3,1514.4,1115.8,859.8,901.5
geoId-DNG1,4.7,3.8,5.0,4.8,5.6
geoId-MRD,3335.2,2646.9,1566.2,1090.2,981.1
geoId-RRD,106.1,97.9,78.4,62.5,52.1
geoId-DNI,787.7,685.9,389.5,323.4,284.7
geoId-DTP,2.0,1.9,1.3,2.1,1.4
