dia phuong,Năm,Tổng số,Khai thác biển,Cá (Khai thác biển),Khai thác nội địa
geoId-VNM,1990,728.5,653.2,615.8,75.3
geoId-VNM,1991,801.1,694.2,614.6,106.9
geoId-VNM,1992,843.1,730.0,627.4,113.1
geoId-VNM,1993,911.9,785.3,660.0,126.6
geoId-VNM,1994,1120.9,946.3,712.5,174.6
geoId-VNM,1995,1195.3,990.3,722.1,205.0
geoId-VNM,1996,1278.0,1058.7,808.2,219.3
geoId-VNM,1997,1315.8,1098.7,835.3,217.1
geoId-VNM,1998,1357.0,1155.2,856.7,201.8
geoId-VNM,1999,1526.0,1314.6,974.7,211.4
geoId-VNM,2000,1660.9,1419.6,1075.3,241.3
geoId-VNM,2001,1724.8,1481.2,1120.5,243.6
geoId-VNM,2002,1802.6,1575.6,1189.6,227.0
geoId-VNM,2003,1856.1,1647.1,1227.5,209.0
geoId-VNM,2004,1940.0,1733.4,1333.8,206.6
geoId-VNM,2005,1987.9,1791.1,1367.5,196.8
geoId-VNM,2006,2026.6,1823.7,1396.5,202.9
geoId-VNM,2007,2074.5,1876.3,1433.0,198.2
geoId-VNM,2008,2136.4,1946.7,1475.8,189.7
geoId-VNM,2009,2280.5,2091.7,1574.1,188.8
geoId-VNM,2010,2472.2,2273.9,1664.8,198.3
geoId-VNM,2011,2595.9,2384.1,1737.9,211.8
geoId-VNM,2012,2725.7,2515.8,1844.8,209.9
geoId-VNM,2013,2835.5,2629.4,1920.6,206.1
geoId-VNM,2014,3010.0,2795.4,2057.2,214.6
geoId-VNM,2015,3176.5,2988.1,2235.1,188.4
geoId-VNM,2016,3264.1,3070.5,2310.7,193.6
geoId-VNM,2017,3463.9,3250.6,2451.3,213.3
geoId-VNM,2018,3659.8,3451.8,2636.8,208.0
geoId-VNM,2019,3829.3,3633.1,2822.3,196.2
geoId-VNM,2020,3896.5,3700.3,2884.3,196.2
geoId-VNM,2021,3938.8,3743.8,2922.3,195.0
geoId-VNM,Sơ bộ 2022,3874.2,3670.6,2860.6,203.6
