dia phuong,Năm,Tổng số,Cá,Tôm
geoId-VNM,1990,162.1,129.3,32.7
geoId-VNM,1991,168.1,132.3,35.8
geoId-VNM,1992,172.9,135.5,37.4
geoId-VNM,1993,188.1,139.7,39.4
geoId-VNM,1994,344.1,178.4,44.7
geoId-VNM,1995,389.1,209.1,55.3
geoId-VNM,1996,423.0,256.0,49.7
geoId-VNM,1997,414.6,279.3,49.3
geoId-VNM,1998,425.0,285.6,54.9
geoId-VNM,1999,480.8,336.0,57.5
geoId-VNM,2000,590.0,391.1,93.5
geoId-VNM,2001,710.3,421.0,154.9
geoId-VNM,2002,845.3,486.4,186.2
geoId-VNM,2003,1003.7,604.2,237.9
geoId-VNM,2004,1203.2,761.5,281.8
geoId-VNM,2005,1478.9,971.2,327.2
geoId-VNM,2006,1695.0,1157.1,354.5
geoId-VNM,2007,2124.6,1530.3,384.5
geoId-VNM,2008,2465.6,1863.3,388.4
geoId-VNM,2009,2589.8,1962.6,419.4
geoId-VNM,2010,2732.3,2067.7,458.8
geoId-VNM,2011,3002.2,2296.4,481.4
geoId-VNM,2012,3178.1,2417.5,489.6
geoId-VNM,2013,3298.2,2438.7,554.2
geoId-VNM,2014,3410.5,2467.1,621.7
geoId-VNM,2015,3550.7,2552.2,635.6
geoId-VNM,2016,3660.3,2594.8,662.2
geoId-VNM,2017,3938.7,2755.8,749.1
geoId-VNM,2018,4226.1,2954.3,816.1
geoId-VNM,2019,4592.0,3197.7,900.7
geoId-VNM,2020,4739.2,3263.8,944.7
geoId-VNM,2021,4887.9,3322.5,1015.7
geoId-VNM,Sơ bộ 2022,5233.8,3503.4,1145.4
