dia phuong,Năm,Tổng số,Khai thác,Nuôi trồng
geoId-VNM,1990,890.6,728.5,162.1
geoId-VNM,1991,969.2,801.1,168.1
geoId-VNM,1992,1016.0,843.1,172.9
geoId-VNM,1993,1100.0,911.9,188.1
geoId-VNM,1994,1465.0,1120.9,344.1
geoId-VNM,1995,1584.4,1195.3,389.1
geoId-VNM,1996,1701.0,1278.0,423.0
geoId-VNM,1997,1730.4,1315.8,414.6
geoId-VNM,1998,1782.0,1357.0,425.0
geoId-VNM,1999,2006.8,1526.0,480.8
geoId-VNM,2000,2250.9,1660.9,590.0
geoId-VNM,2001,2435.1,1724.8,710.3
geoId-VNM,2002,2647.9,1802.6,845.3
geoId-VNM,2003,2859.8,1856.1,1003.7
geoId-VNM,2004,3143.2,1940.0,1203.2
geoId-VNM,2005,3466.8,1987.9,1478.9
geoId-VNM,2006,3721.6,2026.6,1695.0
geoId-VNM,2007,4199.1,2074.5,2124.6
geoId-VNM,2008,4602.0,2136.4,2465.6
geoId-VNM,2009,4870.3,2280.5,2589.8
geoId-VNM,2010,5204.5,2472.2,2732.3
geoId-VNM,2011,5598.1,2595.9,3002.2
geoId-VNM,2012,5903.8,2725.7,3178.1
geoId-VNM,2013,6133.7,2835.5,3298.2
geoId-VNM,2014,6420.5,3010.0,3410.5
geoId-VNM,2015,6727.2,3176.5,3550.7
geoId-VNM,2016,6924.4,3264.1,3660.3
geoId-VNM,2017,7402.6,3463.9,3938.7
geoId-VNM,2018,7885.9,3659.8,4226.1
geoId-VNM,2019,8421.3,3829.3,4592.0
geoId-VNM,2020,8635.7,3896.5,4739.2
geoId-VNM,2021,8826.7,3938.8,4887.9
geoId-VNM,Sơ bộ 2022,9108.0,3874.2,5233.8
