"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,6917.2,7377.6,9128.7,10129.1,12727.7
geoId-BR-VT,22178.3,23608.5,25371.2,26965.7,28327.3
geoId-BDG,39613.3,43781.0,48975.7,52468.5,58990.5
geoId-BPC,17899.5,20578.8,23196.0,40016.0,76162.7
geoId-BTN,8079.2,8316.0,12792.3,15269.9,19900.7
geoId-BDH,18142.8,20828.9,22298.0,24142.9,26925.0
geoId-BLU,6187.3,6323.0,6552.0,6552.0,6855.0
geoId-BGG,76053.4,87926.0,95397.8,98465.3,89870.3
geoId-BKN,2261.3,2607.9,3271.1,3689.0,4903.0
geoId-BNH,17278.5,18729.6,19533.3,20839.0,26265.8
geoId-SCC,222779.9,269127.6,299673.1,319371.1,356222.4
geoId-BTE,18052.0,36428.0,43415.0,43276.0,38988.0
geoId-CBG,5034.2,5856.4,6515.8,6674.7,6739.1
geoId-CMU,7477.9,9089.1,12132.2,13203.5,13093.7
geoId-VNM,1346512.6,1669615.2,1871902.0,2025980.0,2178349.3
geoId-CTO,5901.9,6271.0,6812.3,7428.0,8691.1
geoId-GLI,6439.5,10183.5,11636.3,16620.5,20256.7
geoId-HBH,20499.3,21851.9,23269.7,24720.0,26345.3
geoId-HGG,7176.1,7692.2,8249.7,10064.6,11536.0
geoId-HNM,15898.2,19899.2,22339.0,22683.0,24463.5
geoId-HNI,95924.0,123295.0,154520.0,161841.6,159240.0
geoId-HTH,19048.0,20708.0,27355.0,24954.0,25082.0
geoId-HYN,27867.9,33998.0,37740.0,39520.3,41030.0
geoId-HDG,37214.0,46388.8,56587.3,61062.8,66030.0
geoId-HPG,48104.0,61860.6,67458.8,68126.0,67966.2
geoId-HGG,9267.5,12143.2,13615.3,13489.5,14584.4
geoId-KHA,6097.1,7361.8,7613.3,7846.0,10764.0
geoId-KGG,20045.0,20104.0,18796.0,16631.3,17856.6
geoId-KTM,4218.4,4974.6,5333.3,5426.2,5832.6
geoId-LCU,2611.5,4768.0,5962.9,5156.6,5167.2
geoId-LAN,29432.3,34197.1,38034.6,40501.1,42961.0
geoId-LCI,9472.0,17163.0,20993.0,22859.8,25017.1
geoId-LDG,12804.3,15301.8,21451.1,22653.4,26101.4
geoId-LSN,10684.6,13814.0,15231.1,16543.1,15867.9
geoId-NDH,23768.2,26925.5,29508.0,32208.0,34217.0
geoId-NAN,57396.0,62590.0,67004.0,73219.0,79090.0
geoId-NBH,8900.8,10309.0,11370.2,14059.1,14821.2
geoId-NTN,4029.3,5454.4,6046.9,6781.0,7847.4
geoId-PTO,30826.9,35848.3,40058.7,44409.1,49219.2
geoId-PYN,8370.0,13791.9,15930.6,16411.3,17353.3
geoId-QBH,15291.7,22525.6,22661.3,23718.2,26568.8
geoId-QNM,12279.0,14589.0,16315.0,17326.0,18965.6
geoId-QNI,12361.9,13361.2,14510.6,15330.3,16568.2
geoId-QNH,18149.7,19060.2,20157.4,20922.9,23108.4
geoId-QTI,6583.1,10293.5,12865.0,15638.8,18458.5
geoId-STG,24997.0,30680.0,23845.0,26568.0,29924.3
geoId-SLA,11460.1,12689.0,13423.0,13872.0,14913.0
geoId-THA,46730.0,56019.0,58350.0,62302.0,71698.7
geoId-TBH,52480.0,62041.9,68531.0,68531.0,70373.0
geoId-TNN,35487.0,45745.0,50247.0,91917.0,99697.2
geoId-TTH,7502.1,12394.1,14974.1,15083.0,15457.0
geoId-TGG,38979.0,47615.3,57875.1,56750.0,56385.4
geoId-HCM,2131.8,2798.0,2819.2,1820.4,1983.2
geoId-NT,235491.8,284379.1,315342.2,374224.3,387558.1
geoId-TVH,13578.3,19849.1,25106.3,25171.5,25294.1
geoId-TQG,14113.2,15159.3,16078.2,17358.0,18698.9
geoId-TNN,69417.2,86727.9,100242.6,114386.8,133521.4
geoId-TNH,29044.8,35316.9,38391.6,39177.4,41043.7
geoId-VLG,36851.9,42866.2,54818.4,55919.8,60433.6
geoId-VPC,31554.8,33730.5,35627.1,37413.2,39073.0
geoId-YBI,5855.1,9092.5,12201.6,13872.1,14768.1
geoId-DBN,3957.0,4165.7,4442.6,4622.9,4815.7
geoId-DNG,869.8,894.3,957.0,1348.7,1543.1
geoId-ST,214079.4,289624.5,312098.0,343516.2,393977.6
geoId-DLK,39610.0,49003.0,53491.0,60294.4,71007.0
geoId-DNG1,6345.0,7265.0,8331.0,9392.2,10323.8
geoId-MRD,227604.3,283517.7,321173.7,327274.7,340481.8
geoId-RRD,377140.1,456238.3,523372.1,547206.9,566588.1
geoId-DNI,103211.7,163541.3,173344.7,183068.1,187470.1
geoId-DTP,9917.0,10574.0,11043.0,11655.0,12687.0
