"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,300.5,283.6,126.5,106.8,112.7
geoId-BR-VT,32.0,33.1,34.6,32.7,30.9
geoId-BDG,518.7,525.4,555.3,533.0,556.0
geoId-BPC,1210.0,1020.0,1048.0,1074.0,1262.0
geoId-BTN,509.0,503.0,314.1,365.8,392.0
geoId-BDH,1707.7,1752.8,1734.2,1781.5,1718.0
geoId-BLU,100.0,113.0,118.0,117.0,120.0
geoId-BGG,2367.0,2942.7,2288.0,1983.0,1718.6
geoId-BKN,3408.0,3304.0,2938.0,3038.0,3063.0
geoId-BNH,188.9,205.8,219.4,245.0,570.0
geoId-SCC,41696.0,42413.2,42759.8,43223.5,43867.2
geoId-BTE,80.0,42.0,29.0,25.0,16.0
geoId-CBG,1979.4,2106.9,2254.9,2255.4,2176.4
geoId-CMU,24.0,22.1,21.8,22.2,13.3
geoId-VNM,114783.5,120261.8,120559.4,119941.7,120129.9
geoId-CTO,33.0,31.0,30.0,45.0,47.0
geoId-GLI,1440.0,1532.8,1876.5,1978.2,2494.6
geoId-HBH,3537.8,3667.0,3739.0,3812.5,3895.7
geoId-HGG,4085.0,4456.0,4794.4,6483.6,5317.5
geoId-HNM,150.4,156.1,170.0,173.0,176.0
geoId-HNI,1650.0,1710.0,1762.0,1872.0,2011.0
geoId-HTH,3514.0,3600.0,3800.0,3564.0,3600.0
geoId-HYN,262.0,270.0,376.0,442.0,469.0
geoId-HDG,515.0,539.2,876.1,912.3,899.0
geoId-HPG,735.0,734.3,707.9,748.9,736.6
geoId-HGG,176.4,162.4,161.8,161.0,153.4
geoId-KHA,233.6,253.4,235.8,232.6,235.2
geoId-KGG,630.0,632.0,604.3,425.0,478.0
geoId-KTM,678.0,714.0,740.6,744.6,769.5
geoId-LCU,2316.8,2773.6,2998.0,2856.0,2929.8
geoId-LAN,555.4,604.3,545.4,497.7,334.0
geoId-LCI,2100.0,3151.0,2758.0,2877.0,2892.4
geoId-LDG,1122.9,1021.2,896.8,998.4,1039.3
geoId-LSN,6442.5,6183.0,6339.6,5409.9,4902.6
geoId-NDH,831.0,856.0,868.0,879.0,886.6
geoId-NAN,10891.0,11503.0,12128.0,12526.0,12922.0
geoId-NBH,1007.3,967.2,965.8,938.7,956.7
geoId-NTN,121.5,120.8,125.1,124.3,141.4
geoId-PTO,4570.5,4802.8,4805.4,4984.3,5107.1
geoId-PYN,238.0,255.0,278.8,303.1,317.9
geoId-QBH,2407.7,1918.9,1783.9,1912.4,1963.4
geoId-QNM,2105.0,2257.0,2103.0,2060.0,2165.0
geoId-QNI,3325.3,3593.3,3637.7,3647.8,3763.6
geoId-QNH,1615.8,1675.1,1730.8,1857.2,1961.6
geoId-QTI,1259.0,971.0,920.2,925.0,795.6
geoId-STG,119.0,118.0,148.6,154.0,220.0
geoId-SLA,4737.0,5145.0,5065.0,5104.0,5213.0
geoId-THA,14235.0,14556.0,14671.0,14758.0,14839.0
geoId-TBH,795.0,829.0,848.0,848.0,897.0
geoId-TNN,3512.0,4869.0,5248.0,2432.9,1558.5
geoId-TTH,1076.3,1055.0,952.0,946.0,938.0
geoId-TGG,17.0,19.9,21.2,20.5,38.4
geoId-HCM,639.0,659.1,667.0,623.4,614.2
geoId-NT,50452.3,55386.2,55605.0,54120.1,52240.5
geoId-TVH,72.0,54.0,52.1,36.3,29.1
geoId-TQG,5706.5,6104.0,6444.9,6770.5,7295.7
geoId-TNN,6252.9,6422.0,6583.9,6881.6,7517.4
geoId-TNH,1662.6,1430.5,595.5,541.0,533.7
geoId-VLG,31.7,12.5,10.4,7.4,8.9
geoId-VPC,1566.5,1485.9,1434.9,1455.9,1405.3
geoId-YBI,3358.0,3414.2,3379.4,3480.2,3453.8
geoId-DBN,2331.8,2467.0,2552.5,2632.9,2716.4
geoId-DNG,73.0,74.0,76.0,77.0,76.2
geoId-ST,4344.4,3901.0,3138.9,3050.6,3257.1
geoId-DLK,2506.0,2589.0,2766.0,2997.4,3027.2
geoId-DNG1,506.0,565.0,304.0,163.0,186.8
geoId-MRD,2721.0,2710.8,2513.0,2293.8,2278.9
geoId-RRD,9316.8,9428.6,9958.8,10372.0,10968.7
geoId-DNI,282.0,232.9,238.5,246.6,260.3
geoId-DTP,582.0,616.0,644.0,676.0,708.0
