"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,68047.0,72004.0,74300.0,64168.0,72023.0,91268.0,96570.0,79263.0,67473.0,58062.0,51330.0,53403.0,51851.0,40650.0,40131.0,37209.0,40184.0,38486.0,33699.0,35189.0,21513.0,21212.0,22478.0,23101.0,16331.0,15142.0,14819.0,15124.0
geoId-BR-VT,96207.0,104427.8,96673.1,102033.0,111089.0,128681.0,137253.0,160127.0,165707.0,190540.0,203981.0,211043.0,220322.0,232706.0,246941.0,250339.0,267679.0,272987.0,285888.0,294819.0,304284.0,313499.0,322955.0,332797.0,342455.0,350556.0,351195.0,336413.0
geoId-BDG,139.0,152.0,195.0,198.0,202.0,211.0,219.0,230.0,242.0,408.0,467.0,516.0,534.0,343.7,295.0,280.0,264.0,265.0,268.0,274.0,274.0,243.0,244.0,245.0,251.0,251.0,246.0,247.0
geoId-BPC,958.0,755.0,456.6,316.0,349.0,417.0,411.0,341.0,329.0,317.0,355.0,397.0,488.0,559.0,583.0,412.0,357.0,377.0,399.0,402.0,393.0,355.0,407.0,365.0,364.0,356.0,354.0,332.0
geoId-BTN,95242.0,101456.0,110238.0,101223.0,130045.0,128451.0,128465.0,131719.0,138516.0,152867.0,148941.0,152079.0,155270.0,158451.0,169422.0,172851.0,175577.0,180262.0,187019.0,197909.0,197628.0,204002.0,212621.0,217807.0,220354.0,221491.0,230044.0,231316.0
geoId-BDH,58659.0,62249.3,59858.0,64645.0,69115.0,75406.0,82037.0,85935.0,92067.0,97852.0,107196.0,105777.0,112778.0,118848.0,129608.0,141655.0,152110.0,166972.0,179064.0,190366.0,202370.0,212011.0,221007.0,232389.0,245864.0,252334.0,257961.0,264816.0
geoId-BLU,24792.0,30298.0,39832.0,46238.0,52368.0,56999.0,55220.0,67958.0,65798.0,68493.0,62034.0,61250.0,68776.0,75421.0,82000.0,91763.0,98500.0,99578.0,100949.0,104790.0,106916.0,107276.0,111871.0,115001.0,118208.0,123072.0,118704.0,118614.0
geoId-BGG,3077.0,3427.0,3551.0,3580.0,3644.0,3688.0,3782.0,3746.0,2997.0,3015.0,2930.0,2811.0,2833.0,4522.0,4437.0,3709.0,3808.0,3531.0,4158.0,3861.0,3710.0,3686.0,3616.0,3565.0,3503.0,3463.0,3337.0,3263.0
geoId-BKN,28.0,43.0,43.0,48.0,258.0,45.0,28.0,32.0,27.0,21.0,20.0,26.0,28.0,36.0,32.0,29.0,30.0,27.0,29.0,37.0,44.0,48.0,49.0,50.0,49.0,47.0,94.0,137.0
geoId-BNH,1366.0,2000.0,1246.0,1350.0,1320.0,1282.0,1290.0,1272.0,1140.0,1174.0,1214.0,1068.0,1011.0,1515.0,1592.0,1578.0,1531.0,1529.0,1565.0,1478.0,1474.0,1354.0,1250.0,1222.0,1199.0,1180.0,1083.0,1112.0
geoId-SCC,424613.0,433558.0,475474.9,477535.0,545940.0,579670.0,600385.0,647147.0,679097.0,720509.0,757142.0,772841.0,803447.0,830247.0,881222.0,960209.0,996098.0,1062459.0,1127844.0,1197912.0,1275709.0,1301813.0,1413190.0,1500523.0,1584234.0,1640215.0,1680124.0,1715411.0
geoId-BTE,52195.0,48552.1,49980.0,56549.0,60395.0,66025.0,66545.0,63644.0,62950.0,71751.0,74039.0,75699.0,76226.0,81389.0,86966.0,123949.0,136091.0,156764.0,158047.0,159513.0,201750.0,203133.0,203299.0,210875.0,226366.0,230028.0,241012.0,234605.0
geoId-CBG,27.0,28.0,14.5,47.0,47.0,51.0,42.0,53.0,56.0,59.0,60.0,66.0,73.0,74.0,76.0,81.0,89.0,94.0,86.0,81.0,87.0,86.0,105.0,108.0,109.0,111.0,114.0,117.0
geoId-CMU,71638.0,80655.0,85121.0,90155.0,124687.0,124697.0,127054.0,121313.0,131013.0,138009.0,134173.0,137687.0,137670.0,134713.0,145750.0,153714.0,152953.0,154780.0,161670.0,198954.0,193563.0,209006.0,209071.0,214913.0,228000.0,235850.0,242330.0,232480.0
geoId-VNM,1195292.0,1277964.1,1315838.3,1356971.0,1525986.0,1660904.0,1724758.0,1802599.0,1856105.0,1939992.0,1987934.0,2026600.0,2074526.0,2136408.0,2280527.0,2472191.0,2595863.0,2725676.0,2835495.0,3009967.0,3176530.0,3264060.0,3463880.0,3659818.0,3829297.0,3896533.0,3938809.0,3874198.0
geoId-CTO,11077.0,10813.0,11837.0,9883.0,11316.0,11791.0,12837.0,11831.0,7107.0,6670.0,6454.0,6310.0,6223.0,6121.0,6053.0,5936.0,6393.0,6158.0,6028.0,6141.0,6086.0,5926.0,6246.0,6351.0,6550.0,6351.0,6627.0,7256.0
geoId-GLI,8.0,105.1,102.7,112.0,118.0,122.0,130.0,133.0,172.0,191.0,254.0,311.0,355.0,423.0,508.0,571.0,784.0,931.0,1034.0,2269.0,2441.0,2444.0,2785.0,3111.0,3181.0,3284.0,3407.0,3228.0
