"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,35060.0,48427.0,41579.0,40731.0,60984.0,80156.0,83643.0,110599.0,136825.0,154675.0,180562.0,181952.0,263989.0,315447.0,298235.0,279774.0,304285.0,300837.0,293500.0,296919.0,326566.0,348631.0,379246.0,463703.0,523578.0,496006.0,544128.0,589260.0
geoId-BR-VT,1061.0,1732.8,1685.6,1306.0,1381.0,1436.0,2622.0,3754.0,4607.0,8434.0,10661.0,11128.0,9531.0,7544.0,9004.0,11429.0,12680.0,12379.0,13539.0,14294.0,15041.0,15797.0,16319.0,16810.0,17966.0,18836.0,19737.0,20557.0
geoId-BDG,194.0,207.0,221.0,225.0,229.0,232.0,248.0,274.0,331.0,2023.0,2874.0,3454.0,4059.0,4831.0,5169.0,5381.0,6615.0,6385.0,4196.0,3687.0,3733.0,3807.0,3887.0,3966.0,4040.0,4178.0,3437.0,3548.0
geoId-BPC,200.0,666.0,1097.1,914.0,1332.0,1175.0,1650.0,2033.0,2862.0,3305.0,3820.0,4508.0,5269.0,7390.0,6941.0,6514.0,6034.0,4637.0,4777.0,5327.0,5304.0,5040.0,5235.0,4952.0,4331.0,4322.0,2923.0,3734.0
geoId-BTN,370.0,548.0,698.0,1044.0,1220.0,1698.0,3005.0,3457.0,5713.0,4851.0,4292.0,5255.0,6469.0,7390.0,12946.0,14550.0,15295.0,14343.0,13659.0,13570.0,12644.0,11739.0,13560.0,13890.0,14180.0,12048.0,11577.0,12604.0
geoId-BDH,1163.0,1264.0,1499.0,1540.0,1797.0,2419.0,2527.0,2877.0,3028.0,3243.0,3194.0,4205.0,4983.0,6308.0,7858.0,8743.0,9192.0,8423.0,8793.0,9446.0,9732.0,9969.0,9444.0,10917.0,11381.0,11506.0,12993.0,13234.0
geoId-BLU,8503.0,9814.0,10168.0,11755.0,13681.0,22366.0,37704.0,48953.0,72468.0,92812.0,110775.0,119800.0,130065.0,129730.0,139700.0,149281.0,154979.0,159850.0,169936.0,179106.0,191584.0,195168.0,210779.0,226258.0,241860.0,257681.0,283712.0,307921.0
geoId-BGG,2368.0,2891.0,3060.0,3168.0,2897.0,2964.0,3109.0,3521.0,4812.0,5486.0,6028.0,6874.0,8922.0,10528.0,14898.0,17397.0,19706.0,24465.0,26216.0,29420.0,32469.0,35243.0,37914.0,40139.0,42536.0,44948.0,46444.0,49499.0
geoId-BKN,195.0,266.0,228.0,242.0,45.0,266.0,215.0,289.0,369.0,378.0,430.0,524.0,648.0,698.0,772.0,834.0,842.0,827.0,860.0,871.0,890.0,906.0,1068.0,1723.0,2056.0,2088.0,2685.0,2703.0
geoId-BNH,954.0,1615.0,4014.0,4910.0,5286.0,5544.0,7203.0,8403.0,10514.0,13065.0,16383.0,19388.0,22828.0,23266.0,26136.0,29074.0,31700.0,32627.0,33457.0,34168.0,34663.0,35174.0,35765.0,35988.0,36652.0,37555.0,38661.0,39144.0
geoId-SCC,23474.0,26078.6,31806.7,35887.0,37101.0,48140.0,59323.0,66379.0,84810.0,93570.0,114981.0,121561.0,141293.0,154016.0,174407.0,180298.0,193436.0,204345.0,210730.0,229173.0,229512.0,229919.0,237265.0,248178.0,264311.0,274449.0,285258.0,302638.0
geoId-BTE,66500.0,64081.0,42260.0,37618.0,42509.0,50340.0,61168.0,70619.0,66099.0,58520.0,63358.0,69264.0,99553.0,157018.0,146707.0,166163.0,193528.0,225268.0,237996.0,243211.0,242483.0,250890.0,259838.0,271044.0,285171.0,281806.0,274915.0,291360.0
geoId-CBG,85.0,90.7,79.5,134.0,191.0,197.0,201.0,208.0,234.0,247.0,252.0,263.0,289.0,289.0,274.0,265.0,277.0,297.0,322.0,326.0,328.0,371.0,398.0,409.0,429.0,462.0,480.0,485.0
geoId-CMU,46969.0,43272.0,45995.0,42363.0,46718.0,73139.0,87688.0,88314.0,92317.0,98186.0,120086.0,138323.0,149725.0,174476.0,188670.0,233356.0,255577.0,271650.0,291140.0,288567.0,306318.0,282043.0,316422.0,335670.0,337650.0,354341.0,366635.0,383645.0
geoId-VNM,389069.0,423038.2,414593.8,425031.0,480767.0,589595.0,709891.0,844810.0,1003095.0,1202486.0,1478870.0,1693860.0,2124555.0,2465607.0,2589790.0,2732253.0,3002205.0,3178066.0,3298161.0,3410473.0,3550717.0,3660267.0,3938725.0,4226085.0,4591953.0,4739186.0,4887853.0,5233761.0
geoId-CTO,6405.0,7171.0,7606.0,7160.0,11359.0,12980.0,15122.0,25215.0,36324.0,59086.0,83783.0,110214.0,150857.0,181743.0,191824.0,172360.0,188808.0,193634.0,181862.0,173769.0,166325.0,160513.0,185581.0,210433.0,223832.0,214740.0,211609.0,233073.0
geoId-GLI,56.0,60.7,65.7,71.0,76.0,79.0,84.0,85.0,92.0,153.0,188.0,240.0,278.0,377.0,552.0,1972.0,1903.0,2478.0,3231.0,2936.0,2961.0,2972.0,3009.0,2973.0,3527.0,3633.0,4386.0,4699.0
geoId-HBH,600.0,849.0,856.0,988.0,976.0,945.0,1302.0,1565.0,1800.0,1964.0,2233.0,2572.0,2640.0,2727.0,3069.0,3348.0,3484.0,3709.0,3921.0,4111.0,4235.0,4684.0,4953.0,5331.0,5790.0,6031.0,6360.0,6722.0
geoId-HGG,627.0,681.6,728.5,795.0,836.0,858.0,886.0,984.0,998.0,1045.0,1081.0,1145.0,1203.0,1271.0,1316.0,1258.0,1494.0,1690.0,1857.0,1903.0,1752.0,1804.0,1858.0,2012.0,2008.0,2561.0,2690.0,2779.0
geoId-HNM,2666.0,2727.0,2922.0,4261.0,3643.0,4331.0,5790.0,7473.0,9407.0,10299.0,11584.0,12992.0,13933.0,11902.0,17296.0,19643.0,19967.0,20153.0,20663.0,21088.0,21779.0,21932.0,19072.0,22036.0,22466.0,24290.0,24007.0,24567.0
geoId-HNI,4985.0,5651.0,5696.0,6492.0,6917.0,7746.0,8722.0,8873.0,8975.0,9659.0,9816.0,10210.0,10802.0,34767.0,41484.0,56735.0,62127.0,67784.0,72823.0,82444.0,88860.0,95018.0,97956.0,104463.0,110882.0,114363.0,117891.0,121682.0
geoId-HNI,6450.0,7585.0,6460.0,7469.0,8480.0,8724.0,9760.0,12098.0,14432.0,17140.0,21639.0,23084.0,27960.0,,,,,,,,,,,,,,,
