"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,103107.0,120431.0,115879.0,104899.0,133007.0,171424.0,180213.0,189862.0,204298.0,212737.0,232192.0,235355.0,315840.0,356097.0,338366.0,316983.0,344469.0,339323.0,327199.0,332108.0,348079.0,369843.0,401724.0,486804.0,539909.0,511148.0,558947.0,604384.0
geoId-BR-VT,97268.0,106160.6,98358.7,103339.0,112470.0,130117.0,139875.0,163881.0,170314.0,198974.0,214642.0,222171.0,229853.0,240250.0,255945.0,261768.0,280359.0,285366.0,299427.0,309113.0,319325.0,329296.0,339274.0,349607.0,360421.0,369392.0,370932.0,356970.0
geoId-BDG,333.0,359.0,416.0,423.0,431.0,443.0,467.0,504.0,573.0,2431.0,3341.0,3970.0,4593.0,5174.0,5464.0,5661.0,6879.0,6650.0,4464.0,3961.0,4007.0,4050.0,4131.0,4211.0,4291.0,4429.0,3683.0,3795.0
geoId-BPC,1158.0,1421.0,1553.7,1230.0,1681.0,1591.0,2061.0,2374.0,3191.0,3622.0,4175.0,4905.0,5757.0,6661.0,7524.0,6926.0,6391.0,5014.0,5176.0,5729.0,5697.0,5395.0,5642.0,5317.0,4695.0,4678.0,3277.0,4066.0
geoId-BTN,95612.0,102004.0,110936.0,102267.0,131265.0,130149.0,131470.0,135176.0,144229.0,157718.0,153233.0,157334.0,161739.0,165841.0,182367.0,187401.0,190872.0,194605.0,200678.0,211479.0,210272.0,215741.0,226181.0,231697.0,234534.0,233539.0,241621.0,243920.0
geoId-BDH,59822.0,63513.3,61357.0,66185.0,70912.0,77825.0,84564.0,88812.0,95095.0,101095.0,110390.0,109981.0,117761.0,125156.0,137466.0,150398.0,161302.0,175395.0,187857.0,199812.0,212102.0,221980.0,230451.0,243306.0,257245.0,263840.0,270954.0,278050.0
geoId-BLU,33295.0,40112.0,50000.0,57993.0,66049.0,79365.0,92924.0,116911.0,138266.0,161305.0,172809.0,181050.0,198841.0,205151.0,221700.0,241044.0,253479.0,259428.0,270885.0,283896.0,298500.0,302444.0,322650.0,341259.0,360068.0,380753.0,402416.0,426535.0
geoId-BGG,5445.0,6318.0,6611.0,6748.0,6541.0,6652.0,6891.0,7268.0,7809.0,8501.0,8958.0,9685.0,11755.0,15050.0,19335.0,21106.0,23514.0,27996.0,30374.0,33281.0,36179.0,38929.0,41530.0,43704.0,46039.0,48411.0,49781.0,52762.0
geoId-BKN,223.0,309.0,271.0,290.0,303.0,311.0,243.0,321.0,396.0,399.0,450.0,550.0,676.0,734.0,804.0,863.0,872.0,854.0,889.0,908.0,934.0,954.0,1117.0,1773.0,2105.0,2135.0,2779.0,2840.0
geoId-BNH,2320.0,3615.0,5260.0,6260.0,6606.0,6826.0,8493.0,9675.0,11654.0,14239.0,17607.0,20456.0,23854.0,24781.0,27728.0,30652.0,33231.0,34156.0,35022.0,35646.0,36137.0,36528.0,37015.0,37210.0,37851.0,38735.0,39744.0,40256.0
