"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,639.0,2.0,,3.0,2.8,5.0,178.0,305.0,459.0,651.0,698.0,815.0,1060.0,1297.0,1045.0,916.0,774.0,697.0,333.0,358.0,333.0,193.0,75.0,140.0,23.0,18.0,12.0,10.0
geoId-BR-VT,208.0,236.8,538.0,535.0,348.8,454.0,1027.0,1509.0,1802.0,2855.0,3702.0,3981.0,3322.0,2495.0,2951.0,3950.0,4177.0,4687.0,5190.0,5386.0,5674.0,6148.0,6359.0,6563.0,6360.0,6725.0,7107.0,7527.0
geoId-BTN,320.0,398.0,320.0,1044.0,480.0,650.0,1900.0,2617.0,3320.0,2678.0,2496.0,1760.0,3423.0,4457.0,8842.0,9378.0,10197.0,9366.0,9052.0,9544.0,8474.0,7163.0,8042.0,8216.0,8383.0,7121.0,4039.0,5159.0
geoId-BDH,481.0,542.0,652.0,635.0,828.3,1559.0,1682.0,1901.0,1949.0,1910.0,1709.0,2310.0,2908.0,4041.0,5147.0,5971.0,6165.0,5393.0,5357.0,5726.0,5911.0,6112.0,7694.0,8805.0,9122.0,9156.0,9180.0,9037.0
geoId-BLU,7214.0,5720.0,5985.0,6977.0,5936.0,10403.0,28347.0,37392.0,55268.0,68342.0,63616.0,58400.0,64151.0,63984.0,68200.0,69096.0,72400.0,77107.0,84957.0,93825.0,104112.0,108343.0,116365.0,125200.0,136460.0,147479.0,169126.0,187157.0
geoId-BKN,3.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,,
geoId-BNH,,,,391.0,335.0,342.0,360.0,346.0,311.0,308.0,221.0,199.0,203.0,189.0,132.0,139.0,141.0,152.0,149.0,146.0,142.0,139.0,137.0,137.0,136.0,141.0,113.0,135.0
geoId-SCC,5666.0,6865.7,7494.6,10667.3,10895.4,18188.0,25591.0,27490.0,33499.0,33201.0,33311.0,37214.0,43563.0,51216.0,69562.0,73322.0,80581.0,79446.0,79246.0,87183.0,82135.0,77817.0,83454.0,86846.0,91963.0,94441.0,95131.0,98427.0
geoId-BTE,5300.0,5446.0,5580.0,4603.0,5167.4,5827.0,8024.0,11454.0,13698.0,19398.0,25090.0,23446.0,25362.0,22841.0,20338.0,37531.0,39148.0,43243.0,46589.0,55946.0,47180.0,45479.0,57776.0,63125.0,72145.0,76640.0,88931.0,118609.0
geoId-CMU,24016.0,18325.0,18935.0,16817.0,19720.0,35377.0,55330.0,60619.0,62443.0,67936.0,81100.0,88443.0,89737.0,94291.0,99600.0,107847.0,117352.0,125483.0,138372.0,140144.0,146541.0,145181.0,157660.0,178742.0,188491.0,195504.0,205290.0,218450.0
geoId-VNM,55316.0,49749.3,49297.9,54884.4,57452.0,93503.0,154911.0,186216.0,237880.0,281816.0,327194.0,354514.0,384519.0,388359.0,419381.0,458848.0,481440.0,489631.0,554215.0,621674.0,635573.0,662222.0,749133.0,816142.0,900687.0,944720.0,1015709.0,1145362.0
geoId-CTO,142.0,117.0,113.0,117.0,17.0,17.0,65.0,67.0,78.0,100.0,75.0,124.0,206.0,81.0,35.0,22.0,25.0,22.0,20.0,19.0,19.0,25.0,23.0,20.0,11.0,12.0,11.0,5.0
geoId-GLI,,,,,,,,,,,,,0.4,0.4,0.5,,,,,,,,,,,,,
geoId-HGG,,1.2,1.7,1.2,1.3,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,18.0,23.0,24.0,24.0,11.0,16.0,16.0,15.0,16.0,16.0,17.0,17.0,18.0,17.0,2.0
geoId-HNM,79.0,27.0,30.0,,,35.0,48.0,50.0,16.0,56.0,129.0,162.0,202.0,212.0,321.0,13.0,12.0,14.0,15.0,14.0,17.0,8.0,0.0,,,,,26.0
geoId-HNI,,,,,0.4,2.0,34.0,46.0,47.0,45.0,21.0,31.0,28.0,21.0,13.0,14.0,13.0,13.0,10.0,0.0,,,,,1.0,1.0,,
geoId-HNI,,,,,,,1.0,1.0,1.0,,4.0,8.0,9.0,,,,,,,,,,,,,,,
geoId-HTH,116.0,250.0,123.0,86.0,94.0,346.0,301.0,631.0,1511.0,1881.0,2517.0,2213.0,1857.0,1352.0,1540.0,1726.0,2060.0,2139.0,2436.0,2686.0,3701.0,3682.0,3893.0,4339.0,4432.0,5233.0,5334.0,5687.0
geoId-HBH,,,3.0,,2.1,7.0,6.0,6.0,15.0,18.0,30.0,40.0,42.0,45.0,36.0,38.0,39.0,41.0,43.0,44.0,45.0,52.0,43.0,45.0,34.0,35.0,37.0,37.0
geoId-HYN,,,,,25.0,38.0,82.0,186.0,180.0,187.0,269.0,192.0,237.0,196.0,252.0,273.0,210.0,232.0,236.0,234.0,238.0,221.0,230.0,235.0,240.0,245.0,252.0,227.0
geoId-HDG,,,,,,,,14.0,16.0,14.0,17.0,18.0,12.0,15.0,14.0,16.0,15.0,21.0,22.0,17.0,9.0,8.0,7.0,24.0,28.0,33.0,34.0,35.0
