"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,35.7,35.4,33.9,34.9,35.0,37.3,39.8,47.7,52.8,62.1,69.8,74.0,72.9,71.1,73.7,75.3,75.7,79.3,91.2,109.3,111.7,96.0,81.5,73.3,66.7,66.8,59.1,57.3
geoId-BR-VT,24.4,26.1,26.1,26.2,25.6,25.6,26.5,26.4,33.3,34.9,48.1,53.8,67.8,52.7,42.8,37.9,33.8,37.0,35.6,36.0,36.6,43.5,46.0,47.4,48.7,49.0,51.1,52.3
geoId-BDG,35.5,31.4,28.9,29.0,29.0,27.1,27.1,28.8,29.9,31.9,35.7,44.5,47.3,40.9,36.4,29.9,27.3,25.1,22.6,21.9,22.4,23.2,24.0,24.8,25.0,24.6,21.0,20.9
geoId-BPC,15.1,19.6,20.0,22.9,24.3,26.2,27.0,35.5,37.5,44.1,53.1,72.1,74.2,72.2,70.0,64.0,44.5,32.7,29.1,28.5,28.0,33.5,35.9,37.5,37.2,38.6,39.1,40.1
geoId-BTN,101.9,103.8,111.6,117.0,109.0,115.1,120.8,133.8,142.7,161.5,178.0,186.2,215.6,220.7,224.1,223.6,167.0,167.2,160.2,164.3,163.5,163.2,163.7,166.9,167.2,170.4,173.3,179.4
geoId-BDH,230.3,242.1,231.7,242.8,239.5,238.8,192.5,221.3,234.6,255.8,289.2,340.0,335.6,307.5,288.4,276.5,251.8,246.3,246.7,252.4,266.0,301.7,294.7,290.6,292.5,296.7,298.1,305.4
geoId-BLU,,,,,0.1,0.2,0.2,0.3,0.9,0.5,0.6,1.5,1.7,1.8,1.6,1.7,1.4,1.3,1.2,1.2,1.5,1.6,2.3,2.4,2.5,2.6,1.9,1.9
geoId-BGG,55.3,57.6,60.1,63.2,66.4,68.0,75.1,76.7,82.4,90.5,99.8,141.0,148.4,149.4,150.3,151.0,139.1,132.8,129.1,130.7,134.2,137.2,140.3,141.6,138.0,132.7,118.7,109.8
geoId-BKN,12.3,20.2,21.3,28.3,30.0,32.5,32.0,33.5,35.3,37.2,38.6,40.2,44.9,36.2,31.0,27.1,22.4,20.2,19.8,21.1,22.6,21.8,23.1,22.0,19.1,19.4,19.4,19.9
geoId-BNH,35.3,36.9,37.0,39.1,40.7,42.6,42.0,44.0,48.3,54.6,59.8,62.2,60.6,49.6,44.6,42.3,40.3,36.1,35.6,34.6,34.0,32.6,30.8,29.8,27.9,27.5,25.7,18.8
