dia phuong,Năm,Trâu,Bò,Ngựa,"Dê, cừu",Lợn (*),Gia cầm (**) (Triệu con)
geoId-VNM,1990,2854.1,3116.9,141.3,372.3,12260.5,107.4
geoId-VNM,1991,2858.6,3135.6,133.7,312.5,12194.3,109.0
geoId-VNM,1992,2886.5,3201.8,133.1,312.3,13891.7,124.5
geoId-VNM,1993,2960.8,3333.0,132.9,353.0,14873.9,133.4
geoId-VNM,1994,2977.3,3466.8,131.1,427.9,15587.7,137.8
geoId-VNM,1995,2962.8,3638.9,126.8,550.5,16306.4,142.1
geoId-VNM,1996,2953.9,3800.0,125.8,512.8,16921.7,151.4
geoId-VNM,1997,2943.6,3904.8,119.8,515.0,17635.9,160.6
geoId-VNM,1998,2951.4,3987.3,122.8,514.3,18132.4,166.4
geoId-VNM,1999,2955.7,4063.6,149.6,470.8,18885.8,179.3
geoId-VNM,2000,2897.2,4127.9,126.5,543.9,20193.8,196.1
geoId-VNM,2001,2807.9,3899.7,113.4,571.9,21800.1,218.1
geoId-VNM,2002,2814.5,4062.9,110.9,621.9,23169.5,233.3
geoId-VNM,2003,2834.9,4394.4,112.5,780.4,24884.6,254.6
geoId-VNM,2004,2869.8,4907.7,110.8,1022.8,26143.7,218.2
geoId-VNM,2005,2922.2,5540.7,110.5,1314.1,27435.0,219.9
geoId-VNM,2006,2921.1,6510.8,87.3,1525.3,26855.3,214.6
geoId-VNM,2007,2996.4,6724.7,103.5,1777.7,26560.7,226.0
geoId-VNM,2008,2897.7,6337.7,121.2,1483.4,26701.6,248.3
geoId-VNM,2009,2886.6,6103.3,102.2,1375.1,27627.7,280.2
geoId-VNM,2010,2917.7,5904.7,93.1,1288.4,27347.5,301.9
geoId-VNM,2011,2714.4,5441.5,88.1,1267.8,27056.2,321.9
geoId-VNM,2012,2627.0,5202.9,,1343.6,27544.4,332.6
geoId-VNM,2013,2565.3,5170.6,,1466.3,27267.8,345.8
geoId-VNM,2014,2586.9,5383.9,,1668.9,27807.4,353.9
geoId-VNM,2015,2626.1,5749.9,,1885.2,28864.0,369.5
geoId-VNM,2016,2638.6,6219.1,,,30863.9,395.5
geoId-VNM,2017,2605.1,6285.3,,,29110.7,407.1
geoId-VNM,2018,2486.9,6325.2,,,29830.7,435.9
geoId-VNM,2019,2388.8,6278.0,,,20208.3,480.3
geoId-VNM,2020,2332.8,6325.5,,,22028.1,512.7
geoId-VNM,2021,2262.9,6333.3,,,23202.8,524.2
geoId-VNM,Sơ bộ 2022,2232.1,6348.4,,,24678.4,545.4
