"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,139.3,155.5,176.9,162.6,165.48,186.1,164.9,179.8,203.8,252.3,209.2,190.9,175.6,169.3,181.9,170.77,177.95,170.3,126.27,105.01,106.84,123.4,116.57,113.09,70.17,65.12,75.35,122.4
geoId-BR-VT,108.0,119.7,125.3,127.1,137.34,138.9,136.8,144.0,169.5,194.5,206.4,221.2,264.2,278.1,286.0,275.59,303.22,301.34,339.64,341.51,358.24,371.09,379.19,356.6,254.04,258.02,287.79,297.13
geoId-BDG,81.5,87.1,91.5,118.2,135.14,178.9,222.8,246.7,269.0,288.2,291.7,298.8,306.0,332.1,363.4,385.2,447.42,443.09,467.55,473.77,528.23,549.73,602.39,643.7,640.98,674.28,695.61,704.14
geoId-BPC,87.5,93.9,103.1,106.8,120.01,134.5,127.3,146.2,160.0,187.5,164.2,166.1,153.3,158.1,194.7,200.76,200.97,249.24,258.14,260.13,284.58,321.67,353.97,507.47,690.19,848.36,913.9,1355.98
geoId-BTN,171.2,172.1,182.9,190.1,194.11,211.8,212.2,234.7,242.5,260.4,268.4,313.3,260.9,263.0,274.3,269.54,205.78,229.08,276.84,253.2,279.24,285.64,265.61,278.0,269.3,303.75,321.94,355.46
geoId-BDH,340.1,349.1,380.8,384.5,392.97,411.1,545.2,574.9,627.6,663.0,659.4,633.4,620.4,621.4,684.3,569.37,660.45,710.4,715.85,755.93,797.7,851.07,685.37,740.04,593.7,666.87,658.87,655.1
geoId-BLU,223.6,177.0,170.1,168.9,185.65,206.0,187.1,203.3,222.3,226.4,246.4,253.8,254.2,253.8,241.1,217.91,226.8,228.27,201.16,230.37,239.47,253.82,229.25,249.29,97.66,165.62,175.27,199.23
geoId-BGG,551.7,558.6,604.4,669.7,703.89,718.3,781.0,803.4,843.0,899.2,928.4,1034.8,1002.3,1050.6,1133.3,1162.35,1168.18,1173.12,1193.61,1214.54,1244.15,1305.94,1077.4,1105.29,714.7,830.67,740.15,736.38
geoId-BKN,125.2,125.1,126.3,124.5,128.15,157.2,152.7,147.3,154.0,158.6,157.7,144.2,155.0,164.1,189.6,190.0,183.48,224.86,221.43,211.81,221.11,196.69,196.77,192.66,115.23,124.29,130.03,150.95
geoId-BNH,293.2,296.2,332.0,368.8,398.48,419.7,417.5,443.6,473.3,451.3,462.7,441.2,384.9,416.9,437.5,389.32,392.1,388.99,397.38,410.68,415.07,418.28,381.54,392.03,190.46,226.79,243.85,172.94
geoId-SCC,4370.0,4484.5,4632.9,4648.9,4599.72,4953.4,5551.2,5901.1,6265.4,6433.0,6526.4,6244.6,6148.5,5880.0,5888.0,5552.69,5253.28,5402.92,5415.12,5472.87,5566.17,5661.31,5059.11,5224.38,3913.05,4496.95,4638.22,4901.82
geoId-BTE,232.1,242.5,247.2,252.2,261.82,280.8,272.6,288.5,312.1,315.4,299.8,325.8,303.5,280.3,311.0,431.56,446.52,430.92,441.05,468.24,502.1,52.33,635.08,598.2,296.36,283.53,327.9,335.65
geoId-CBG,272.6,217.5,222.1,230.5,238.6,245.0,262.9,269.6,284.1,295.9,308.8,302.2,310.8,322.3,342.3,340.8,354.04,378.98,381.21,383.14,389.2,343.74,350.63,360.61,237.9,245.39,260.98,275.95
geoId-CMU,164.7,241.6,206.2,208.9,240.7,285.8,187.8,201.8,216.1,227.3,245.9,215.3,210.3,219.7,218.5,217.66,225.33,213.59,192.19,133.43,139.41,134.1,123.21,103.5,71.69,74.06,87.37,103.56
geoId-VNM,16306.4,16921.7,17635.8,18132.4,18885.77,20193.8,21800.1,23169.5,24884.6,26143.7,27435.0,26855.3,26560.7,26701.6,27627.6,27347.49,27056.19,27544.44,27267.77,27807.37,28863.98,30863.91,29110.72,29830.71,20208.25,22028.1,23202.78,24678.36
geoId-CTO,205.6,213.3,219.8,217.0,242.61,242.6,289.2,288.0,314.5,149.3,135.9,167.3,142.9,125.1,113.9,121.03,126.16,125.29,107.89,124.1,121.16,161.2,131.16,130.13,96.39,110.17,110.47,119.2
geoId-GLI,238.2,254.9,256.1,268.1,283.79,302.0,280.2,294.2,317.0,337.7,359.1,328.5,326.6,335.0,353.6,374.2,391.29,409.98,430.15,456.9,445.09,457.49,373.92,383.57,273.89,244.84,407.3,550.91
geoId-HBH,245.7,249.4,249.6,263.6,277.63,294.7,339.1,343.9,370.6,380.5,410.3,387.4,398.0,416.0,433.2,451.22,435.31,436.35,335.32,344.9,359.25,502.72,405.63,414.1,397.22,398.65,411.0,433.57
geoId-HGG,195.3,202.0,211.1,220.2,235.8,248.0,271.2,277.6,290.6,308.1,329.1,336.9,352.9,373.0,395.6,431.72,461.02,479.52,505.43,547.54,568.41,530.7,555.38,568.72,492.95,531.5,515.63,531.99
geoId-HNM,226.8,229.0,245.9,251.6,268.15,278.4,308.2,327.2,348.3,348.9,369.8,408.9,424.6,424.9,452.2,367.75,360.23,359.83,376.63,414.04,450.4,718.81,455.04,472.04,306.53,335.25,339.01,340.85
geoId-HNI,271.6,280.8,296.5,298.3,302.93,307.9,341.3,366.6,366.6,372.0,372.1,347.1,349.7,1669.7,1682.0,1625.15,1533.08,1377.07,1380.09,1410.47,1548.27,1809.94,1869.01,1771.85,979.89,1097.09,1185.13,1261.26
