"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,5.2,5.1,4.4,3.7,3.3,3.2,3.1,3.7,3.7,4.6,5.4,5.4,5.0,5.4,5.4,5.7,5.1,5.1,4.3,4.2,4.0,3.9,3.3,2.8,2.1,2.3,2.3,2.5
geoId-BR-VT,2.1,2.2,1.7,1.7,1.2,1.3,1.2,1.0,1.2,1.1,0.8,1.3,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4
geoId-BDG,19.6,20.0,18.9,18.4,18.0,16.7,15.8,16.3,16.4,17.0,15.7,11.2,10.0,7.7,6.8,5.7,5.3,5.4,5.6,5.5,5.6,5.6,5.7,5.1,5.2,4.9,4.8,3.7
geoId-BPC,14.2,14.5,13.8,15.3,16.3,17.3,16.7,18.8,18.8,19.8,21.3,17.5,18.6,19.0,19.1,19.0,16.4,15.2,14.4,13.1,13.1,12.5,12.5,12.9,12.0,12.3,12.6,12.7
geoId-BTN,17.8,18.5,17.0,14.5,12.8,10.6,7.8,8.0,7.7,8.1,7.5,8.1,8.7,8.3,8.7,9.2,8.0,8.5,8.8,9.0,9.0,9.0,9.0,9.0,8.9,8.7,8.5,8.5
geoId-BDH,18.5,17.4,18.1,18.3,19.5,18.6,20.7,20.4,20.5,20.4,19.3,19.3,20.2,19.2,18.9,19.4,20.6,21.0,21.0,21.4,21.5,21.1,20.7,19.3,17.9,17.7,17.4,16.3
geoId-BLU,11.8,10.3,8.2,7.7,7.2,6.3,3.1,2.6,2.1,1.8,1.6,1.6,1.7,1.7,2.0,1.9,1.9,1.8,1.5,1.5,1.3,1.1,1.2,1.2,1.2,1.2,0.9,0.9
geoId-BGG,138.8,136.1,134.6,131.1,131.0,125.3,100.8,99.0,94.2,94.3,92.0,90.7,91.2,87.3,84.6,83.7,74.7,68.8,62.0,59.5,57.5,51.3,47.7,45.4,44.0,41.3,35.5,30.9
geoId-BKN,82.5,85.1,87.3,91.5,92.3,87.0,80.1,83.0,81.7,83.5,83.0,83.9,87.9,77.7,75.2,73.9,60.8,52.9,52.2,55.4,57.2,60.3,60.5,54.5,44.3,41.0,42.7,42.1
geoId-BNH,21.2,20.6,19.6,19.1,18.3,17.1,12.7,12.0,11.3,9.5,8.0,5.5,4.1,3.5,3.2,2.9,2.8,2.5,2.5,2.4,2.4,2.4,2.4,2.6,2.8,2.9,2.8,4.0
geoId-SCC,825.0,817.5,821.1,818.6,815.8,823.5,826.5,832.4,851.5,867.0,894.6,906.8,931.9,908.9,893.6,889.8,858.1,838.2,818.6,831.9,841.8,848.4,835.8,800.7,774.3,768.7,749.7,732.7
geoId-BTE,11.5,10.8,10.0,9.5,8.5,5.4,4.1,3.6,3.3,2.8,2.9,1.7,1.9,1.8,1.8,1.8,1.8,1.5,1.2,1.1,0.9,0.3,0.5,0.4,0.2,0.3,0.2,0.3
geoId-CBG,140.5,111.9,113.9,115.3,115.9,108.7,106.2,107.5,108.8,111.2,112.5,114.7,117.4,107.1,108.0,109.3,102.1,100.8,97.4,101.2,104.1,104.1,105.0,104.3,102.6,100.7,106.1,106.4
geoId-CMU,4.7,4.1,3.4,2.9,2.2,1.8,0.7,0.8,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1
geoId-VNM,2962.8,2953.9,2943.6,2951.4,2955.7,2897.2,2807.9,2814.5,2834.9,2869.8,2922.2,2921.1,2996.4,2897.7,2886.6,2917.7,2714.4,2627.0,2565.3,2586.9,2626.1,2638.6,2605.1,2486.9,2388.8,2332.8,2262.9,2232.1
geoId-CTO,3.5,2.7,2.7,2.3,2.0,2.0,1.0,1.0,1.1,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.4,0.2,0.2
geoId-GLI,14.5,15.2,15.7,15.9,16.8,16.4,14.7,13.8,13.8,13.8,13.5,12.0,12.0,12.2,12.4,13.2,13.4,13.9,14.2,14.5,14.5,15.1,15.0,13.8,13.9,14.9,15.8,13.8
geoId-HBH,109.6,113.0,117.6,122.9,126.7,128.3,117.9,120.5,122.2,122.5,125.0,122.6,126.1,112.8,109.9,113.4,110.4,105.5,105.5,104.1,106.0,118.7,119.0,118.7,115.7,115.5,114.6,114.5
