"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-BR-VT,2038,2298,2616,2540,2605,2617,2551,2749,2851,2918,2841,2739,2612
geoId-BTN,1705,1840,2012,2175,2092,2391,2598,2902,3030,3276,3315,3388,3259
geoId-BDH,932,1941,2232,2471,2821,2832,3404,3535,3516,3571,3666,3662,3640
geoId-BLU,433,470,438,488,521,486,435,514,487,479,471,477,466
geoId-SCC,8484,10483,11879,13247,15068,15926,17287,18951,19440,20263,20119,20092,19756
geoId-BTE,1480,1743,1747,1745,1724,1656,1741,1998,1957,1864,1768,1726,1744
geoId-CMU,1431,1439,1383,1305,1447,1339,1505,1514,1525,1536,1645,1938,2076
geoId-VNM,19244,21904,23377,25288,27679,28577,30474,33379,34561,35557,35214,35099,34919
geoId-HTH,30,34,38,93,141,251,275,336,363,342,353,373,357
geoId-HPG,342,373,404,388,431,437,467,485,510,585,601,587,560
geoId-KHA,523,768,765,836,880,830,802,780,800,750,754,772,725
geoId-KGG,3292,3263,3268,3819,3950,4060,4196,4341,4522,4548,4203,3973,4269
geoId-LAN,0,14,6,15,15,11,11,13,17,15,22,18,15
geoId-NDH,245,270,268,280,301,367,443,582,744,754,816,832,830
geoId-NAN,795,966,983,1097,1260,1287,1318,1331,1380,1330,1218,1143,1032
geoId-NBH,2,2,2,2,2,5,6,10,10,9,8,13,15
geoId-NTN,728,735,754,832,933,808,876,999,1037,1093,1115,1088,1080
geoId-PYN,680,769,978,991,1011,983,997,1018,1050,1096,1090,1065,1072
geoId-QBH,338,599,523,648,1022,1167,1243,1309,1349,1389,1341,1298,1290
geoId-QNM,149,155,165,265,435,479,573,895,682,743,746,734,716
geoId-QNI,1545,1550,2063,2072,2650,2873,2884,3044,3251,3386,3526,3425,3398
geoId-QNH,162,145,143,193,268,342,446,631,764,814,898,945,961
geoId-QTI,76,98,110,152,171,165,185,185,192,201,201,200,193
geoId-STG,245,257,257,296,297,286,304,320,332,353,330,346,346
geoId-THA,636,673,903,1151,1168,1264,1407,1790,1834,2047,1836,1966,2033
geoId-TBH,145,154,150,146,158,180,207,221,249,270,345,370,349
geoId-TTH,172,189,189,245,265,261,293,317,346,341,320,362,363
geoId-TGG,743,803,631,633,678,663,660,780,859,831,825,747,626
geoId-HCM,91,44,39,27,32,40,46,56,45,48,52,42,40
geoId-TVH,111,146,146,164,182,162,169,214,249,270,270,254,254
geoId-DNG,175,166,164,219,219,335,432,510,610,698,638,616,598
geoId-ST,2129,2342,2655,2567,2637,2657,2597,2805,2896,2966,2893,2781,2652
geoId-MRD,7735,8135,7876,8465,8814,8663,9021,9694,9948,9896,9534,9479,9796
geoId-RRD,896,944,967,1009,1160,1331,1569,1929,2277,2432,2668,2747,2715
