"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-BR-VT,363.4,622.3,700.2,868.3,918.6,953.9,943.9,1095.1,1175.0,1332.6,1311.4,1269.5,1237.4
geoId-BTN,409.0,453.0,549.0,608.0,572.6,714.0,746.2,938.0,946.0,961.9,974.7,1014.8,991.0
geoId-BDH,120.0,394.5,495.0,658.2,792.3,1030.6,1450.6,1621.4,1653.0,1748.2,1768.4,1770.8,1814.2
geoId-BLU,126.7,113.1,128.4,140.8,159.4,139.3,133.3,151.7,147.8,143.9,142.9,142.9,138.4
geoId-SCC,1351.7,1880.5,2441.0,3114.2,3893.0,4966.2,5813.7,7038.1,7508.8,8034.0,8039.7,8043.9,8019.7
geoId-BTE,414.4,606.5,622.0,661.4,718.5,747.8,869.7,1185.9,1162.9,1147.5,1099.6,1099.0,1095.1
geoId-CMU,277.4,282.6,252.3,252.1,275.3,305.0,369.8,370.5,406.4,400.7,423.9,467.7,488.9
geoId-VNM,4110.4,5083.5,5733.8,6962.1,8092.3,9358.3,10686.3,12732.5,13579.3,14426.0,14273.4,14214.3,14641.6
geoId-HTH,8.3,7.8,4.2,18.5,28.5,51.0,60.5,83.1,96.6,92.9,94.0,97.3,89.5
geoId-HPG,30.8,54.5,60.2,59.6,79.3,88.5,103.3,119.7,130.6,189.9,194.8,192.9,188.0
geoId-KHA,47.2,94.1,95.6,108.1,110.6,208.8,216.2,216.1,222.5,216.7,227.1,239.2,226.4
geoId-KGG,1139.1,1134.3,1147.0,1426.0,1542.0,1611.1,1749.5,1862.2,1939.9,2048.6,1895.6,1823.8,2349.5
geoId-LAN,0.0,1.3,0.6,1.9,1.9,1.0,1.0,2.1,4.7,4.7,5.3,4.5,3.6
geoId-NDH,40.4,44.5,44.6,42.0,48.8,89.9,137.7,178.3,244.6,248.9,267.6,280.0,278.6
geoId-NAN,103.4,183.5,196.2,260.3,349.3,431.3,475.9,512.3,554.6,578.0,539.6,508.0,480.2
geoId-NBH,0.6,0.9,0.9,0.9,0.9,1.2,1.3,5.8,6.3,6.1,4.8,5.2,5.8
geoId-NTN,143.2,152.6,159.6,188.6,220.3,192.6,213.1,261.8,313.1,365.7,400.4,397.7,405.0
geoId-PYN,78.7,96.6,115.0,138.1,143.8,243.4,262.3,276.8,295.1,312.1,318.9,322.7,336.8
geoId-QBH,40.6,72.3,77.8,114.9,274.8,448.3,526.2,624.5,671.0,715.9,692.6,686.1,668.8
geoId-QNM,14.9,19.5,22.3,31.8,137.9,152.0,201.3,323.3,274.7,376.4,351.5,336.3,330.5
geoId-QNI,208.8,208.9,472.6,629.9,868.2,1005.9,1011.9,1274.8,1437.1,1537.9,1640.2,1606.1,1617.2
geoId-QNH,17.9,16.0,15.6,21.3,30.4,35.9,70.1,116.4,138.3,144.3,163.9,176.9,180.3
geoId-QTI,11.7,14.5,14.9,29.7,41.8,48.3,65.6,78.9,85.4,86.4,93.4,91.8,88.5
geoId-STG,82.3,84.7,84.7,105.3,105.5,106.5,120.4,142.3,151.2,164.1,156.8,167.8,173.0
geoId-THA,117.1,128.5,178.0,222.2,233.6,243.6,305.1,473.5,506.0,538.5,451.8,479.3,489.4
geoId-TBH,25.7,28.8,27.5,38.4,44.8,49.2,63.4,67.4,78.9,84.2,92.5,106.1,102.6
geoId-TTH,18.1,22.1,24.6,38.8,47.9,54.8,86.1,96.3,116.8,125.6,121.3,146.7,145.8
geoId-TGG,193.9,164.3,164.3,182.9,217.5,212.5,252.0,307.3,386.7,369.3,367.1,330.2,275.8
geoId-HCM,22.6,15.0,7.6,5.2,7.3,6.8,10.9,12.9,7.9,9.4,10.3,8.9,8.3
geoId-TVH,23.5,34.2,36.9,41.8,49.1,43.5,46.3,76.8,89.3,97.8,97.2,95.0,96.6
geoId-DNG,30.7,32.6,36.2,67.1,71.4,141.6,192.7,257.3,336.9,377.8,365.8,347.1,336.4
geoId-ST,386.0,637.3,707.8,873.5,925.9,960.7,954.8,1108.0,1182.9,1342.0,1321.7,1278.4,1245.7
geoId-MRD,2257.3,2421.0,2436.2,2812.2,3069.2,3166.7,3542.0,4098.8,4288.9,4376.6,4188.4,4130.9,4620.9
geoId-RRD,115.4,144.7,148.8,162.2,204.2,264.7,375.8,487.6,598.7,673.4,723.6,761.1,755.3
