dia phuong,Năm,Tổng số,"Bưu chính, chuyển phát",Viễn thông
geoId-VNM,2007,58864.1,1611.4,57252.7
geoId-VNM,2008,89750.2,2315.3,87434.9
geoId-VNM,2009,126352.5,3141.8,123210.7
geoId-VNM,2010,183828.1,6048.0,177780.1
geoId-VNM,2011,204194.5,6731.7,197462.8
geoId-VNM,2012,228469.3,7251.0,221218.3
geoId-VNM,2013,247594.0,8447.4,239146.6
geoId-VNM,2014,270965.2,9434.4,261530.8
geoId-VNM,2015,294932.6,10961.1,283971.5
geoId-VNM,2016,320831.9,14401.6,306430.3
geoId-VNM,2017,348576.6,18706.7,329869.9
geoId-VNM,2018,377231.8,21853.5,355378.3
geoId-VNM,2019,388554.05,23928.95,364625.1
geoId-VNM,2020,346196.91,25005.76,321191.15
geoId-VNM,2021,343171.3,26800.8,316370.5
geoId-VNM,Sơ bộ 2022,362407.53,31470.9,330936.64
