dia phuong,Năm,Tổng số,Trong nước,Ngoài nước
geoId-VNM,1995,,,
geoId-VNM,1996,125.2,108.4,148.5
geoId-VNM,1997,117.0,108.9,125.3
geoId-VNM,1998,102.3,125.9,81.5
geoId-VNM,1999,108.0,116.0,97.2
geoId-VNM,2000,111.1,104.8,121.4
geoId-VNM,2001,113.5,105.1,125.4
geoId-VNM,2002,109.9,110.5,109.2
geoId-VNM,2003,115.3,105.7,126.8
geoId-VNM,2004,113.1,109.1,117.1
geoId-VNM,2005,111.3,91.1,130.0
geoId-VNM,2006,112.7,90.0,127.5
geoId-VNM,2007,118.8,121.1,117.7
geoId-VNM,2008,128.2,139.0,123.1
geoId-VNM,2009,115.2,109.5,118.2
geoId-VNM,2010,110.62,114.9,108.51
geoId-VNM,2011,99.26,108.36,94.51
geoId-VNM,2012,99.95,108.46,94.85
geoId-VNM,2013,101.13,106.59,97.39
geoId-VNM,2014,102.4,102.87,102.04
geoId-VNM,2015,103.22,107.03,100.34
geoId-VNM,2016,105.11,108.87,102.08
geoId-VNM,2017,106.03,108.87,103.6
geoId-VNM,2018,106.79,115.9,98.58
geoId-VNM,2019,106.96,109.28,104.49
geoId-VNM,2020,96.33,100.52,91.69
geoId-VNM,2021,65.77,66.21,65.24
geoId-VNM,Sơ bộ 2022,118.62,123.49,112.61
