dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường biển,Đường hàng không
geoId-VNM,1995,30910.5,1750.6,5064.2,8671.3,15335.2,89.2
geoId-VNM,1996,38710.0,1683.6,5710.8,9036.3,22172.2,107.1
geoId-VNM,1997,45306.7,1533.3,6203.0,10391.1,27059.1,120.2
geoId-VNM,1998,46336.7,1369.0,6651.9,12962.0,25237.2,116.6
geoId-VNM,1999,50054.6,1445.5,7057.5,13826.5,27619.6,105.5
geoId-VNM,2000,55629.7,1955.0,7969.9,14346.1,31244.6,114.1
geoId-VNM,2001,63164.4,2054.4,9184.9,16937.1,34829.8,158.2
geoId-VNM,2002,69417.9,2391.5,10667.6,15936.9,40250.1,171.8
geoId-VNM,2003,80029.5,2725.4,12338.0,15492.3,49263.2,210.6
geoId-VNM,2004,90504.8,2745.3,14938.8,16415.1,56169.8,235.8
geoId-VNM,2005,100728.3,2949.3,17668.3,17999.0,61872.4,239.3
geoId-VNM,2006,113550.0,3446.6,20537.1,18843.7,70453.2,269.4
geoId-VNM,2007,134883.0,3882.5,24646.9,22235.6,83838.1,279.9
geoId-VNM,2008,172859.1,4170.9,27968.0,24867.8,115556.8,295.6
geoId-VNM,2009,199070.2,3864.5,31587.2,31249.8,132052.1,316.6
geoId-VNM,2010,217767.1,3960.9,36179.0,31679.0,145521.4,426.8
geoId-VNM,2011,216129.5,4162.0,40130.1,34371.7,137039.0,426.7
geoId-VNM,2012,215735.8,4023.4,43468.5,36622.5,131146.3,475.1
geoId-VNM,2013,218228.1,3804.1,45668.4,38454.3,129831.5,469.8
geoId-VNM,2014,223151.1,4311.5,48189.8,40099.9,130015.5,534.4
geoId-VNM,2015,230050.4,4035.5,51514.9,42064.8,131835.7,599.5
geoId-VNM,2016,241376.88,3198.2,57377.3,44925.2,135171.2,705.0
geoId-VNM,2017,255932.86,3616.7,63459.27,47800.38,140307.71,748.8
geoId-VNM,2018,273096.99,4039.3,71010.93,52580.42,144629.19,837.16
geoId-VNM,2019,291942.5,3739.52,76529.1,55998.15,154753.23,922.5
geoId-VNM,2020,286333.13,3818.98,73503.16,52862.25,152586.69,3562.05
geoId-VNM,2021,188322.67,4099.86,75272.83,24768.62,70130.3,14051.06
geoId-VNM,Sơ bộ 2022,223387.45,4546.45,89889.68,31612.47,91249.27,6089.59
