dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,1995,30910.5,21344.5,9566.0,
geoId-VNM,1996,38710.0,28375.3,10334.7,
geoId-VNM,1997,45306.7,33930.7,11376.0,
geoId-VNM,1998,46336.7,33229.1,13107.6,
geoId-VNM,1999,50054.6,36161.9,13892.7,
geoId-VNM,2000,55629.7,40932.9,14696.8,
geoId-VNM,2001,63164.5,46697.3,14762.9,1704.3
geoId-VNM,2002,69417.9,51776.1,15831.2,1810.6
geoId-VNM,2003,80029.5,54072.3,17547.4,8409.8
geoId-VNM,2004,90504.8,60364.0,20009.5,10131.3
geoId-VNM,2005,100728.3,64066.4,30570.2,6091.7
geoId-VNM,2006,113550.0,70759.5,38493.4,4297.1
geoId-VNM,2007,134883.0,88126.0,42057.0,4700.0
geoId-VNM,2008,172859.1,120213.0,48449.0,4197.1
geoId-VNM,2009,199070.2,142160.2,54147.1,2762.9
geoId-VNM,2010,220217.44,159129.72,58316.58,2771.13
geoId-VNM,2011,218579.27,157377.03,58535.55,2666.69
geoId-VNM,2012,218463.44,153168.39,62731.74,2563.3
geoId-VNM,2013,220925.31,150981.79,67452.71,2490.81
geoId-VNM,2014,226219.19,152254.04,71453.28,2511.87
geoId-VNM,2015,233492.24,153045.8,77905.69,2540.75
geoId-VNM,2016,245424.44,154759.52,88033.11,2631.81
geoId-VNM,2017,260231.87,154144.85,103399.86,2687.16
geoId-VNM,2018,277903.27,152569.46,122787.07,2546.75
geoId-VNM,2019,297238.74,152415.43,142058.88,2764.44
geoId-VNM,2020,286333.13,145727.57,137441.1,2571.66
geoId-VNM,2021,188322.67,95875.07,90206.56,2241.04
geoId-VNM,Sơ bộ 2022,223387.45,113257.44,107337.67,2792.4
