dia phuong,Năm,Tổng số,Trong nước,Ngoài nước
geoId-VNM,1995,,,
geoId-VNM,1996,111.7,110.5,151.8
geoId-VNM,1997,112.1,108.4,204.0
geoId-VNM,1998,107.3,111.9,47.6
geoId-VNM,1999,107.4,107.2,115.5
geoId-VNM,2000,110.1,109.4,131.1
geoId-VNM,2001,112.7,112.4,119.2
geoId-VNM,2002,116.2,116.2,115.3
geoId-VNM,2003,118.6,116.6,164.2
geoId-VNM,2004,116.1,116.3,112.0
geoId-VNM,2005,114.2,112.0,150.0
geoId-VNM,2006,111.6,107.9,158.2
geoId-VNM,2007,116.2,118.9,93.7
geoId-VNM,2008,109.5,111.8,84.1
geoId-VNM,2009,109.5,111.3,84.3
geoId-VNM,2010,111.9,112.6,98.6
geoId-VNM,2011,110.6,111.2,96.7
geoId-VNM,2012,108.5,109.1,93.1
geoId-VNM,2013,105.13,105.42,96.57
geoId-VNM,2014,106.75,106.92,101.35
geoId-VNM,2015,106.8,106.93,102.25
geoId-VNM,2016,108.99,109.17,102.82
geoId-VNM,2017,110.18,110.37,103.1
geoId-VNM,2018,111.28,111.38,107.28
geoId-VNM,2019,108.53,108.85,95.46
geoId-VNM,2020,97.06,97.42,80.24
geoId-VNM,2021,100.0,100.22,87.8
geoId-VNM,Sơ bộ 2022,121.74,121.98,105.51
