dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường biển,Đường hàng không
geoId-VNM,1995,140709.9,4515.0,91202.3,37653.7,7306.9,32.0
geoId-VNM,1996,157201.9,4041.5,103058.7,40270.3,9783.7,47.7
geoId-VNM,1997,176258.8,4752.0,114395.1,46286.2,10775.4,50.1
geoId-VNM,1998,189184.0,4977.6,121716.4,50632.4,11793.0,64.6
geoId-VNM,1999,203212.7,5146.0,130480.0,54538.1,13006.1,42.5
geoId-VNM,2000,223823.0,6258.2,144571.8,57395.3,15552.5,45.2
geoId-VNM,2001,252146.0,6456.7,164013.7,64793.5,16815.3,66.8
geoId-VNM,2002,292869.2,7051.9,192322.0,74931.5,18491.8,72.0
geoId-VNM,2003,347232.7,8385.0,225296.7,86012.7,27448.6,89.7
geoId-VNM,2004,403002.2,8873.6,264761.6,97936.8,31332.0,98.2
geoId-VNM,2005,460146.3,8786.6,298051.3,111145.9,42051.5,111.0
geoId-VNM,2006,513575.1,9153.2,338623.3,122984.4,42693.4,120.8
geoId-VNM,2007,596800.9,9050.0,403361.8,135282.8,48976.7,129.6
geoId-VNM,2008,653235.3,8481.1,455898.4,133027.9,55696.5,131.4
geoId-VNM,2009,715522.4,8247.5,513629.9,137714.5,55790.9,139.6
geoId-VNM,2010,800886.0,7861.5,587014.2,144227.0,61593.2,190.1
geoId-VNM,2011,885681.5,7285.1,654127.1,160164.5,63904.5,200.3
geoId-VNM,2012,961128.4,6952.1,717905.7,174385.4,61694.2,191.0
geoId-VNM,2013,1010413.9,6525.9,763790.0,181212.7,58701.6,183.7
geoId-VNM,2014,1078580.9,7178.9,821700.0,190600.0,58900.0,202.0
geoId-VNM,2015,1151895.7,6707.0,882628.4,201530.7,60800.0,229.6
geoId-VNM,2016,1255458.23,5209.0,969721.0,215768.2,64474.4,285.6
geoId-VNM,2017,1383212.89,5611.0,1074450.91,232813.84,70019.24,317.9
geoId-VNM,2018,1539271.71,5717.7,1207682.82,251904.58,73562.21,404.4
geoId-VNM,2019,1670619.44,5204.75,1319853.4,268026.47,77088.4,446.42
geoId-VNM,2020,1621535.99,5216.3,1282119.6,257841.46,76086.2,272.38
geoId-VNM,2021,1621531.05,5660.01,1303327.87,242365.81,69961.26,216.1
geoId-VNM,Sơ bộ 2022,1974089.39,5692.2,1576162.06,302645.7,89307.46,281.91
