"Tỉnh, thành phố",2005,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-AGG,4.0,7.0,7.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0
geoId-BR-VT,3.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,11.0,9.0,13.0
geoId-BDG,12.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,12.0,12.0,12.0
geoId-BPC,,3.0,1.0,1.0,1.0,2.0,6.0,8.0,7.0,6.0,6.0
geoId-BTN,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
geoId-BDH,1.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0
geoId-BLU,,2.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0
geoId-BGG,1.0,3.0,6.0,4.0,5.0,7.0,9.0,9.0,8.0,6.0,4.0
geoId-BKN,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
geoId-BNH,3.0,11.0,12.0,14.0,21.0,23.0,23.0,23.0,27.0,25.0,25.0
geoId-SCC,90.0,167.0,172.0,190.0,182.0,212.0,256.0,284.0,297.0,281.0,279.0
geoId-BTE,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0
geoId-CBG,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0
geoId-CMU,,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
geoId-VNM,385.0,714.0,772.0,832.0,865.0,958.0,1007.0,1085.0,1134.0,1167.0,1241.0
geoId-CTO,4.0,8.0,8.0,11.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0
geoId-GLI,9.0,13.0,13.0,13.0,13.0,17.0,14.0,19.0,19.0,18.0,18.0
geoId-HGG,,,,,,,,,,,
geoId-HNM,3.0,4.0,5.0,6.0,6.0,8.0,10.0,10.0,7.0,6.0,7.0
geoId-HNI,59.0,94.0,103.0,137.0,124.0,124.0,134.0,141.0,130.0,123.0,134.0
geoId-HTH,6.0,9.0,2.0,2.0,2.0,5.0,6.0,6.0,4.0,4.0,4.0
geoId-HBH,,3.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0
geoId-HYN,7.0,7.0,12.0,12.0,10.0,10.0,11.0,19.0,23.0,24.0,24.0
geoId-HDG,5.0,5.0,21.0,23.0,31.0,37.0,8.0,8.0,7.0,8.0,8.0
geoId-HPG,9.0,12.0,17.0,22.0,23.0,24.0,24.0,24.0,25.0,26.0,25.0
geoId-HGG,1.0,2.0,3.0,4.0,3.0,5.0,6.0,6.0,4.0,4.0,4.0
geoId-KHA,13.0,23.0,24.0,24.0,24.0,24.0,25.0,31.0,31.0,31.0,14.0
geoId-KGG,2.0,7.0,6.0,6.0,6.0,7.0,9.0,10.0,16.0,63.0,95.0
geoId-KTM,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0
