dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,106.4,108.3,104.1,
geoId-VNM,2001,109.72,120.36,103.34,
geoId-VNM,2002,110.47,114.72,107.98,100.77
geoId-VNM,2003,112.8,108.2,115.5,135.2
geoId-VNM,2004,115.3,122.5,111.0,116.6
geoId-VNM,2005,112.8,112.5,112.0,206.4
geoId-VNM,2006,110.8,106.7,113.8,90.6
geoId-VNM,2007,112.4,112.2,112.5,116.0
geoId-VNM,2008,108.8,106.0,110.2,134.3
geoId-VNM,2009,109.0,104.2,110.5,187.0
geoId-VNM,2010,114.9,114.9,115.2,106.3
geoId-VNM,2011,111.0,105.0,114.6,105.6
geoId-VNM,2012,106.7,100.0,110.1,114.6
geoId-VNM,2013,107.3,108.7,106.6,109.8
geoId-VNM,2014,111.7,105.8,114.6,105.5
geoId-VNM,2015,111.22,105.22,114.02,105.35
geoId-VNM,2016,109.32,107.05,110.34,104.93
geoId-VNM,2017,110.5,108.38,111.38,108.79
geoId-VNM,2018,110.62,108.74,111.47,104.85
geoId-VNM,2019,111.65,107.86,113.05,112.75
geoId-VNM,2020,65.48,26.02,79.34,79.77
geoId-VNM,2021,62.08,61.88,62.08,63.37
geoId-VNM,Sơ bộ 2022,195.7,197.79,195.47,194.62
