dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,104.72,103.8,104.8,
geoId-VNM,2001,107.62,122.33,105.11,
geoId-VNM,2002,106.9,140.94,103.48,102.03
geoId-VNM,2003,122.5,237.6,106.4,129.0
geoId-VNM,2004,111.8,100.9,115.4,99.7
geoId-VNM,2005,112.2,116.5,111.0,111.7
geoId-VNM,2006,110.7,115.7,109.2,116.1
geoId-VNM,2007,109.7,100.1,112.6,100.7
geoId-VNM,2008,109.5,106.9,110.3,97.3
geoId-VNM,2009,112.5,104.2,114.8,99.3
geoId-VNM,2010,114.8,114.1,115.0,106.3
geoId-VNM,2011,106.9,108.9,106.5,105.3
geoId-VNM,2012,108.1,98.2,110.5,103.1
geoId-VNM,2013,106.1,103.1,106.8,103.0
geoId-VNM,2014,107.6,104.0,108.4,102.4
geoId-VNM,2015,108.3,104.4,109.1,102.3
geoId-VNM,2016,109.45,103.6,110.58,105.08
geoId-VNM,2017,111.15,108.79,111.61,103.23
geoId-VNM,2018,106.56,106.26,106.64,101.82
geoId-VNM,2019,111.31,99.19,113.42,104.86
geoId-VNM,2020,72.57,57.68,74.72,88.37
geoId-VNM,2021,72.69,72.46,72.66,83.46
geoId-VNM,Sơ bộ 2022,159.73,161.22,159.46,173.04
