dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường hàng không
geoId-VNM,1995,564.4,8.8,441.3,111.9,2.4
geoId-VNM,1996,608.9,8.5,478.2,119.4,2.8
geoId-VNM,1997,654.3,9.3,514.6,127.8,2.6
geoId-VNM,1998,693.0,9.7,549.9,130.8,2.6
geoId-VNM,1999,729.2,9.3,587.8,129.4,2.7
geoId-VNM,2000,763.6,9.8,620.7,130.3,2.8
geoId-VNM,2001,821.8,10.6,677.3,130.0,3.9
geoId-VNM,2002,878.5,10.8,727.7,135.6,4.4
geoId-VNM,2003,1076.0,11.6,931.3,128.6,4.5
geoId-VNM,2004,1202.9,12.9,1041.9,142.6,5.5
geoId-VNM,2005,1349.6,12.8,1173.4,156.9,6.5
geoId-VNM,2006,1493.8,11.6,1331.6,143.2,7.4
geoId-VNM,2007,1638.0,11.6,1473.0,144.5,8.9
geoId-VNM,2008,1793.5,11.3,1629.0,143.0,10.2
geoId-VNM,2009,2016.9,11.1,1843.6,151.3,10.9
geoId-VNM,2010,2315.2,11.2,2132.3,157.5,14.2
geoId-VNM,2011,2476.1,11.9,2306.7,142.4,15.1
geoId-VNM,2012,2676.5,12.2,2504.3,145.0,15.0
geoId-VNM,2013,2839.9,12.1,2660.5,150.4,16.9
geoId-VNM,2014,3056.8,12.0,2863.5,156.9,24.4
geoId-VNM,2015,3310.5,11.2,3104.7,163.5,31.1
geoId-VNM,2016,3623.2,9.8,3401.9,172.9,38.6
geoId-VNM,2017,4027.1,9.5,3793.2,179.9,44.5
geoId-VNM,2018,4291.46,8.69,4004.68,229.01,49.08
geoId-VNM,2019,4776.72,8.04,4427.3,286.3,55.08
geoId-VNM,2020,3466.35,3.7,3241.78,188.6,32.34
geoId-VNM,2021,2519.84,1.38,2306.42,196.88,15.12
geoId-VNM,Sơ bộ 2022,4024.97,4.45,3694.44,277.07,49.01
