Địa phương,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,18.7,21.7,25.66,37.9,41.4,40.1,51.3,55.6,63.7,66.9,70.5,73.5,73.1,70.4,78.4,80.6,85.9,92.8,104.5,117.7,92.4,91.11,158.73
geoId-BR-VT,11.6,13.8,12.8,15.9,18.2,21.2,24.7,26.8,26.6,28.2,30.5,30.8,35.8,37.9,36.4,39.5,39.8,42.2,47.09,48.9,38.3,33.21,49.76
geoId-BDG,3.3,3.6,3.8,4.6,5.4,7.5,10.4,13.7,15.7,20.6,24.6,26.2,27.1,29.1,30.4,33.6,36.5,38.8,41.64,43.5,30.4,27.52,38.82
geoId-BPC,2.6,2.6,2.7,2.7,4.0,4.3,4.9,5.3,5.5,6.2,6.7,7.7,8.0,8.5,8.7,9.2,10.0,10.3,12.38,14.0,9.4,5.49,9.86
geoId-BTN,8.8,8.9,7.6,7.8,9.0,9.5,10.2,10.6,11.2,11.8,13.0,13.6,14.2,15.1,16.2,17.8,17.5,19.2,24.86,27.1,22.9,12.11,14.44
geoId-BDH,13.3,13.7,13.8,14.9,15.1,18.4,19.9,21.1,22.4,22.8,23.4,24.4,26.1,26.7,28.0,29.8,31.4,33.1,38.51,43.4,28.7,17.21,33.48
geoId-BLU,15.6,16.8,17.4,20.0,22.2,26.0,28.2,31.3,37.3,40.9,41.0,42.9,44.1,45.1,46.3,54.0,58.9,64.5,69.32,73.8,73.6,72.73,49.36
geoId-BGG,3.3,3.4,3.4,3.7,4.1,4.7,5.7,7.5,9.5,11.7,14.8,16.2,17.4,18.5,20.2,20.9,21.7,23.0,24.79,28.3,18.6,16.5,25.2
geoId-BKN,0.7,0.7,0.8,1.2,1.2,1.3,1.4,1.5,1.6,2.1,2.2,3.0,3.0,2.9,3.0,3.1,3.3,3.4,3.55,4.0,3.0,1.2,1.4
geoId-BNH,2.4,2.6,2.6,3.0,3.2,3.5,4.3,6.0,7.0,7.8,9.4,10.8,11.3,11.6,12.8,11.2,12.4,13.7,15.88,17.8,9.9,5.63,7.16
geoId-SCC,93.8,93.1,94.77,102.9,112.5,120.1,134.9,148.6,161.8,178.2,199.9,210.9,228.3,238.7,253.3,273.1,294.7,320.0,339.7,379.7,268.7,193.41,314.75
geoId-BTE,16.1,17.5,17.8,20.1,21.9,24.5,26.0,29.2,30.1,32.2,38.6,38.3,39.2,36.1,38.1,40.7,43.6,47.1,51.6,54.0,46.3,37.24,44.7
geoId-CBG,1.0,1.1,1.1,1.2,1.3,1.1,0.9,1.0,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,1.9,2.0,2.14,2.3,1.2,1.22,1.76
geoId-CMU,25.75,27.7,29.61,30.6,32.4,34.8,37.1,38.4,45.0,32.4,33.9,31.9,33.5,33.3,34.4,36.5,37.7,39.5,41.63,44.4,45.2,33.67,52.6
geoId-VNM,739.26,794.39,849.46,1042.1,1164.9,1297.6,1443.2,1585.3,1737.3,1960.4,2262.3,2442.1,2642.5,2804.9,3004.4,3259.7,3518.5,3852.1,4233.69,4713.6,3413.2,2503.29,3971.51
geoId-CTO,97.2,103.2,109.5,57.6,68.2,82.7,91.8,93.4,94.4,96.3,97.2,105.4,110.8,118.1,122.6,106.1,107.6,116.4,132.86,136.8,103.6,15.17,32.05
geoId-GLI,2.1,2.3,2.3,2.4,2.6,3.2,3.4,3.8,4.8,5.8,5.8,8.9,9.6,10.2,10.9,12.5,14.2,15.2,16.26,18.3,18.7,13.61,17.65
geoId-HGG,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1.0,1.1,1.6,1.8,1.9,2.0,2.1,2.4,2.6,2.89,3.4,3.0,2.33,3.0
geoId-HNM,0.9,0.9,1.0,1.1,1.6,2.5,2.2,2.6,3.0,3.2,3.9,4.2,4.9,5.2,5.3,5.7,6.8,7.5,8.31,8.8,8.4,8.27,9.17
geoId-HNI,33.4,34.4,55.6,213.6,277.7,335.3,375.5,413.4,496.3,549.3,648.1,652.7,721.1,776.8,867.4,930.2,1015.9,1114.0,1196.44,1326.5,1137.1,908.85,1257.45
geoId-HNI,12.2,11.5,12.4,13.2,14.4,20.6,27.7,28.5,,,,,,,,,,,,,,,
geoId-HTH,2.2,2.3,2.7,2.8,3.4,3.6,4.2,5.2,6.3,7.7,9.8,11.3,12.4,13.3,14.6,16.8,17.8,18.7,22.85,24.0,20.4,11.67,16.38
geoId-HBH,1.7,2.0,2.3,2.7,3.6,3.3,3.9,3.6,3.3,4.0,4.1,4.2,4.5,4.5,4.6,5.1,5.3,5.6,5.94,7.3,3.6,2.37,3.45
geoId-HYN,1.3,1.7,1.8,2.1,2.3,2.8,3.2,4.3,4.6,4.9,5.7,6.5,6.9,7.6,8.3,9.0,9.9,10.8,12.1,14.0,14.4,13.67,15.52
geoId-HDG,1.3,1.4,1.8,2.8,4.0,4.4,5.5,5.7,8.2,9.6,12.0,14.3,15.1,17.0,19.2,20.8,23.1,25.5,28.51,31.4,31.2,30.42,36.96
geoId-HPG,11.01,11.76,12.35,13.9,15.7,17.7,21.2,23.6,29.0,28.0,30.8,34.2,34.5,34.9,39.4,42.9,47.4,52.8,59.19,67.5,73.6,66.98,78.03
geoId-HGG,,,,34.7,36.9,34.0,46.7,50.5,54.4,62.2,66.9,72.2,76.2,80.5,82.9,88.2,93.3,98.0,100.47,102.2,96.8,94.85,74.43
geoId-KHA,7.5,7.2,8.0,9.0,13.6,19.4,21.2,22.4,22.4,26.2,28.8,30.2,32.0,32.7,33.8,37.8,42.3,46.8,55.81,60.9,19.7,12.99,33.5
geoId-KGG,14.1,14.6,15.4,17.2,20.6,28.7,27.6,29.4,29.8,29.4,31.9,33.8,35.2,37.6,40.2,43.7,47.2,51.2,54.84,58.2,51.6,35.3,46.6
geoId-KTM,0.9,1.0,1.0,1.1,1.1,1.2,1.4,1.5,1.6,2.6,3.1,4.4,4.6,4.9,5.3,5.9,6.5,7.2,7.88,8.6,8.1,5.42,6.63
geoId-LCU,,,,0.4,0.4,0.4,0.5,0.7,0.7,0.8,1.0,0.9,1.0,1.1,1.1,1.2,1.2,1.3,1.43,1.7,1.4,1.1,1.2
geoId-LAN,31.2,32.3,31.8,32.1,32.4,34.4,30.1,32.6,38.5,40.6,41.5,42.1,44.9,46.3,48.5,51.4,53.1,57.6,59.04,62.3,39.2,16.39,22.23
geoId-LCI,1.6,1.7,1.8,1.9,2.2,2.5,3.0,3.4,4.0,4.1,4.2,4.6,4.6,4.5,4.7,5.4,6.1,6.8,7.63,8.8,3.4,3.26,4.83
geoId-LDG,5.1,5.9,7.1,7.8,8.2,9.1,10.7,11.8,17.7,21.2,25.3,28.1,29.5,31.6,31.3,35.3,37.3,40.5,45.64,46.8,25.7,18.9,34.1
geoId-LSN,1.7,1.93,2.1,2.0,2.3,3.4,3.6,4.0,5.1,6.5,7.5,8.2,8.6,8.9,9.6,10.2,10.8,12.0,12.92,13.2,7.6,6.15,6.74
geoId-NDH,4.7,5.0,5.3,5.8,6.0,6.1,6.2,6.6,7.7,8.0,9.1,10.0,11.1,11.2,11.3,11.7,12.3,13.7,14.84,20.5,16.4,13.97,15.96
geoId-NAN,9.4,9.8,11.1,12.7,16.0,16.5,19.3,22.8,24.2,28.8,30.7,36.9,41.1,44.8,48.5,55.2,60.6,67.6,56.98,67.6,73.0,60.57,90.56
geoId-NTN,1.6,1.8,2.1,2.2,2.2,2.4,2.5,2.4,3.2,3.8,4.6,4.9,5.0,4.9,5.1,5.7,6.3,6.8,7.18,7.9,5.6,4.94,9.08
geoId-NBH,1.9,2.0,2.2,2.7,3.7,5.9,6.1,7.0,7.8,8.5,9.8,12.9,13.6,14.6,13.3,14.7,16.5,16.9,17.22,18.7,19.0,15.82,20.59
geoId-PTO,1.8,1.9,2.6,2.4,2.5,2.9,3.4,4.0,4.5,4.8,5.7,5.1,5.5,5.5,6.1,6.4,7.1,7.2,6.9,5.7,7.9,7.18,7.9
geoId-PYN,5.8,6.0,6.3,6.6,7.0,7.3,7.5,7.8,8.4,9.2,10.0,10.4,11.3,12.0,12.7,13.2,14.3,15.5,16.21,16.8,12.9,7.48,9.4
geoId-QNM,6.3,6.4,6.9,6.9,6.9,7.1,8.6,8.8,8.7,8.7,9.4,9.8,11.0,12.4,10.0,12.2,13.3,14.2,11.44,12.7,5.9,3.96,6.75
geoId-QNI,1.1,1.1,0.9,0.9,0.9,1.1,1.3,1.4,1.6,1.9,2.4,2.3,2.6,2.9,3.1,3.5,4.0,4.5,6.54,7.0,4.2,2.71,3.83
geoId-QBH,5.8,6.0,6.7,7.0,7.4,7.7,5.1,6.8,9.4,9.8,12.4,9.8,10.6,11.0,11.6,12.8,13.6,14.7,16.11,17.8,15.5,15.35,18.29
geoId-QNH,5.7,6.3,6.64,7.4,7.8,8.5,8.9,11.1,12.2,12.9,13.9,17.1,18.1,20.2,22.4,24.9,27.2,32.8,38.47,45.7,40.2,34.53,43.72
geoId-QTI,4.2,3.8,3.2,3.2,3.2,3.0,3.5,3.8,4.6,6.0,6.6,5.4,5.5,5.8,6.2,6.3,6.5,6.7,7.48,8.1,7.0,6.7,7.41
geoId-STG,16.6,17.1,18.9,18.0,18.9,20.6,22.4,23.2,27.9,32.5,36.5,33.1,34.6,36.3,34.0,36.7,37.0,40.6,42.59,46.1,40.1,24.02,47.19
geoId-SLA,1.4,1.5,1.5,2.0,2.1,2.2,2.2,2.3,2.4,2.4,2.7,2.7,2.9,3.0,3.0,3.2,3.3,3.8,4.4,4.8,3.6,2.6,3.9
geoId-THA,2.7,3.2,3.4,3.6,3.8,5.0,5.7,6.6,8.4,10.6,12.4,13.2,13.8,14.9,16.1,17.9,20.2,22.0,20.97,24.4,23.2,12.91,17.13
geoId-TNN,1.4,1.5,1.54,1.9,2.4,2.5,3.2,4.0,4.8,5.9,6.3,7.2,8.2,8.6,9.6,10.2,11.0,12.0,13.11,14.7,12.5,13.54,16.68
geoId-TBH,2.0,2.1,2.2,2.5,3.5,4.1,4.3,6.0,7.0,8.4,9.5,14.1,15.0,16.2,12.7,13.1,13.5,14.6,14.28,16.3,16.0,14.18,17.09
,9.7,10.0,9.8,12.1,9.1,7.2,12.7,13.6,13.6,12.1,12.6,13.0,14.9,16.0,17.5,18.6,19.6,20.8,22.79,25.0,18.0,16.79,44.8
geoId-TGG,29.3,30.7,31.1,31.2,27.1,22.7,26.5,27.6,25.3,26.5,27.9,28.8,30.7,32.0,25.3,34.6,35.6,38.9,39.73,46.3,34.4,25.5,31.95
geoId-HCM,178.0,202.1,208.4,211.3,211.5,220.2,231.9,264.9,281.2,380.8,491.1,603.5,665.0,723.3,784.3,897.1,982.1,1094.7,1267.1,1466.0,716.7,409.76,1100.21
geoId-NT,19.9,21.63,23.34,25.8,29.6,33.3,38.1,42.0,49.2,56.6,63.5,67.7,72.3,74.7,80.0,85.2,90.4,96.9,105.41,114.8,80.8,70.7,92.62
geoId-TVH,10.3,9.0,10.1,9.8,9.7,9.3,11.3,11.4,7.2,10.9,10.9,7.2,7.6,8.4,8.9,9.6,10.0,10.5,11.15,12.4,11.8,9.2,16.6
geoId-TQG,1.5,1.6,1.9,2.1,2.5,3.4,4.2,3.6,5.3,5.7,5.8,5.8,6.0,6.0,6.6,7.3,7.5,7.8,9.69,10.3,5.5,6.62,6.87
geoId-TNN,14.5,15.7,16.8,18.6,19.3,22.6,25.1,27.2,34.5,43.9,51.1,58.2,61.4,64.7,67.0,74.0,79.6,86.6,96.31,102.2,79.6,55.74,86.53
geoId-TNH,5.5,5.7,6.0,7.2,8.3,6.0,8.8,10.9,11.7,12.5,13.0,13.5,13.8,14.5,14.7,15.7,16.1,17.2,18.41,20.0,18.8,10.21,25.01
geoId-VLG,22.3,23.3,24.3,25.7,27.8,28.5,31.3,33.3,34.0,36.0,38.5,37.5,38.8,39.2,39.9,39.4,40.7,43.6,37.92,37.9,27.2,23.43,32.71
geoId-VPC,0.9,0.9,1.3,1.7,2.6,3.9,4.2,6.0,7.0,7.9,9.9,10.9,11.8,12.8,14.2,15.1,15.8,16.4,20.6,21.4,13.9,11.02,19.6
geoId-YBI,2.4,2.8,2.8,3.3,3.9,4.5,4.8,5.0,5.2,5.5,5.9,5.9,6.4,6.9,6.9,7.2,7.6,8.1,8.51,8.7,8.2,5.8,7.9
geoId-DBN,1.0,1.0,1.0,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.1,1.0,1.0,1.1,1.2,1.3,1.56,1.6,1.3,0.83,1.8
geoId-DNG,15.4,12.9,12.27,13.2,14.9,12.0,13.3,15.3,17.4,18.8,23.8,25.7,27.8,26.2,29.9,25.5,27.3,29.4,31.87,37.0,11.7,8.02,9.73
geoId-ST,219.0,252.1,260.2,272.0,281.8,297.2,324.1,367.3,388.9,502.3,624.6,745.9,822.7,889.1,953.3,1079.0,1173.8,1299.1,1488.34,1699.8,908.3,553.62,1315.97
geoId-DLK,6.4,6.5,6.4,6.5,6.6,7.9,8.2,8.7,8.7,12.6,14.9,14.7,15.3,15.5,16.9,17.4,18.6,20.5,23.03,24.8,24.2,15.76,24.84
geoId-DNG1,,,,0.8,0.8,1.2,1.4,1.4,1.7,1.7,2.0,2.1,2.4,2.5,2.6,2.9,3.0,3.2,3.48,3.7,2.9,1.98,3.31
geoId-MRD,314.35,331.3,349.17,353.0,379.2,409.1,451.7,479.4,513.1,530.9,561.1,571.7,594.4,609.6,624.5,649.1,679.2,730.8,778.21,828.5,695.7,506.42,640.3
geoId-RRD,77.71,80.56,105.18,269.8,342.5,415.3,469.3,520.8,589.8,648.5,762.1,787.7,863.4,928.1,1026.3,1099.3,1200.8,1318.7,1425.83,1588.6,1380.1,1123.34,1521.36
geoId-DNI,18.0,24.3,26.5,30.3,34.4,38.0,43.4,45.7,48.2,54.0,58.7,64.2,73.0,75.8,78.8,83.9,89.3,95.9,101.72,107.4,94.7,67.37,92.26
geoId-DTP,17.2,17.4,17.6,18.1,19.7,22.8,21.4,23.5,25.5,24.1,25.8,25.0,25.7,26.3,25.0,27.6,28.6,30.1,32.57,36.4,33.5,27.81,31.15
