dia phuong,Năm,Số thuê bao điện thoại,Số thuê bao di động trong số thuê bao điện thoại,Số thuê bao internet băng rộng cố định (ADSL)
geoId-VNM,2005,15845.0,8718.1,210.0
geoId-VNM,2006,28518.1,19748.9,516.6
geoId-VNM,2007,56189.7,45024.0,1294.1
geoId-VNM,2008,89639.9,74872.3,2049.0
geoId-VNM,2009,112563.2,98224.0,2967.3
geoId-VNM,2010,125944.6,111570.2,3669.3
geoId-VNM,2011,137492.9,127318.0,3838.2
geoId-VNM,2012,141229.8,131673.7,4775.4
geoId-VNM,2013,130460.9,123735.6,5152.6
geoId-VNM,2014,139194.2,132468.9,6000.5
geoId-VNM,2015,129362.3,123924.6,7657.6
geoId-VNM,2016,131052.5,125454.5,9098.2
geoId-VNM,2017,119400.1,115014.7,11269.9
geoId-VNM,2018,134715.0,130418.0,12994.0
geoId-VNM,2019,129808.55,126150.54,14802.37
geoId-VNM,2020,126862.5,123626.7,16649.2
geoId-VNM,2021,125783.6,122661.14,19328.19
geoId-VNM,Sơ bộ 2022,128926.4,126507.0,21247.49
