"Khối nước, nước và vùng lãnh thổ chủ yếu",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,5.9,24.8,22.2,17.1,18.0,14.0,23.2,28.8,38.4,65.7,91.3,102.3,131.2,173.2,268.3,601.5,783.5,886.5,1238.8,1336.9,1105.8,1165.3,1308.6,1482.4,1204.7,1150.9,1649.2,1916.9
,,2.4,5.9,5.7,11.9,8.9,5.3,12.2,15.7,14.9,22.2,22.1,40.9,43.6,50.3,110.5,267.3,647.0,958.3,211.6,286.2,1026.8,1381.5,1792.2,2497.5,4060.6,4438.4,3347.2
,6493.6,8959.1,9391.5,9444.5,9578.8,13242.9,13185.9,16296.8,20560.1,26386.0,30686.8,37467.7,52637.9,67232.2,58925.1,69924.6,86518.6,94259.8,108579.0,122467.5,137971.0,146836.4,180055.0,199039.1,212550.3,220538.4,274726.9,298337.1
,2270.1,2905.5,3220.5,3344.4,3290.9,4449.0,4172.3,4769.2,5949.3,7768.5,9326.3,12546.6,15908.2,19567.7,16461.3,16407.5,20910.2,20820.3,21287.1,22918.5,23785.9,24085.9,28363.3,31879.9,32260.6,30484.9,41197.8,47283.5
,22.0,24.5,17.6,11.6,13.7,18.4,18.2,14.2,38.0,38.9,42.9,57.8,109.6,116.0,74.4,105.6,124.3,163.7,150.6,150.6,175.4,191.7,229.6,266.6,298.9,340.6,510.1,375.3
,9.8,4.8,3.2,8.9,8.2,10.7,12.6,29.1,33.4,46.6,75.6,146.6,230.7,373.9,346.8,543.6,938.3,1019.3,1294.5,1849.3,2437.1,1722.3,1837.9,2386.7,2746.5,2903.6,4106.1,4547.9
,,,,,,,,,,,,,,,,10.0,189.2,610.6,607.0,102.3,48.1,70.5,51.7,36.7,192.1,265.6,258.1,633.5
,4.0,1.4,1.1,0.9,1.9,4.5,2.8,2.3,7.2,2.7,5.7,7.4,10.3,16.0,27.3,49.2,42.2,21.7,26.3,39.4,61.6,171.0,71.1,52.5,49.8,60.5,112.4,62.6
,2.3,2.7,3.7,6.7,5.6,15.8,6.1,11.1,6.2,11.2,23.0,22.7,65.1,96.5,63.1,85.7,199.3,167.2,138.2,93.1,120.1,92.0,94.3,81.5,90.6,77.5,109.5,53.8
,21.7,59.9,80.0,69.5,85.2,92.0,72.2,94.7,167.8,137.6,171.2,225.4,312.2,348.3,300.9,320.2,346.9,411.5,500.8,519.5,494.2,476.0,447.4,470.8,559.4,473.8,685.6,754.9
,,0.4,1.1,2.5,3.4,2.9,7.0,3.5,3.2,4.2,11.9,10.8,10.2,15.1,12.4,13.4,17.2,12.4,32.8,73.4,67.9,50.6,62.0,115.6,104.5,94.8,125.6,98.4
,24.9,35.1,36.9,41.3,49.5,37.6,56.8,63.7,76.6,96.8,173.6,178.6,287.2,297.8,235.8,349.3,342.1,455.7,406.4,385.2,448.3,395.5,799.3,857.1,853.6,726.4,759.9,711.4
,23.5,17.9,24.7,42.1,12.7,37.3,22.8,65.4,94.7,130.6,160.2,169.5,205.5,214.3,197.1,276.6,429.6,542.6,503.6,623.4,949.5,728.8,1032.6,972.1,903.5,1179.8,4710.8,4826.1
,,,,,,3.6,3.1,9.1,19.9,43.5,77.5,104.7,110.1,104.4,105.4,291.2,335.7,370.1,314.8,367.5,290.5,231.7,282.9,306.8,288.9,265.6,322.1,431.9
,175.5,288.2,280.8,359.9,268.7,295.2,396.7,558.1,614.6,694.3,661.9,914.5,1308.5,1479.9,1421.5,1742.4,2198.6,2377.3,2954.0,2606.6,3219.2,2861.4,3203.7,3828.2,3722.7,3353.1,3951.9,3617.2
,329.7,329.0,404.4,515.0,673.1,1401.1,1606.2,2158.8,3138.6,4595.1,5899.7,7391.3,12710.0,15973.6,15411.3,20203.6,24866.4,29035.0,36886.5,43647.6,49458.0,50018.8,58532.6,65573.2,75508.2,84195.7,110075.4,117866.6
,14.9,2.7,4.5,5.8,11.4,8.8,10.1,28.3,53.5,54.0,69.2,44.0,110.2,132.4,189.8,223.3,384.6,303.8,326.2,466.1,521.5,450.4,569.8,468.6,395.6,416.6,575.9,582.6
,,27.6,84.1,43.2,48.6,112.5,45.7,151.1,172.5,256.5,358.7,144.9,21.8,77.0,21.2,372.8,807.9,708.7,704.8,611.1,130.6,110.4,288.0,2603.8,3545.4,3168.1,4710.0,6582.0
,,,,,,1.1,5.8,2.9,5.1,8.4,12.8,14.2,36.3,100.2,74.2,129.5,174.5,135.9,255.3,250.3,450.4,703.0,904.7,798.2,703.3,644.4,1046.7,697.0
,4.0,6.8,7.7,6.9,6.5,6.3,7.6,8.8,14.2,14.4,15.9,22.0,23.1,23.0,24.6,70.3,36.5,62.1,57.3,74.9,75.6,104.6,112.9,141.7,122.9,130.3,153.9,160.1
,710.4,1153.2,1335.2,1246.3,1094.9,1317.4,1506.3,1840.6,2477.7,2681.8,2581.2,3129.2,5142.4,5581.5,5343.3,6361.7,7745.8,8791.0,9425.6,8842.7,10450.3,11169.6,12201.8,13949.7,14097.2,14660.3,16862.5,15340.6
,130.4,245.8,251.5,324.9,322.7,363.4,410.8,458.3,1143.3,1133.9,862.9,987.0,1700.5,2646.6,2710.5,3766.9,4529.2,4826.4,5223.8,6287.0,7785.0,8701.6,9336.7,12747.6,14434.0,13712.3,15270.7,14470.6
,19.3,10.8,19.0,22.2,13.9,15.2,14.7,14.0,19.0,16.4,18.5,25.6,28.9,43.0,66.7,106.3,117.0,63.4,87.6,120.5,129.4,173.2,147.9,244.3,337.8,371.8,532.2,628.6
,,0.2,0.5,0.3,1.1,2.5,0.9,2.8,1.1,2.0,4.9,1.9,6.9,28.1,7.3,5.8,11.9,22.5,17.8,22.1,28.5,50.4,65.6,69.0,103.8,77.7,88.2,78.5
,36.3,51.4,51.5,54.0,48.5,84.6,114.6,114.3,324.9,179.4,312.1,360.8,510.3,710.5,701.4,527.8,669.4,704.1,675.2,549.9,690.1,676.9,670.4,764.4,661.2,657.0,687.0,668.8
,1253.6,1781.4,1564.5,1420.9,1485.8,1753.6,1886.8,2279.6,2625.4,3359.4,3594.1,3908.4,5340.4,7255.2,6707.6,9757.6,13175.9,15535.4,20677.9,21728.5,27578.5,32193.1,46943.3,47629.3,47058.0,46926.0,56213.3,62088.6
,53.6,111.3,102.2,87.1,95.7,170.3,196.8,276.8,373.9,309.7,288.1,335.3,686.1,668.3,618.2,822.5,998.8,972.1,1172.7,1332.4,1451.5,1427.0,1650.0,1772.5,1877.8,1511.1,1726.5,1786.8
,1.1,6.1,5.2,12.3,17.4,7.3,14.3,16.9,21.6,34.9,36.2,41.3,82.8,76.9,115.5,124.9,205.2,158.9,204.4,570.1,1161.4,688.3,345.0,420.7,381.9,893.2,1109.7,1442.2
