"Khối nước, nước và vùng lãnh thổ",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,5.6,5.1,10.2,15.9,15.3,14.7,13.7,18.0,17.0,21.9,30.5,49.3,51.5,118.3,103.9,144.0,261.7,599.1,470.9,534.2,534.0,394.1,431.9,332.5,349.8,437.9,371.0,717.9
,,,,,,19.0,28.6,21.8,14.8,40.3,45.1,49.0,97.8,167.8,162.7,174.6,256.3,297.7,220.0,380.0,361.7,292.9,321.0,440.0,458.4,447.5,567.9,502.8
,,,,,,12.1,20.8,19.2,17.1,28.3,25.1,38.1,54.9,54.3,39.5,46.1,63.7,81.0,73.8,102.2,115.0,112.3,108.0,147.2,148.0,172.6,343.9,501.6
,11.1,8.9,8.2,1.8,4.7,6.4,11.7,3.3,18.2,13.9,30.9,34.2,40.5,77.5,81.6,75.8,100.4,129.1,176.7,246.4,233.8,271.2,280.7,191.8,186.3,148.2,153.2,141.0
,3998.2,5262.2,6322.6,6129.1,7486.2,10097.6,10084.0,11966.9,14832.0,19502.3,24169.7,29337.9,35048.8,44213.1,38802.1,49354.6,65182.4,78028.3,87072.5,98499.2,106607.5,119741.9,148891.3,170305.8,188872.3,213283.7,254532.3,279664.2
,996.9,1652.8,1913.5,1945.0,2516.3,2619.0,2553.6,2434.9,2953.3,4056.1,5743.5,6632.6,8110.3,10337.7,8761.3,10364.7,13656.0,17426.5,18584.4,19106.8,18195.1,17449.2,21680.2,24854.2,25266.5,23411.3,28866.4,34021.3
,16.6,22.2,41.0,38.5,63.1,61.5,79.5,67.9,83.6,82.2,81.8,160.1,220.9,266.7,185.3,241.2,445.5,328.2,350.8,509.1,585.2,597.6,774.5,1335.0,1498.8,1781.4,2066.7,2291.3
,0.9,9.7,11.1,14.2,8.6,13.9,15.1,12.2,22.6,25.0,32.3,61.9,102.6,183.1,200.0,492.8,597.9,718.1,1104.8,1480.7,1435.8,1332.4,2039.5,2059.4,2147.3,1826.3,2266.2,2237.6
,,,,,,,,,,,0.6,,,,7.7,14.2,15.4,16.9,17.5,49.6,25.5,20.1,21.5,18.5,66.7,16.6,35.0,92.3
,2.0,12.0,14.2,8.2,13.6,7.6,14.2,7.9,6.0,7.8,11.2,21.6,35.9,75.1,41.3,36.9,26.9,37.0,41.2,47.7,40.8,44.6,38.3,36.1,58.4,58.2,107.7,141.0
,,,,,,14.6,7.1,9.8,5.6,19.5,22.1,21.5,24.9,47.1,59.6,256.1,445.2,353.0,485.7,709.9,570.0,554.7,868.7,752.3,693.8,694.0,1273.1,1355.9
,34.7,61.3,124.9,212.3,306.7,311.9,341.2,337.1,391.4,515.7,544.1,687.5,849.0,1019.2,831.7,848.8,1199.7,1146.7,1323.3,1805.5,1779.5,1967.2,2250.6,2410.5,2549.6,2314.8,3602.4,3976.2
,,,,,,8.9,6.2,5.6,10.4,16.2,22.9,32.8,52.1,85.3,93.2,94.7,153.0,173.3,245.0,272.7,287.9,292.1,330.6,398.6,395.0,376.1,564.7,524.1
,17.8,32.6,63.9,80.2,91.1,98.7,107.3,138.1,171.3,270.1,356.0,440.5,539.2,656.4,638.5,802.1,969.4,1156.5,1557.8,2077.7,2407.6,2652.5,2709.2,3013.8,3888.8,4361.2,5269.6,6314.7
,94.6,99.0,108.9,75.2,90.2,141.6,146.0,178.4,267.3,384.0,555.6,780.6,1041.1,1531.6,1166.5,1563.8,2519.0,2929.9,2934.0,2685.4,2395.2,2199.4,2762.3,3791.9,4382.5,4149.0,4829.8,5752.8
,3.9,13.2,24.8,24.5,34.0,35.3,38.9,39.6,39.0,42.6,49.0,70.1,102.0,133.0,119.9,134.9,183.3,180.1,180.4,218.6,170.9,146.2,150.8,156.5,209.6,424.5,582.8,668.0
,,,,,,10.7,9.2,10.4,10.3,22.1,30.9,46.1,46.7,68.9,110.5,94.1,137.5,168.6,219.6,520.8,649.5,805.2,998.6,781.7,940.6,1018.3,1656.3,1724.0
,218.0,228.0,411.4,552.5,654.3,730.3,721.8,729.0,854.7,1064.7,1085.5,1445.3,1854.9,2073.4,1885.4,2372.7,3366.9,4094.9,4737.0,5174.9,5707.4,5960.5,6353.6,6873.2,6551.2,6644.0,7288.2,8968.1
,361.9,340.2,474.1,440.1,746.4,1536.4,1417.4,1518.3,1883.1,2899.1,3228.1,3242.8,3646.1,4850.1,5403.0,7742.9,11613.3,12836.0,13177.7,14928.3,16567.7,21950.4,35394.3,41365.8,41462.5,48906.1,55925.7,57702.6
,,,,,,23.8,33.1,41.2,66.0,93.6,121.6,140.6,234.0,357.6,360.1,508.3,922.0,2078.3,4138.4,4627.0,5690.9,4999.6,5026.9,5225.3,4784.7,3916.1,4688.3,3847.8
,,,,,,2.4,2.7,2.6,6.9,3.7,11.8,11.1,19.3,61.5,40.9,29.9,28.9,29.2,35.3,72.2,88.2,73.3,62.4,77.1,61.7,63.0,60.2,59.7
,664.2,848.5,1607.8,2079.0,2515.3,2845.1,3002.9,3162.5,3852.6,4968.4,5517.0,7094.0,9096.4,10895.8,9402.3,11385.5,16541.3,20302.0,24324.1,27895.5,30928.3,34002.2,38286.4,41986.0,35779.9,35146.4,40122.9,46829.3
,,,,,,7.3,4.7,8.6,15.3,31.8,23.4,38.2,53.2,52.2,77.5,98.6,120.3,203.6,247.0,243.6,240.5,290.7,266.8,278.3,271.7,363.5,480.6,302.2
,169.7,204.2,286.7,468.6,504.0,732.8,1065.3,2452.8,3938.6,5024.8,5924.0,7845.1,10104.5,11886.8,11407.2,14238.1,16955.4,19665.2,23852.5,28634.7,33451.0,38449.7,41530.8,47529.7,61332.4,77077.3,96268.6,109388.9
,20.9,21.9,26.4,15.4,10.8,15.0,17.0,21.2,18.3,21.6,27.0,33.0,62.7,70.4,62.5,38.4,51.3,57.6,60.1,55.0,65.7,93.3,206.6,401.2,408.0,925.1,570.2,577.6
,,,,,,16.3,21.1,34.3,42.0,45.4,55.0,64.6,81.8,103.2,77.7,80.3,132.3,150.6,186.4,185.1,167.3,188.6,270.3,251.8,272.4,259.3,358.8,393.5
,79.7,147.4,266.8,304.1,342.9,391.0,364.5,404.3,493.0,581.9,659.2,857.4,1182.1,1577.4,1355.6,1688.3,2148.0,2476.2,2936.2,3762.2,4759.6,6011.6,7098.9,7085.1,6879.3,6999.3,7685.3,10430.4
,235.3,558.3,417.0,229.1,319.9,352.6,406.1,468.7,492.1,608.1,663.6,842.9,1243.4,1793.5,2077.8,3092.2,4866.7,5580.9,6682.9,7167.5,8915.4,11406.1,14807.2,18240.6,19734.9,19107.3,21946.3,24293.5
,57.1,49.8,118.2,144.5,159.4,218.0,237.9,264.6,330.9,369.9,469.9,653.1,816.8,1002.8,804.6,980.1,1534.3,1876.6,2290.7,2740.1,2847.8,3264.8,2734.9,2903.4,3439.2,3117.4,3878.6,4430.4
,,,,,,15.1,18.1,19.5,19.9,32.2,31.6,44.2,58.1,82.7,76.9,97.5,170.8,279.3,404.5,495.8,533.7,554.1,711.4,779.8,774.0,683.4,780.6,785.7
,53.8,45.7,47.6,317.2,420.0,248.6,264.3,332.0,467.2,452.9,468.8,957.9,1153.2,751.2,754.1,1433.4,2358.9,2357.7,2502.2,2890.4,2847.6,2617.9,2858.9,3533.7,3369.2,2826.1,3914.2,4529.7
,80.8,84.7,124.6,126.2,114.9,122.9,194.5,187.4,159.6,215.8,251.9,413.2,458.5,672.0,414.9,829.7,1287.3,1617.9,1921.2,1724.9,1438.3,1616.1,2165.7,2446.4,2666.3,2852.0,3203.0,1558.1
,20.6,24.9,30.4,73.4,165.3,70.7,64.3,64.7,51.8,68.4,69.2,95.0,109.7,160.3,172.2,200.0,286.6,432.6,423.2,484.0,523.3,477.8,518.3,595.2,702.2,571.8,594.7,656.4
,110.6,77.7,141.6,115.2,256.5,413.9,337.2,347.8,453.8,624.3,1028.3,1254.0,1555.0,2030.4,1775.2,2093.1,2770.8,4500.3,4984.5,3926.4,3577.1,3342.0,4204.3,4064.6,3788.2,3419.4,4414.8,5565.5
,,,,,,5.7,5.4,7.1,12.5,14.0,12.0,16.5,21.8,32.6,33.9,49.5,82.5,117.8,229.7,345.0,375.7,461.6,701.4,702.1,721.3,633.3,408.5,532.7
,0.7,3.5,22.4,32.2,20.1,24.2,44.0,60.5,78.3,127.7,191.5,285.5,360.4,436.4,359.1,488.8,589.7,682.8,892.0,1035.9,1545.5,1888.4,2338.4,2239.6,2826.8,3159.3,4557.5,4532.8
