dia phuong,Năm,Tổng số,Bán lẻ,"Dịch vụ lưu trú, ăn uống",Dịch vụ và du lịch
geoId-VNM,1990,100.0,88.0,12.0,
geoId-VNM,1991,100.0,87.4,12.6,
geoId-VNM,1992,100.0,87.4,12.6,
geoId-VNM,1993,100.0,86.8,13.2,
geoId-VNM,1994,100.0,79.3,12.5,8.2
geoId-VNM,1995,100.0,78.3,14.0,7.7
geoId-VNM,1996,100.0,80.6,13.0,6.4
geoId-VNM,1997,100.0,81.4,12.7,5.9
geoId-VNM,1998,100.0,82.9,11.6,5.5
geoId-VNM,1999,100.0,83.1,10.8,6.1
geoId-VNM,2000,100.0,83.4,10.7,5.9
geoId-VNM,2001,100.0,81.5,12.5,6.0
geoId-VNM,2002,100.0,78.9,12.7,8.4
geoId-VNM,2003,100.0,78.7,11.8,9.5
geoId-VNM,2004,100.0,78.9,11.5,9.6
geoId-VNM,2005,100.0,77.8,12.2,10.0
geoId-VNM,2006,100.0,77.7,12.0,10.3
geoId-VNM,2007,100.0,77.0,12.1,10.9
geoId-VNM,2008,100.0,77.6,11.3,11.1
geoId-VNM,2009,100.0,79.4,11.3,9.3
geoId-VNM,2010,100.0,74.8,12.6,12.6
geoId-VNM,2011,100.0,73.9,12.5,13.6
geoId-VNM,2012,100.0,73.5,12.9,13.6
geoId-VNM,2013,100.0,75.1,12.1,12.8
geoId-VNM,2014,100.0,75.1,12.1,12.8
geoId-VNM,2015,100.0,74.6,12.4,13.0
geoId-VNM,2016,100.0,74.7,12.4,12.9
geoId-VNM,2017,100.0,75.0,12.3,12.7
geoId-VNM,2018,100.0,75.3,12.2,12.5
geoId-VNM,2019,100.0,75.52,12.18,12.3
geoId-VNM,2020,100.0,78.7,9.9,11.4
geoId-VNM,2021,100.0,82.56,8.27,9.16
geoId-VNM,Sơ bộ 2022,100.0,78.36,10.55,11.09
