dia phuong,Năm,Tổng số,Xuất khẩu,Nhập khẩu,Cân đối (*)
geoId-VNM,1990,5156.4,2404.0,2752.4,-348.4
geoId-VNM,1991,4425.2,2087.1,2338.1,-251.0
geoId-VNM,1992,5121.5,2580.7,2540.8,39.9
geoId-VNM,1993,6909.1,2985.2,3923.9,-938.7
geoId-VNM,1994,9880.1,4054.3,5825.8,-1771.5
geoId-VNM,1995,13604.3,5448.9,8155.4,-2706.5
geoId-VNM,1996,18399.4,7255.8,11143.6,-3887.8
geoId-VNM,1997,20777.3,9185.0,11592.3,-2407.3
geoId-VNM,1998,20859.9,9360.3,11499.6,-2139.3
geoId-VNM,1999,23283.5,11541.4,11742.1,-200.7
geoId-VNM,2000,30119.2,14482.7,15636.5,-1153.8
geoId-VNM,2001,31247.1,15029.2,16217.9,-1188.7
geoId-VNM,2002,36451.7,16706.1,19745.6,-3039.5
geoId-VNM,2003,45405.1,20149.3,25255.8,-5106.5
geoId-VNM,2004,58453.8,26485.0,31968.8,-5483.8
geoId-VNM,2005,69208.2,32447.1,36761.1,-4314.0
geoId-VNM,2006,84717.3,39826.2,44891.1,-5064.9
geoId-VNM,2007,111326.1,48561.4,62764.7,-14203.3
geoId-VNM,2008,143398.9,62685.1,80713.8,-18028.7
geoId-VNM,2009,127045.1,57096.3,69948.8,-12852.5
geoId-VNM,2010,157075.3,72236.7,84838.6,-12601.9
geoId-VNM,2011,203655.5,96905.7,106749.8,-9844.1
geoId-VNM,2012,228309.6,114529.2,113780.4,748.8
geoId-VNM,2013,264065.5,132032.9,132032.6,0.3
geoId-VNM,2014,298066.2,150217.1,147849.1,2368.0
geoId-VNM,2015,327792.6,162016.7,165775.9,-3759.2
geoId-VNM,2016,351559.2,176580.8,174978.4,1602.4
geoId-VNM,2017,428333.9,215118.6,213215.3,1903.3
geoId-VNM,2018,480938.4,243696.8,237241.6,6455.2
geoId-VNM,2019,517963.7,264267.2,253696.5,10570.7
geoId-VNM,2020,545419.9,282628.9,262791.0,19837.9
geoId-VNM,2021,669136.5,336166.8,332969.7,3197.2
geoId-VNM,Sơ bộ 2022,730206.1,371304.2,358901.9,12402.2
