"Tỉnh, thành phố",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-AGG,90.74,90.46,90.27,89.67,91.82,95.33,93.69,93.08,93.97,92.03,92.56,91.46
,91.27,91.98,91.2,92.17,95.74,97.5,95.54,96.22,96.8,96.0,94.34,95.86
geoId-BDG,88.74,89.05,89.7,88.63,93.64,97.49,95.38,95.92,95.1,95.16,93.7,95.4
geoId-BPC,93.8,93.47,92.95,95.09,96.12,96.8,94.55,95.27,94.84,93.92,92.77,91.5
geoId-BTN,86.02,87.24,86.75,87.91,91.39,95.84,93.79,93.64,94.48,94.13,93.41,92.84
geoId-BDH,86.43,86.48,86.05,87.42,90.04,95.13,93.43,93.68,94.12,93.17,92.32,91.01
geoId-BLU,85.61,85.48,84.79,85.45,87.29,94.11,92.7,91.84,93.39,91.11,91.76,91.51
geoId-BGG,87.13,87.51,87.28,87.08,88.79,94.86,93.21,92.25,93.35,91.26,91.71,91.39
geoId-BKN,83.57,83.67,84.16,83.61,86.7,94.63,92.84,92.85,94.18,93.87,93.79,92.12
geoId-BNH,87.89,91.84,92.23,92.86,93.62,97.11,94.58,94.95,95.29,95.52,94.04,93.07
geoId-BTE,90.31,90.67,91.35,91.33,93.02,95.94,92.72,91.72,93.76,91.17,88.52,86.89
geoId-CBG,91.2,90.1,87.9,87.5,91.18,96.15,93.68,94.23,94.92,94.26,93.52,92.15
geoId-CMU,83.61,84.03,84.73,85.24,88.42,93.59,91.51,91.43,93.42,92.08,90.83,90.51
geoId-CTO,90.88,89.82,89.24,89.33,92.14,96.88,94.24,94.22,94.61,94.16,93.1,91.98
geoId-GLI,91.65,91.46,89.45,90.12,90.9,94.3,92.99,92.34,93.45,90.97,89.04,88.99
geoId-HBH,89.87,89.18,90.85,90.93,94.83,96.95,94.76,94.4,95.26,94.25,93.63,92.67
geoId-HGG,91.17,92.3,93.8,94.3,96.5,97.98,96.1,96.12,95.37,94.75,93.22,92.27
geoId-HNM,84.29,84.84,85.03,84.63,86.94,93.48,90.63,91.52,90.73,90.86,90.64,91.27
geoId-HNI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
geoId-HTH,88.98,90.96,95.21,97.09,97.14,97.89,95.21,95.29,94.84,93.03,93.33,92.13
geoId-HYN,84.08,83.68,83.98,84.47,85.01,93.1,90.44,91.09,92.6,91.05,91.23,91.3
geoId-HDG,86.89,87.39,88.24,88.08,89.26,94.52,93.11,92.87,94.66,93.24,92.58,92.23
geoId-HPG,91.48,91.53,93.89,94.88,95.53,97.03,95.41,96.13,96.7,97.38,95.58,94.64
geoId-HGG,83.3,81.89,83.11,83.23,83.53,90.7,89.38,90.5,89.41,89.68,87.68,88.38
