dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,100.77,102.07,102.7,103.62,103.97,104.04,103.83,103.85,104.09,104.23,104.79,105.25
geoId-VNM,2011,105.51,105.53,106.03,107.16,107.7,108.14,108.35,108.56,108.71,108.87,108.24,108.06
geoId-VNM,2012,108.44,107.67,107.01,105.91,105.65,104.56,104.33,104.96,104.66,104.6,104.98,104.97
geoId-VNM,2013,104.35,104.23,104.11,104.17,103.76,104.46,104.55,103.85,103.6,103.49,103.24,103.02
geoId-VNM,2014,102.9,103.11,102.96,102.64,102.67,102.54,102.26,102.05,102.05,101.93,101.93,101.86
geoId-VNM,2015,101.78,101.22,101.3,101.6,101.73,101.72,101.84,101.82,101.76,101.68,101.65,101.52
geoId-VNM,2016,101.55,102.23,101.95,101.62,101.57,101.48,101.33,101.17,101.32,101.36,101.32,101.35
geoId-VNM,2017,101.36,100.78,100.92,101.03,100.82,100.83,100.78,100.92,100.66,100.75,100.71,100.76
geoId-VNM,2018,100.67,101.25,101.13,101.1,101.04,100.99,101.29,101.47,101.64,101.67,101.73,101.72
geoId-VNM,2019,101.98,101.92,101.92,101.94,101.97,102.03,101.92,101.66,101.63,101.66,101.63,101.7
geoId-VNM,2020,101.63,100.53,99.21,98.71,98.59,98.38,98.53,98.39,98.13,97.84,97.76,97.57
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
