dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.0,100.2,99.0,99.0,98.9,99.2,100.0,99.4,99.8,100.4,100.9,101.2
geoId-VNM,2003,100.3,100.4,100.4,100.5,100.5,101.0,101.0,101.3,103.3,104.4,104.8,104.9
geoId-VNM,2004,100.2,100.2,96.8,96.9,97.0,96.9,97.3,97.7,98.1,98.4,98.1,98.2
geoId-VNM,2005,100.1,100.1,100.2,100.4,100.5,101.2,101.8,102.4,103.7,104.4,104.6,105.0
geoId-VNM,2006,100.1,100.2,100.3,100.4,100.7,100.6,100.8,101.1,101.8,103.4,103.6,103.6
geoId-VNM,2007,100.19,100.39,100.45,100.62,100.69,100.86,100.94,101.23,101.62,101.82,101.89,101.97
geoId-VNM,2008,100.2,100.3,100.6,100.98,101.44,102.12,103.16,104.36,105.82,106.56,106.69,106.87
geoId-VNM,2009,100.07,100.11,100.2,100.3,100.34,100.41,100.62,100.77,105.14,105.9,105.97,106.05
geoId-VNM,2010,100.27,100.39,100.57,100.69,100.76,100.85,100.96,102.27,114.56,119.03,119.3,119.38
geoId-VNM,2011,102.89,103.81,104.74,105.04,105.31,105.8,106.08,107.28,116.52,120.25,120.35,120.41
geoId-VNM,2012,100.02,100.09,101.2,102.85,102.92,103.03,103.14,103.63,114.56,116.71,116.86,116.97
geoId-VNM,2013,100.3,100.33,100.37,100.42,100.44,100.47,100.56,101.47,110.98,111.57,111.68,111.71
geoId-VNM,2014,100.01,100.02,100.05,100.11,100.12,100.13,100.16,100.38,106.78,108.18,108.22,108.25
geoId-VNM,2015,100.08,100.11,100.12,100.13,100.13,100.13,100.14,101.01,102.26,102.31,102.38,102.42
geoId-VNM,2016,100.89,101.15,101.82,102.19,102.21,102.27,102.27,102.75,110.13,110.8,110.81,110.81
geoId-VNM,2017,100.47,100.47,101.22,101.23,101.25,101.34,101.39,101.96,107.06,107.26,107.29,107.29
geoId-VNM,2018,100.03,100.05,100.07,100.12,100.12,100.23,100.28,100.74,105.84,106.46,106.52,106.52
geoId-VNM,2019,100.15,99.68,99.69,99.74,99.79,100.02,100.24,100.81,103.99,104.19,104.23,104.25
geoId-VNM,2020,100.02,100.06,100.11,100.11,100.11,100.12,100.15,100.32,102.41,103.79,103.8,103.8
geoId-VNM,2021,100.33,100.33,100.34,100.37,100.4,100.42,100.45,100.49,97.58,97.83,96.93,96.51
geoId-VNM,2022,100.03,100.53,100.63,101.59,101.76,101.83,102.03,103.53,109.57,112.15,111.44,111.8
