dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,,,,,,,,,,,,
geoId-VNM,2003,,,,,,,,,,,,
geoId-VNM,2004,,,,,,,,,,,,
geoId-VNM,2005,,,,,,,,,,,,
geoId-VNM,2006,,,,,,,,,,,,
geoId-VNM,2007,,,,,,,,,,,,
geoId-VNM,2008,,,,,,,,,,,,
geoId-VNM,2009,,,,,,,,,,,,
geoId-VNM,2010,,,,,,,,,,,,
geoId-VNM,2011,,,,,,,,,,,,
geoId-VNM,2012,,,,,,,,,,,,
geoId-VNM,2013,,,,,,,,,,,,
geoId-VNM,2014,,,,,,,,,,,,
geoId-VNM,2015,,,,,,,,,,,,
geoId-VNM,2016,,,,,,,,,,,,
geoId-VNM,2017,,,,,,,,,,,,
geoId-VNM,2018,,,,,,,,,,,,
geoId-VNM,2019,,,,,,,,,,,,
geoId-VNM,2020,,,,,,,,,,,,
geoId-VNM,2021,100.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.65,100.22,98.94,99.5
geoId-VNM,2022,100.01,100.56,100.09,101.07,100.17,100.03,100.16,101.51,106.48,102.64,99.29,100.35
