dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thuỷ sản",Công nghiệp và xây dựng,Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm
geoId-VNM,2005,1588646.0,342811.0,605516.0,640319.0,
geoId-VNM,2006,1699501.0,355831.0,649657.0,694013.0,
geoId-VNM,2007,1820667.0,369905.0,697499.0,753263.0,
geoId-VNM,2008,1923749.0,387262.0,726329.0,810158.0,
geoId-VNM,2009,2027591.0,394658.0,769733.0,863200.0,
geoId-VNM,2010,2739843.17,421253.37,904775.04,1113126.28,300688.48
geoId-VNM,2011,2915553.94,439124.03,971253.63,1198258.59,306917.69
geoId-VNM,2012,3076041.91,451733.37,1040872.07,1282483.28,300953.19
geoId-VNM,2013,3246870.23,463167.88,1094199.16,1369890.89,319612.29
geoId-VNM,2014,3455392.13,478005.29,1162467.18,1470058.0,344861.66
geoId-VNM,2015,3696825.71,489989.0,1269334.59,1573638.59,363863.54
geoId-VNM,2016,3944143.68,498092.3,1368668.37,1691105.47,386277.53
geoId-VNM,2017,4217874.76,513873.79,1482057.14,1811523.95,410419.88
geoId-VNM,2018,4532739.4,535021.98,1615270.85,1946626.99,435819.58
geoId-VNM,2019,4866315.6,549291.56,1747874.37,2103954.81,465194.85
geoId-VNM,2020,5005755.65,565986.83,1824414.72,2146151.35,469202.75
geoId-VNM,2021,5133589.06,586989.21,1882921.0,2183688.32,479990.53
geoId-VNM,Sơ bộ 2022,5550616.91,607390.88,2031034.16,2404505.89,507685.98
