dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thuỷ sản",Công nghiệp và xây dựng,Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm
geoId-VNM,Sơ bộ 2022,100.0,11.96,38.17,41.32,8.55
geoId-VNM,1986,100.0,38.06,28.88,33.06,
geoId-VNM,1987,100.0,40.56,28.36,31.08,
geoId-VNM,1988,100.0,46.3,23.96,29.74,
geoId-VNM,1989,100.0,42.07,22.94,34.99,
geoId-VNM,1990,100.0,38.74,22.67,38.59,
geoId-VNM,1991,100.0,40.49,23.79,35.72,
geoId-VNM,1992,100.0,33.94,27.26,38.8,
geoId-VNM,1993,100.0,29.87,28.9,41.23,
geoId-VNM,1994,100.0,27.43,28.87,43.7,
geoId-VNM,1995,100.0,27.18,28.76,44.06,
geoId-VNM,1996,100.0,27.76,29.73,42.51,
geoId-VNM,1997,100.0,25.77,32.08,42.15,
geoId-VNM,1998,100.0,25.78,32.49,41.73,
geoId-VNM,1999,100.0,25.43,34.5,40.07,
geoId-VNM,2000,100.0,24.53,36.73,38.74,
geoId-VNM,2001,100.0,23.24,38.13,38.63,
geoId-VNM,2002,100.0,23.03,38.49,38.48,
geoId-VNM,2003,100.0,22.54,39.47,37.99,
geoId-VNM,2004,100.0,21.81,40.21,37.98,
geoId-VNM,2005,100.0,19.3,38.13,42.57,
geoId-VNM,2006,100.0,18.73,38.58,42.69,
geoId-VNM,2007,100.0,18.66,38.51,42.83,
geoId-VNM,2008,100.0,20.41,37.08,42.51,
geoId-VNM,2009,100.0,19.17,37.39,43.44,
geoId-VNM,2010,100.0,15.38,33.02,40.63,10.97
geoId-VNM,2011,100.0,16.26,34.58,38.91,10.25
geoId-VNM,2012,100.0,16.2,35.86,39.12,8.82
geoId-VNM,2013,100.0,15.22,35.58,40.54,8.67
geoId-VNM,2014,100.0,14.88,35.3,40.92,8.9
geoId-VNM,2015,100.0,14.47,34.27,42.19,9.07
geoId-VNM,2016,100.0,13.82,34.12,42.85,9.21
geoId-VNM,2017,100.0,12.93,35.39,42.58,9.1
geoId-VNM,2018,100.0,12.31,36.54,42.17,8.98
geoId-VNM,2019,100.0,11.78,36.8,42.47,8.94
geoId-VNM,2020,100.0,12.66,36.74,41.83,8.77
geoId-VNM,2021,100.0,12.6,37.39,41.26,8.75
