"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,40.43,44.49,46.64,47.71,52.43
geoId-BR-VT,309.62,300.38,251.16,297.64,357.23
geoId-BDG,137.67,147.38,150.48,157.4,165.27
geoId-BPC,56.08,62.61,67.73,76.12,87.33
geoId-BTN,53.39,64.24,69.23,73.44,79.59
geoId-BDH,50.25,55.67,60.08,63.66,70.86
geoId-BLU,43.95,45.95,48.02,51.44,60.12
geoId-BGG,50.85,57.72,65.64,70.35,84.05
geoId-BKN,35.38,38.21,41.06,42.46,46.82
geoId-BNH,144.95,144.99,147.26,157.65,169.07
geoId-SCC,50.17,55.91,57.41,61.8,70.16
geoId-BTE,36.75,40.31,41.86,44.62,48.99
geoId-CBG,30.63,32.89,35.81,35.85,38.71
geoId-CMU,48.21,50.67,51.21,51.81,61.09
geoId-CTO,67.78,72.66,72.41,73.93,86.99
geoId-GLI,39.35,40.25,42.59,48.2,53.28
geoId-HBH,54.42,54.61,57.72,59.15,66.84
geoId-HGG,26.07,28.19,29.8,30.76,33.74
geoId-HNM,56.31,64.03,69.53,75.96,86.93
geoId-HNI,111.6,120.32,123.4,128.33,141.61
geoId-HTH,54.73,60.54,63.55,68.9,71.23
geoId-HYN,66.9,73.71,79.04,88.04,102.25
geoId-HDG,61.21,66.78,68.4,77.3,87.49
geoId-HPG,104.42,122.17,133.9,151.13,173.52
geoId-HGG,44.27,48.64,51.48,54.4,66.3
geoId-KHA,63.89,70.36,64.27,63.51,77.17
geoId-KGG,52.04,55.17,55.65,59.03,66.29
geoId-KTM,37.81,40.33,43.01,47.72,53.98
geoId-LCU,40.5,38.86,43.33,44.66,50.15
geoId-LAN,65.72,72.8,76.36,79.85,90.31
geoId-LCI,62.17,68.11,71.98,74.45,85.98
geoId-LDG,56.05,60.5,62.89,67.04,77.84
geoId-LSN,38.25,41.9,44.23,47.17,52.1
geoId-NDH,34.92,39.04,42.69,44.55,48.14
geoId-NAN,36.52,39.85,43.06,46.21,51.62
geoId-NBH,54.31,62.77,67.53,70.73,79.59
geoId-NTN,43.66,52.7,59.11,69.69,77.3
geoId-PTO,42.53,47.07,50.74,54.0,59.63
geoId-PYN,44.3,48.63,50.49,51.53,57.13
geoId-QBH,39.72,43.75,46.32,49.29,54.89
geoId-QNM,61.55,66.05,65.41,69.77,78.73
geoId-QNI,67.73,70.53,69.48,81.51,99.07
geoId-QNH,126.81,143.31,155.6,170.19,197.73
geoId-QTI,45.49,50.34,52.84,57.9,65.05
geoId-STG,41.47,44.5,45.84,48.05,55.1
geoId-SLA,40.37,39.68,43.32,44.25,49.56
geoId-THA,40.26,48.33,51.26,57.6,68.08
geoId-TBH,39.98,45.22,47.9,51.6,57.74
geoId-TNN,84.75,90.89,94.33,99.96,110.01
geoId-TTH,42.54,46.81,48.56,50.83,56.95
geoId-TGG,50.54,54.57,55.77,55.81,62.57
geoId-HCM,138.76,148.66,148.63,145.99,159.43
geoId-NT,46.11,49.54,53.37,56.05,63.3
geoId-TVH,53.55,58.85,61.01,63.09,71.85
geoId-TQG,36.19,39.58,43.52,45.23,50.57
geoId-TNN,43.35,45.76,48.82,53.71,60.67
geoId-TNH,62.36,70.59,74.02,76.58,86.6
geoId-VLG,48.08,52.94,57.34,57.5,68.93
geoId-VPC,94.54,102.47,105.88,114.38,127.1
geoId-YBI,33.87,37.09,39.87,42.58,47.88
geoId-DBN,30.65,32.14,33.09,35.3,39.58
geoId-DNG,91.0,97.44,88.85,90.41,101.97
geoId-ST,133.78,141.75,140.35,144.31,158.88
geoId-DLK,39.14,41.67,46.09,50.96,57.32
geoId-DNG1,44.01,45.47,48.14,53.23,59.45
geoId-MRD,49.56,53.73,55.54,57.38,65.59
geoId-RRD,89.53,98.14,102.87,110.16,123.14
geoId-DNI,103.08,110.68,115.07,119.1,129.2
geoId-DTP,47.35,51.47,53.39,54.37,61.74
