Địa phương,2018,2019,2020,2021,Sơ bộ Prel. 2022
geoId-AGG,1696,1642,1348,1642,1736
geoId-BR-VT,492,501,614,1069,610
geoId-BDG,2014,1832,1271,1930,2100
geoId-BPC,520,656,424,860,57
geoId-BTN,734,818,588,1018,838
geoId-BDH,1253,1036,1154,1065,1123
geoId-BLU,636,961,830,1031,975
geoId-BGG,1770,1599,1862,1999,1643
geoId-BKN,486,520,465,560,544
geoId-BNH,1530,1494,1222,1765,1645
geoId-SCC,17604,19251,19048,19957,18395
geoId-BTE,881,1254,939,1242,1277
geoId-CBG,917,873,963,822,834
geoId-CMU,1067,1318,1174,1455,1473
geoId-VNM,84788,96229,83996,109535,88772
geoId-CTO,2166,2342,1322,2110,968
geoId-GLI,832,1170,1063,1282,785
geoId-HGG,925,973,961,928,937
geoId-HNM,580,547,528,683,534
geoId-HNI,8350,8792,4911,11133,4259
geoId-HTH,1095,1281,1193,1450,1469
geoId-HBH,603,760,674,790,841
geoId-HYN,761,1169,738,1172,714
geoId-HDG,1342,1651,1305,1839,553
geoId-HPG,2106,2380,2108,2735,1576
geoId-HGG,500,515,559,652,541
geoId-KHA,1232,1311,975,1311,892
geoId-KGG,1205,1540,1556,1709,1643
geoId-KTM,486,565,491,613,531
geoId-LCU,451,442,455,519,581
geoId-LAN,951,1074,1034,1040,1243
geoId-LCI,730,859,811,937,69
geoId-LDG,925,912,929,1072,871
geoId-LSN,804,937,764,887,788
geoId-NDH,1004,1186,982,795,885
geoId-NAN,2519,3026,3492,3391,4168
geoId-NBH,1109,1257,922,1245,672
geoId-NTN,493,490,494,608,514
geoId-PTO,1424,1909,1873,2123,1626
geoId-PYN,632,543,589,639,618
geoId-QBH,810,854,741,761,492
geoId-QNM,1268,1523,1758,1680,120
geoId-QNI,840,1024,1759,951,787
geoId-QNH,2122,1252,728,1987,1392
geoId-QTI,578,631,282,690,698
geoId-STG,663,876,709,1002,943
geoId-SLA,1118,1101,1124,1077,1118
geoId-THA,3898,3984,3034,4242,4355
geoId-TBH,2040,2115,1992,2502,2181
geoId-TNN,990,2041,1246,2181,1075
geoId-TTH,712,727,941,732,538
geoId-TGG,934,1577,1036,1235,989
geoId-HCM,10193,11824,11689,18473,12611
geoId-NT,12079,14436,13227,15136,12216
geoId-TVH,696,894,1095,834,969
geoId-TQG,469,833,504,675,1931
geoId-TNN,3990,4671,4342,4786,3821
geoId-TNH,493,596,489,923,336
geoId-VLG,698,959,863,739,949
geoId-VPC,1112,1619,1345,1663,1799
geoId-YBI,685,865,807,876,914
geoId-DBN,707,724,718,762,760
geoId-DNG,1540,2003,2048,1419,2041
geoId-ST,15391,18069,16698,25955,16598
geoId-DLK,1475,1531,1390,1268,1157
geoId-DNG1,272,493,469,551,477
geoId-MRD,13668,16340,13900,16182,13776
geoId-RRD,22056,23462,16781,27519,14964
geoId-DNI,1679,2660,2211,2700,2917
geoId-DTP,1575,1388,1435,1491,1584
