dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,13243,30,12372,841
geoId-VNM,2006,13232,31,12420,781
geoId-VNM,2007,13438,37,12626,775
geoId-VNM,2008,13460,41,12670,749
geoId-VNM,2009,13450,44,12654,752
geoId-VNM,2010,13467,47,12667,753
geoId-VNM,2011,13506,46,12679,781
geoId-VNM,2012,13523,46,12691,786
geoId-VNM,2013,13562,46,12735,781
geoId-VNM,2014,13611,46,12785,780
geoId-VNM,2015,13617,46,12791,780
geoId-VNM,2016,13591,46,12779,766
geoId-VNM,2017,13583,48,12769,766
