Địa phương,Năm,Tổng số,Bệnh viện,Phòng khám khu vực,Bệnh viện điều dưỡng và phục hồi chức năng,"Trạm y tế xã, phường, cơ quan, xí nghiệp"
geoId-AGG,2005,170.0,14.0,12.0,,143
geoId-AGG,2006,180.0,14.0,11.0,,154
geoId-AGG,2007,180.0,15.0,11.0,,154
geoId-AGG,2008,180.0,15.0,11.0,,154
geoId-AGG,2009,182.0,15.0,11.0,,156
geoId-AGG,2010,182.0,15.0,11.0,,156
geoId-AGG,2011,182.0,15.0,11.0,,156
geoId-AGG,2012,182.0,15.0,11.0,,156
geoId-AGG,2013,182.0,15.0,11.0,,156
geoId-AGG,2014,182.0,15.0,11.0,,156
geoId-AGG,2015,183.0,15.0,12.0,,156
geoId-AGG,2016,184.0,16.0,,12.0,156
geoId-AGG,2017,183.0,16.0,,11.0,156
geoId-BR-VT,2005,87.0,7.0,6.0,,74
geoId-BR-VT,2006,89.0,9.0,6.0,,74
geoId-BR-VT,2007,92.0,10.0,6.0,,76
geoId-BR-VT,2008,96.0,10.0,6.0,,80
geoId-BR-VT,2009,98.0,10.0,6.0,,82
geoId-BR-VT,2010,98.0,10.0,6.0,,82
geoId-BR-VT,2011,98.0,10.0,6.0,,82
geoId-BR-VT,2012,98.0,10.0,6.0,,82
geoId-BR-VT,2013,100.0,12.0,6.0,,82
geoId-BR-VT,2014,100.0,12.0,6.0,,82
geoId-BR-VT,2015,100.0,12.0,6.0,,82
geoId-BR-VT,2016,100.0,12.0,,6.0,82
geoId-BR-VT,2017,100.0,12.0,,6.0,82
geoId-BDG,2005,105.0,9.0,5.0,1.0,89
geoId-BDG,2006,104.0,8.0,5.0,1.0,89
geoId-BDG,2007,107.0,8.0,8.0,1.0,89
geoId-BDG,2008,107.0,8.0,8.0,1.0,89
geoId-BDG,2009,105.0,8.0,6.0,1.0,89
geoId-BDG,2010,112.0,10.0,9.0,1.0,91
geoId-BDG,2011,112.0,10.0,10.0,,91
geoId-BDG,2012,112.0,8.0,11.0,1.0,91
geoId-BDG,2013,119.0,9.0,17.0,1.0,91
geoId-BDG,2014,118.0,8.0,17.0,1.0,91
geoId-BDG,2015,118.0,8.0,17.0,1.0,91
geoId-BDG,2016,121.0,11.0,1.0,18.0,91
geoId-BDG,2017,123.0,11.0,1.0,18.0,91
geoId-BPC,2005,104.0,7.0,5.0,,91
geoId-BPC,2006,106.0,7.0,4.0,,94
geoId-BPC,2007,114.0,9.0,5.0,,99
geoId-BPC,2008,117.0,9.0,5.0,,102
geoId-BPC,2009,115.0,9.0,3.0,,102
geoId-BPC,2010,128.0,9.0,8.0,,110
geoId-BPC,2011,125.0,12.0,2.0,,111
geoId-BPC,2012,128.0,12.0,4.0,,111
geoId-BPC,2013,128.0,12.0,4.0,,111
geoId-BPC,2014,128.0,12.0,4.0,,111
geoId-BPC,2015,128.0,12.0,4.0,,111
geoId-BPC,2016,128.0,13.0,,4.0,111
geoId-BPC,2017,130.0,13.0,,4.0,113
geoId-BTN,2005,128.0,10.0,13.0,,104
geoId-BTN,2006,132.0,11.0,10.0,,110
geoId-BTN,2007,140.0,13.0,10.0,,116
geoId-BTN,2008,141.0,13.0,10.0,,117
geoId-BTN,2009,140.0,13.0,10.0,,117
geoId-BTN,2010,150.0,13.0,10.0,,127
geoId-BTN,2011,150.0,13.0,10.0,,127
geoId-BTN,2012,150.0,13.0,10.0,,127
geoId-BTN,2013,150.0,13.0,10.0,,127
geoId-BTN,2014,150.0,12.0,10.0,,127
geoId-BTN,2015,151.0,13.0,10.0,,127
geoId-BTN,2016,141.0,13.0,,10.0,117
geoId-BTN,2017,141.0,13.0,,10.0,117
geoId-BDH,2005,180.0,16.0,8.0,1.0,155
geoId-BDH,2006,182.0,16.0,8.0,1.0,157
geoId-BDH,2007,182.0,16.0,6.0,1.0,159
geoId-BDH,2008,183.0,17.0,6.0,1.0,159
geoId-BDH,2009,183.0,17.0,6.0,1.0,159
geoId-BDH,2010,183.0,17.0,6.0,1.0,159
geoId-BDH,2011,183.0,17.0,6.0,1.0,159
geoId-BDH,2012,182.0,17.0,5.0,1.0,159
geoId-BDH,2013,183.0,18.0,5.0,1.0,159
geoId-BDH,2014,182.0,17.0,5.0,1.0,159
geoId-BDH,2015,182.0,17.0,5.0,1.0,159
geoId-BDH,2016,182.0,17.0,1.0,5.0,159
geoId-BDH,2017,183.0,18.0,1.0,5.0,159
geoId-BLU,2005,71.0,7.0,2.0,,61
geoId-BLU,2006,71.0,7.0,2.0,,61
geoId-BLU,2007,71.0,7.0,2.0,,61
geoId-BLU,2008,74.0,7.0,2.0,,64
geoId-BLU,2009,74.0,7.0,2.0,,64
geoId-BLU,2010,74.0,7.0,2.0,,64
geoId-BLU,2011,74.0,7.0,2.0,,64
geoId-BLU,2012,73.0,6.0,2.0,,64
geoId-BLU,2013,74.0,7.0,2.0,,64
geoId-BLU,2014,74.0,7.0,2.0,,64
geoId-BLU,2015,74.0,7.0,2.0,,64
geoId-BLU,2016,75.0,7.0,1.0,2.0,64
geoId-BLU,2017,74.0,7.0,,2.0,64
geoId-BGG,2005,268.0,15.0,22.0,1.0,229
geoId-BGG,2006,268.0,15.0,23.0,1.0,229
geoId-BGG,2007,268.0,15.0,24.0,1.0,228
geoId-BGG,2008,269.0,15.0,24.0,1.0,229
geoId-BGG,2009,250.0,16.0,4.0,1.0,229
geoId-BGG,2010,251.0,16.0,4.0,1.0,230
geoId-BGG,2011,250.0,16.0,3.0,1.0,230
geoId-BGG,2012,249.0,15.0,3.0,1.0,230
geoId-BGG,2013,250.0,16.0,3.0,1.0,230
geoId-BGG,2014,250.0,16.0,3.0,1.0,230
geoId-BGG,2015,250.0,16.0,3.0,1.0,230
geoId-BGG,2016,250.0,16.0,1.0,3.0,230
geoId-BGG,2017,249.0,15.0,1.0,3.0,230
geoId-BKN,2005,140.0,6.0,12.0,,122
geoId-BKN,2006,139.0,6.0,11.0,,122
geoId-BKN,2007,140.0,7.0,11.0,,122
geoId-BKN,2008,140.0,8.0,10.0,,122
geoId-BKN,2009,140.0,8.0,10.0,,122
geoId-BKN,2010,133.0,9.0,2.0,,122
geoId-BKN,2011,133.0,9.0,2.0,,122
geoId-BKN,2012,133.0,9.0,2.0,,122
geoId-BKN,2013,133.0,9.0,2.0,,122
geoId-BKN,2014,133.0,9.0,2.0,,122
geoId-BKN,2015,132.0,9.0,1.0,,122
geoId-BKN,2016,132.0,9.0,,1.0,122
geoId-BKN,2017,133.0,9.0,,2.0,122
geoId-BNH,2005,146.0,11.0,7.0,1.0,126
geoId-BNH,2006,146.0,11.0,7.0,1.0,126
geoId-BNH,2007,146.0,11.0,7.0,1.0,126
geoId-BNH,2008,146.0,11.0,7.0,1.0,126
geoId-BNH,2009,146.0,11.0,7.0,1.0,126
geoId-BNH,2010,139.0,11.0,,1.0,126
geoId-BNH,2011,139.0,11.0,,1.0,126
geoId-BNH,2012,140.0,12.0,,1.0,126
geoId-BNH,2013,140.0,12.0,,1.0,126
geoId-BNH,2014,140.0,12.0,,1.0,126
geoId-BNH,2015,141.0,13.0,,1.0,126
geoId-BNH,2016,141.0,13.0,1.0,,126
geoId-BNH,2017,158.0,13.0,1.0,,143
geoId-SCC,2005,3219.0,194.0,216.0,10.0,2790
geoId-SCC,2006,3231.0,203.0,198.0,10.0,2812
geoId-SCC,2007,3284.0,210.0,186.0,10.0,2870
geoId-SCC,2008,3282.0,213.0,169.0,10.0,2882
geoId-SCC,2009,3275.0,222.0,142.0,10.0,2894
geoId-SCC,2010,3290.0,224.0,141.0,11.0,2908
geoId-SCC,2011,3286.0,225.0,132.0,11.0,2912
geoId-SCC,2012,3283.0,230.0,127.0,10.0,2910
geoId-SCC,2013,3277.0,237.0,118.0,10.0,2906
geoId-SCC,2014,3280.0,237.0,113.0,10.0,2914
geoId-SCC,2015,3281.0,240.0,110.0,10.0,2914
geoId-SCC,2016,3257.0,239.0,10.0,95.0,2905
geoId-SCC,2017,3244.0,242.0,9.0,85.0,2900
geoId-BTE,2005,179.0,11.0,8.0,,160
geoId-BTE,2006,178.0,10.0,8.0,,160
geoId-BTE,2007,178.0,10.0,8.0,,160
geoId-BTE,2008,178.0,10.0,8.0,,160
geoId-BTE,2009,179.0,11.0,8.0,,160
geoId-BTE,2010,183.0,11.0,8.0,,164
geoId-BTE,2011,184.0,12.0,8.0,,164
geoId-BTE,2012,185.0,12.0,9.0,,164
geoId-BTE,2013,185.0,12.0,9.0,,164
geoId-BTE,2014,185.0,12.0,9.0,,164
geoId-BTE,2015,185.0,12.0,9.0,,164
geoId-BTE,2016,185.0,12.0,,9.0,164
geoId-BTE,2017,185.0,12.0,,9.0,164
geoId-CBG,2005,225.0,16.0,20.0,,189
geoId-CBG,2006,227.0,16.0,22.0,,189
geoId-CBG,2007,233.0,16.0,23.0,,194
geoId-CBG,2008,238.0,16.0,23.0,,199
geoId-CBG,2009,235.0,16.0,20.0,,199
geoId-CBG,2010,235.0,16.0,20.0,,199
geoId-CBG,2011,235.0,16.0,20.0,,199
geoId-CBG,2012,235.0,16.0,20.0,,199
geoId-CBG,2013,236.0,17.0,20.0,,199
geoId-CBG,2014,234.0,17.0,18.0,,199
geoId-CBG,2015,233.0,17.0,17.0,,199
geoId-CBG,2016,231.0,16.0,,16.0,199
geoId-CBG,2017,230.0,16.0,,15.0,199
geoId-CMU,2005,102.0,10.0,14.0,1.0,76
geoId-CMU,2006,110.0,11.0,14.0,1.0,83
geoId-CMU,2007,117.0,12.0,9.0,1.0,94
geoId-CMU,2008,118.0,11.0,9.0,1.0,97
geoId-CMU,2009,117.0,11.0,4.0,1.0,101
geoId-CMU,2010,114.0,12.0,7.0,1.0,94
geoId-CMU,2011,114.0,12.0,7.0,1.0,94
geoId-CMU,2012,114.0,12.0,7.0,1.0,94
geoId-CMU,2013,117.0,13.0,9.0,1.0,94
geoId-CMU,2014,118.0,14.0,9.0,1.0,94
geoId-CMU,2015,119.0,14.0,10.0,1.0,94
geoId-CMU,2016,117.0,12.0,1.0,10.0,94
geoId-CMU,2017,120.0,11.0,1.0,7.0,101
geoId-VNM,2005,12372.0,822.0,855.0,34.0,10613
geoId-VNM,2006,12420.0,847.0,822.0,32.0,10672
geoId-VNM,2007,12626.0,902.0,803.0,31.0,10851
