dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,101,100.0,102.0,82.0
geoId-VNM,2006,101,100.0,104.0,63.0
geoId-VNM,2007,106,109.0,106.0,99.0
geoId-VNM,2008,104,111.0,104.0,101.0
geoId-VNM,2009,106,112.0,106.0,106.0
geoId-VNM,2010,106,86.0,107.0,105.0
geoId-VNM,2011,108,160.0,104.0,133.0
geoId-VNM,2012,103,103.0,103.0,104.0
geoId-VNM,2013,102,93.0,103.0,96.0
geoId-VNM,2014,105,119.0,104.0,100.0
geoId-VNM,2015,104,100.0,104.0,98.0
geoId-VNM,2016,100,76.0,103.0,95.0
geoId-VNM,2017,101,154.0,97.0,100.0
