Địa phương,Năm,Tổng số,Công lập,Ngoài công lập
geoId-AGG,2121,4960,4410.0,550.0
geoId-AGG,2022,5029,4439.0,590.0
geoId-BR-VT,2121,2444,2414.0,30.0
geoId-BR-VT,2022,2374,2300.0,74.0
geoId-BDG,2121,7562,5202.0,2360.0
geoId-BDG,2022,5202,3053.0,2149.0
geoId-BPC,2121,2230,2080.0,150.0
geoId-BPC,2022,2520,2370.0,150.0
geoId-BTN,2121,3413,3165.0,248.0
geoId-BTN,2022,3843,3418.0,425.0
geoId-BDH,2121,4680,4280.0,400.0
geoId-BDH,2022,4400,4000.0,400.0
geoId-BLU,2121,3000,2700.0,300.0
geoId-BLU,2022,2250,2250.0,
geoId-BGG,2121,5526,4883.0,643.0
geoId-BGG,2022,6410,5550.0,860.0
geoId-BKN,2121,1030,1030.0,
geoId-BKN,2022,1030,1030.0,
geoId-BNH,2121,4886,4533.0,353.0
geoId-BNH,2022,4839,4559.0,280.0
geoId-SCC,2121,78398,69271.0,9127.0
geoId-SCC,2022,77280,69453.0,7827.0
geoId-BTE,2121,4230,4130.0,100.0
geoId-BTE,2022,4299,4159.0,140.0
geoId-CBG,2121,1905,1875.0,30.0
geoId-CBG,2022,1925,1875.0,50.0
geoId-CMU,2121,4190,3990.0,200.0
geoId-CMU,2022,4070,3870.0,200.0
geoId-VNM,2121,335182,307740.0,27442.0
geoId-VNM,2022,284135,258811.0,25324.0
geoId-CTO,2121,7231,6481.0,750.0
geoId-CTO,2022,5860,4960.0,900.0
geoId-GLI,2121,4655,4300.0,355.0
geoId-GLI,2022,0,,
geoId-HGG,2121,2815,2735.0,80.0
geoId-HGG,2022,2846,2748.0,98.0
geoId-HNM,2121,2088,1990.0,98.0
geoId-HNM,2022,1853,1735.0,118.0
geoId-HNI,2121,12695,12695.0,
geoId-HNI,2022,0,,
geoId-HTH,2121,3926,3598.0,328.0
geoId-HTH,2022,3934,3934.0,
geoId-HBH,2121,2352,2352.0,
geoId-HBH,2022,2465,2465.0,
geoId-HYN,2121,3880,3680.0,200.0
geoId-HYN,2022,2337,2337.0,
geoId-HDG,2121,6255,6145.0,110.0
geoId-HDG,2022,7200,7200.0,
geoId-HPG,2121,11299,9514.0,1785.0
geoId-HPG,2022,5555,5445.0,110.0
geoId-HGG,2121,2715,2490.0,225.0
geoId-HGG,2022,2710,2490.0,220.0
geoId-KHA,2121,4818,4310.0,508.0
geoId-KHA,2022,4516,4208.0,308.0
geoId-KGG,2121,5900,5500.0,400.0
geoId-KGG,2022,5550,4810.0,740.0
geoId-KTM,2121,2517,2331.0,186.0
geoId-KTM,2022,2341,2155.0,186.0
geoId-LCU,2121,1610,1590.0,20.0
geoId-LCU,2022,1590,1590.0,
geoId-LAN,2121,4150,3570.0,580.0
geoId-LAN,2022,5110,4330.0,780.0
geoId-LCI,2121,3290,3200.0,90.0
geoId-LCI,2022,1460,1460.0,
geoId-LDG,2121,4365,4165.0,200.0
geoId-LDG,2022,2535,2535.0,
geoId-LSN,2121,2595,2595.0,
geoId-LSN,2022,2640,2640.0,
geoId-NDH,2121,4715,4475.0,240.0
geoId-NDH,2022,3005,3005.0,
geoId-NAN,2121,13860,11529.0,2331.0
geoId-NAN,2022,14241,12380.0,1861.0
geoId-NBH,2121,4022,4022.0,
geoId-NBH,2022,3827,3827.0,
geoId-NTN,2121,1830,1780.0,50.0
