Địa phương,Năm,Tổng số,Bệnh viện,Phòng khám khu vực,B.V điều dưỡng và phục hồi chức năng,"Trạm y tế xã, phường, cơ quan, XN"
geoId-AGG,2002,3689.0,2044.0,285.0,,1310
geoId-AGG,2003,3774.0,2094.0,290.0,,1340
geoId-AGG,2004,3824.0,2094.0,290.0,,1390
geoId-AGG,2005,3984.0,2264.0,270.0,,1430
geoId-AGG,2006,4074.0,2264.0,250.0,,1540
geoId-AGG,2007,4360.0,2570.0,250.0,,1540
geoId-AGG,2008,4390.0,2600.0,250.0,,1540
geoId-AGG,2009,4510.0,2700.0,250.0,,1560
geoId-AGG,2010,4790.0,2980.0,250.0,,1560
geoId-AGG,2011,4790.0,2980.0,250.0,,1560
geoId-AGG,2012,4840.0,3030.0,250.0,,1560
geoId-AGG,2013,4840.0,3030.0,250.0,,1560
geoId-AGG,2014,5045.0,3235.0,250.0,,1560
geoId-AGG,2015,5045.0,3235.0,250.0,,1560
geoId-AGG,2016,5045.0,3235.0,250.0,,1560
geoId-AGG,2017,5048.0,3235.0,,253.0,1560
geoId-BR-VT,2002,1086.0,870.0,60.0,,156
geoId-BR-VT,2003,1144.0,930.0,60.0,,154
geoId-BR-VT,2004,1162.0,930.0,60.0,,172
geoId-BR-VT,2005,1224.0,930.0,60.0,,234
geoId-BR-VT,2006,1402.0,1160.0,60.0,,182
geoId-BR-VT,2007,1436.0,1190.0,60.0,,186
geoId-BR-VT,2008,1446.0,1190.0,60.0,,196
geoId-BR-VT,2009,1434.0,1250.0,20.0,,164
geoId-BR-VT,2010,1444.0,1260.0,20.0,,164
geoId-BR-VT,2011,1444.0,1260.0,20.0,,164
geoId-BR-VT,2012,1624.0,1440.0,20.0,,164
geoId-BR-VT,2013,1644.0,1460.0,20.0,,164
geoId-BR-VT,2014,1804.0,1150.0,490.0,,164
geoId-BR-VT,2015,1760.0,1576.0,20.0,,164
geoId-BR-VT,2016,1860.0,1676.0,20.0,,164
geoId-BR-VT,2017,1894.0,1710.0,,20.0,164
geoId-BDG,2002,1241.0,790.0,36.0,,395
geoId-BDG,2003,1471.0,1020.0,36.0,,395
geoId-BDG,2004,1548.0,1060.0,48.0,,420
geoId-BDG,2005,1825.0,1250.0,60.0,50.0,445
geoId-BDG,2006,1925.0,1350.0,60.0,50.0,445
geoId-BDG,2007,2025.0,1420.0,100.0,50.0,435
geoId-BDG,2008,2247.0,1600.0,132.0,50.0,445
