Địa phương,Năm,Số người chết do HIV/AIDS năm 2021,Số người chết do HIV/AIDS - Lũy kế đến 31/12,Số người chết do HIV/AIDS trong năm 2019 trên 100.000 dân
geoId-AGG,2021,38.00,5535.0,1.99
geoId-AGG,2022,63.00,5719.0,300.13
geoId-BR-VT,2021,11.00,2060.0,0.94
geoId-BR-VT,2022,17.00,2105.0,178.59
geoId-BDG,2021,9.00,964.0,0.35
geoId-BDG,2022,14.00,991.0,35.87
geoId-BPC,2021,16.00,245.0,1.56
geoId-BPC,2022,12.00,293.0,28.32
geoId-BTN,2021,9.00,541.0,0.72
geoId-BTN,2022,10.00,585.0,46.72
geoId-BDH,2021,19.00,481.0,1.26
geoId-BDH,2022,15.00,518.0,34.43
geoId-BLU,2021,51.00,1216.0,5.55
geoId-BLU,2022,50.00,1306.0,141.68
geoId-BGG,2021,16.00,1258.0,0.85
geoId-BGG,2022,10.00,1295.0,68.49
geoId-BKN,2021,11.00,1105.0,3.40
geoId-BKN,2022,9.00,1137.0,350.54
geoId-BNH,2021,30.00,1083.0,2.05
geoId-BNH,2022,16.00,1126.0,75.66
geoId-SCC,2021,258.00,11635.0,1.86
geoId-SCC,2022,219.00,12190.0,59.03
geoId-BTE,2021,55.00,1113.0,4.24
geoId-BTE,2022,57.00,1227.0,94.53
geoId-CBG,2021,15.00,1341.0,2.77
geoId-CBG,2022,27.00,1373.0,252.83
geoId-CMU,2021,67.00,594.0,5.54
geoId-CMU,2022,28.00,630.0,52.17
geoId-VNM,2021,1856.00,110990.0,1.88
geoId-VNM,2022,1582.00,112572.0,113.18
geoId-CTO,2021,30.00,2571.0,2.41
geoId-CTO,2022,51.00,2713.0,216.63
geoId-GLI,2021,,276.0,
geoId-GLI,2022,15.00,304.0,19.11
geoId-HGG,2021,,466.0,
geoId-HGG,2022,1.00,439.0,49.18
geoId-HNM,2021,10.00,754.0,1.14
geoId-HNM,2022,7.00,777.0,88.49
geoId-HNI,2021,120.00,7173.0,1.44
geoId-HNI,2022,83.00,7443.0,88.23
geoId-HTH,2021,4.00,398.0,0.30
geoId-HTH,2022,1.00,405.0,30.75
geoId-HBH,2021,26.00,1070.0,2.98
geoId-HBH,2022,32.00,1159.0,132.40
geoId-HYN,2021,11.00,881.0,0.86
geoId-HYN,2022,16.00,923.0,71.50
geoId-HDG,2021,16.00,1690.0,0.83
geoId-HDG,2022,18.00,1745.0,89.63
geoId-HPG,2021,33.00,5164.0,1.59
geoId-HPG,2022,32.00,5291.0,253.40
geoId-HGG,2021,15.00,606.0,2.06
geoId-HGG,2022,2.00,619.0,84.86
geoId-KHA,2021,35.00,1307.0,2.80
geoId-KHA,2022,20.00,1328.0,105.90
geoId-KGG,2021,53.00,1709.0,3.02
geoId-KGG,2022,43.00,1700.0,97.05
geoId-KTM,2021,6.00,192.0,1.05
geoId-KTM,2022,7.00,203.0,35.01
geoId-LCU,2021,68.00,1745.0,14.21
geoId-LCU,2022,41.00,1835.0,380.63
geoId-LAN,2021,33.00,1517.0,1.91
geoId-LAN,2022,50.00,1621.0,93.47
geoId-LCI,2021,36.00,1550.0,4.73
geoId-LCI,2022,33.00,1621.0,210.36
geoId-LDG,2021,0.00,574.0,0.00
geoId-LDG,2022,2.00,585.0,43.90
geoId-LSN,2021,11.00,2099.0,1.38
geoId-LSN,2022,20.00,2161.0,269.42
geoId-NDH,2021,11.00,1623.0,0.60
geoId-NDH,2022,4.00,1734.0,92.39
geoId-NAN,2021,79.00,4250.0,2.32
geoId-NAN,2022,75.00,4447.0,130.15
geoId-NBH,2021,22.00,1264.0,2.18
geoId-NBH,2022,11.00,1340.0,132.57
geoId-NTN,2021,11.00,220.0,1.85
geoId-NTN,2022,13.00,236.0,39.42
geoId-PTO,2021,33.00,1575.0,2.19
geoId-PTO,2022,12.00,1520.0,100.20
geoId-PYN,2021,6.00,123.0,0.69
geoId-PYN,2022,7.00,158.0,18.02
geoId-QBH,2021,6.00,136.0,0.66
geoId-QBH,2022,2.00,135.0,14.77
geoId-QNM,2021,,467.0,
geoId-QNM,2022,7.00,495.0,32.58
geoId-QNI,2021,9.00,334.0,0.72
geoId-QNI,2022,13.00,360.0,28.90
geoId-QNH,2021,70.00,5608.0,5.18
geoId-QNH,2022,52.00,5775.0,423.74
geoId-QTI,2021,,93.0,
geoId-QTI,2022,3.00,101.0,15.55
geoId-STG,2021,15.00,1638.0,1.24
geoId-STG,2022,16.00,1475.0,123.14
geoId-SLA,2021,75.00,4214.0,5.82
geoId-SLA,2022,26.00,4278.0,329.05
geoId-THA,2021,80.00,2517.0,2.15
geoId-THA,2022,42.00,2623.0,70.47
geoId-TBH,2021,,1792.0,
geoId-TBH,2022,14.00,1810.0,96.35
geoId-TNN,2021,105.00,4413.0,7.94
geoId-TNN,2022,80.00,4604.0,344.61
geoId-TTH,2021,,322.0,
geoId-TTH,2022,9.00,326.0,28.10
geoId-TGG,2021,26.00,1196.0,1.46
geoId-TGG,2022,40.00,1295.0,72.54
geoId-HCM,2021,174.00,12457.0,1.90
geoId-HCM,2022,53.00,10683.0,113.77
geoId-NT,2021,493.00,27616.0,3.81
geoId-NT,2022,449.00,34278.0,263.25
geoId-TVH,2021,35.00,1060.0,3.44
geoId-TVH,2022,25.00,1092.0,107.14
geoId-TQG,2021,,817.0,
geoId-TQG,2022,0.00,822.0,102.01
geoId-TNN,2021,18.00,1760.0,0.00
geoId-TNN,2022,38.00,1745.0,28.64
geoId-TNH,2021,57.00,1842.0,4.82
geoId-TNH,2022,67.00,1970.0,165.72
geoId-VLG,2021,4.00,890.0,0.39
geoId-VLG,2022,11.00,889.0,86.41
geoId-VPC,2021,23.00,847.0,1.93
geoId-VPC,2022,24.00,889.0,74.23
geoId-YBI,2021,9.00,2082.0,1.07
geoId-YBI,2022,30.00,2173.0,256.48
geoId-DBN,2021,88.00,3881.0,14.08
geoId-DBN,2022,76.00,4086.0,644.50
geoId-DNG,2021,,446.0,
geoId-DNG,2022,2.00,473.0,38.76
geoId-ST,2021,276.00,20516.0,1.51
geoId-ST,2022,181.00,19048.0,101.26
geoId-DLK,2021,6.00,491.0,0.31
geoId-DLK,2022,10.00,417.0,21.74
geoId-DNG1,2021,6.00,227.0,0.90
geoId-DNG1,2022,4.00,236.0,35.19
geoId-MRD,2021,465.00,21561.0,2.67
geoId-MRD,2022,470.00,22233.0,127.54
geoId-RRD,2021,346.00,27879.0,1.49
geoId-RRD,2022,225.00,23078.0,98.40
geoId-DNI,2021,9.00,2948.0,0.28
geoId-DNI,2022,18.00,3006.0,92.33
geoId-DTP,2021,43.00,1916.0,2.69
geoId-DTP,2022,34.00,1947.0,121.67
